heuristic,obstacle_rate,metric,target,n,pearson,mean_metric,mean_target
dijkstra,0.1,mae,expanded_nodes,96,-0.33499004160593765,19.20978127692486,360.5416666666667
dijkstra,0.1,mae,runtime_seconds,96,-0.10914133254069215,19.20978127692486,0.0007566462605457976
dijkstra,0.1,mae,optimal,96,,19.20978127692486,1.0
dijkstra,0.1,mse,expanded_nodes,96,-0.3231786028851883,434.70720697053304,360.5416666666667
dijkstra,0.1,mse,runtime_seconds,96,-0.13835171818985295,434.70720697053304,0.0007566462605457976
dijkstra,0.1,mse,optimal,96,,434.70720697053304,1.0
dijkstra,0.1,overestimate_rate,expanded_nodes,96,,0.0,360.5416666666667
dijkstra,0.1,overestimate_rate,runtime_seconds,96,,0.0,0.0007566462605457976
dijkstra,0.1,overestimate_rate,optimal,96,,0.0,1.0
dijkstra,0.2,mae,expanded_nodes,76,-0.2696491896333524,20.082600946269995,318.0263157894737
dijkstra,0.2,mae,runtime_seconds,76,-0.26267810486095045,20.082600946269995,0.0006379046710303795
dijkstra,0.2,mae,optimal,76,,20.082600946269995,1.0
dijkstra,0.2,mse,expanded_nodes,76,-0.25860664650275306,471.6656958770061,318.0263157894737
dijkstra,0.2,mse,runtime_seconds,76,-0.2669638628548252,471.6656958770061,0.0006379046710303795
dijkstra,0.2,mse,optimal,76,,471.6656958770061,1.0
dijkstra,0.2,overestimate_rate,expanded_nodes,76,,0.0,318.0263157894737
dijkstra,0.2,overestimate_rate,runtime_seconds,76,,0.0,0.0006379046710303795
dijkstra,0.2,overestimate_rate,optimal,76,,0.0,1.0
dijkstra,0.3,mae,expanded_nodes,47,-0.0961976973158922,22.6304941872845,260.3404255319149
dijkstra,0.3,mae,runtime_seconds,47,-0.18206594960372444,22.6304941872845,0.0005042695531224029
dijkstra,0.3,mae,optimal,47,,22.6304941872845,1.0
dijkstra,0.3,mse,expanded_nodes,47,-0.07746947257713739,616.6605841495799,260.3404255319149
dijkstra,0.3,mse,runtime_seconds,47,-0.16335765463273416,616.6605841495799,0.0005042695531224029
dijkstra,0.3,mse,optimal,47,,616.6605841495799,1.0
dijkstra,0.3,overestimate_rate,expanded_nodes,47,,0.0,260.3404255319149
dijkstra,0.3,overestimate_rate,runtime_seconds,47,,0.0,0.0005042695531224029
dijkstra,0.3,overestimate_rate,optimal,47,,0.0,1.0
dijkstra,0.4,mae,expanded_nodes,6,0.20723611830994126,24.618466759825296,183.5
dijkstra,0.4,mae,runtime_seconds,6,0.16329892654938113,24.618466759825296,0.0003534096667863196
dijkstra,0.4,mae,optimal,6,,24.618466759825296,1.0
dijkstra,0.4,mse,expanded_nodes,6,-0.00968278140516349,742.7473993806303,183.5
dijkstra,0.4,mse,runtime_seconds,6,-0.04483526441283623,742.7473993806303,0.0003534096667863196
dijkstra,0.4,mse,optimal,6,,742.7473993806303,1.0
dijkstra,0.4,overestimate_rate,expanded_nodes,6,,0.0,183.5
dijkstra,0.4,overestimate_rate,runtime_seconds,6,,0.0,0.0003534096667863196
dijkstra,0.4,overestimate_rate,optimal,6,,0.0,1.0
dijkstra,all,mae,expanded_nodes,225,-0.6517309136593832,20.363380897167243,320.5288888888889
dijkstra,all,mae,runtime_seconds,225,-0.6531956462733425,20.363380897167243,0.0006530663244807834
dijkstra,all,mae,optimal,225,,20.363380897167243,1.0
dijkstra,all,mse,expanded_nodes,225,-0.5699673915786285,493.4134071428341,320.5288888888889
dijkstra,all,mse,runtime_seconds,225,-0.5721590021275643,493.4134071428341,0.0006530663244807834
dijkstra,all,mse,optimal,225,,493.4134071428341,1.0
dijkstra,all,overestimate_rate,expanded_nodes,225,,0.0,320.5288888888889
dijkstra,all,overestimate_rate,runtime_seconds,225,,0.0,0.0006530663244807834
dijkstra,all,overestimate_rate,optimal,225,,0.0,1.0
manhattan,0.1,mae,expanded_nodes,96,-0.1350532291519038,0.24459056342820354,318.9791666666667
manhattan,0.1,mae,runtime_seconds,96,-0.1734096739236154,0.24459056342820354,0.0007516879687538373
manhattan,0.1,mae,optimal,96,,0.24459056342820354,1.0
manhattan,0.1,mse,expanded_nodes,96,-0.11891050094638853,0.7825912280943602,318.9791666666667
manhattan,0.1,mse,runtime_seconds,96,-0.15084476798457977,0.7825912280943602,0.0007516879687538373
manhattan,0.1,mse,optimal,96,,0.7825912280943602,1.0
manhattan,0.1,overestimate_rate,expanded_nodes,96,,0.0,318.9791666666667
manhattan,0.1,overestimate_rate,runtime_seconds,96,,0.0,0.0007516879687538373
manhattan,0.1,overestimate_rate,optimal,96,,0.0,1.0
manhattan,0.2,mae,expanded_nodes,76,-0.2679995836371673,1.126135213485749,218.42105263157896
manhattan,0.2,mae,runtime_seconds,76,-0.305456858785544,1.126135213485749,0.0005070345264596797
manhattan,0.2,mae,optimal,76,,1.126135213485749,1.0
manhattan,0.2,mse,expanded_nodes,76,-0.11921636007950993,6.892220949136688,218.42105263157896
manhattan,0.2,mse,runtime_seconds,76,-0.15168573828921283,6.892220949136688,0.0005070345264596797
manhattan,0.2,mse,optimal,76,,6.892220949136688,1.0
manhattan,0.2,overestimate_rate,expanded_nodes,76,,0.0,218.42105263157896
manhattan,0.2,overestimate_rate,runtime_seconds,76,,0.0,0.0005070345264596797
manhattan,0.2,overestimate_rate,optimal,76,,0.0,1.0
manhattan,0.3,mae,expanded_nodes,47,0.47392637177090413,3.73384237685826,149.3404255319149
manhattan,0.3,mae,runtime_seconds,47,0.39253537252642007,3.73384237685826,0.0003397987661338312
manhattan,0.3,mae,optimal,47,,3.73384237685826,1.0
manhattan,0.3,mse,expanded_nodes,47,0.46770199224623443,45.633855614233994,149.3404255319149
manhattan,0.3,mse,runtime_seconds,47,0.39171896377759396,45.633855614233994,0.0003397987661338312
manhattan,0.3,mse,optimal,47,,45.633855614233994,1.0
manhattan,0.3,overestimate_rate,expanded_nodes,47,,0.0,149.3404255319149
manhattan,0.3,overestimate_rate,runtime_seconds,47,,0.0,0.0003397987661338312
manhattan,0.3,overestimate_rate,optimal,47,,0.0,1.0
manhattan,0.4,mae,expanded_nodes,6,0.8139446803124605,5.417843274980374,106.0
manhattan,0.4,mae,runtime_seconds,6,0.7529212691036496,5.417843274980374,0.00023598583356942981
manhattan,0.4,mae,optimal,6,,5.417843274980374,1.0
manhattan,0.4,mse,expanded_nodes,6,0.9226027252646362,71.72442653147927,106.0
manhattan,0.4,mse,runtime_seconds,6,0.9477297271763937,71.72442653147927,0.00023598583356942981
manhattan,0.4,mse,optimal,6,,71.72442653147927,1.0
manhattan,0.4,overestimate_rate,expanded_nodes,6,,0.0,106.0
manhattan,0.4,overestimate_rate,runtime_seconds,6,,0.0,0.00023598583356942981
manhattan,0.4,overestimate_rate,optimal,6,,0.0,1.0
manhattan,all,mae,expanded_nodes,225,-0.5137759520156733,1.4091760963388664,243.89777777777778
manhattan,all,mae,runtime_seconds,225,-0.5413052552973994,1.4091760963388664,0.0005692583378711586
manhattan,all,mae,optimal,225,,1.4091760963388664,1.0
manhattan,all,mse,expanded_nodes,225,-0.24433695595505175,14.107001435952533,243.89777777777778
manhattan,all,mse,runtime_seconds,225,-0.27219442060881194,14.107001435952533,0.0005692583378711586
manhattan,all,mse,optimal,225,,14.107001435952533,1.0
manhattan,all,overestimate_rate,expanded_nodes,225,,0.0,243.89777777777778
manhattan,all,overestimate_rate,runtime_seconds,225,,0.0,0.0005692583378711586
manhattan,all,overestimate_rate,optimal,225,,0.0,1.0
mlp_table,0.1,mae,expanded_nodes,96,0.048782725784521634,0.9913811760272492,139.90625
mlp_table,0.1,mae,runtime_seconds,96,0.06443657659592758,0.9913811760272492,0.0007263138125495061
mlp_table,0.1,mae,optimal,96,,0.9913811760272492,1.0
mlp_table,0.1,mse,expanded_nodes,96,0.0433877286233495,1.8586282690924207,139.90625
mlp_table,0.1,mse,runtime_seconds,96,0.053202304612338616,1.8586282690924207,0.0007263138125495061
mlp_table,0.1,mse,optimal,96,,1.8586282690924207,1.0
mlp_table,0.1,overestimate_rate,expanded_nodes,96,0.04274870728867045,0.9309744292948183,139.90625
mlp_table,0.1,overestimate_rate,runtime_seconds,96,0.1032600752670455,0.9309744292948183,0.0007263138125495061
mlp_table,0.1,overestimate_rate,optimal,96,,0.9309744292948183,1.0
mlp_table,0.2,mae,expanded_nodes,76,0.32870723440422245,1.1917976558102241,120.35526315789474
mlp_table,0.2,mae,runtime_seconds,76,0.25749515632324294,1.1917976558102241,0.0006141639607544915
mlp_table,0.2,mae,optimal,76,,1.1917976558102241,1.0
mlp_table,0.2,mse,expanded_nodes,76,0.3564474297178276,4.220559311429559,120.35526315789474
mlp_table,0.2,mse,runtime_seconds,76,0.3079393450052439,4.220559311429559,0.0006141639607544915
mlp_table,0.2,mse,optimal,76,,4.220559311429559,1.0
mlp_table,0.2,overestimate_rate,expanded_nodes,76,-0.14626858548954372,0.744135179884938,120.35526315789474
mlp_table,0.2,overestimate_rate,runtime_seconds,76,-0.06292396395707162,0.744135179884938,0.0006141639607544915
mlp_table,0.2,overestimate_rate,optimal,76,,0.744135179884938,1.0
mlp_table,0.3,mae,expanded_nodes,47,0.7988916890952236,3.2156453433331476,109.0
mlp_table,0.3,mae,runtime_seconds,47,0.7417894624089176,3.2156453433331476,0.0005336197021066216
mlp_table,0.3,mae,optimal,47,,3.2156453433331476,1.0
mlp_table,0.3,mse,expanded_nodes,47,0.6990576547302714,35.49668751033566,109.0
mlp_table,0.3,mse,runtime_seconds,47,0.6475713181975339,35.49668751033566,0.0005336197021066216
mlp_table,0.3,mse,optimal,47,,35.49668751033566,1.0
mlp_table,0.3,overestimate_rate,expanded_nodes,47,-0.614621204083988,0.44054135511158066,109.0
mlp_table,0.3,overestimate_rate,runtime_seconds,47,-0.5600478168974633,0.44054135511158066,0.0005336197021066216
mlp_table,0.3,overestimate_rate,optimal,47,,0.44054135511158066,1.0
mlp_table,0.4,mae,expanded_nodes,6,0.5874436827709212,4.950237070499873,95.5
mlp_table,0.4,mae,runtime_seconds,6,0.518721203105303,4.950237070499873,0.00045173616672400385
mlp_table,0.4,mae,optimal,6,,4.950237070499873,1.0
mlp_table,0.4,mse,expanded_nodes,6,0.73547811426877,59.69726194546123,95.5
mlp_table,0.4,mse,runtime_seconds,6,0.7845644011620866,59.69726194546123,0.00045173616672400385
mlp_table,0.4,mse,optimal,6,,59.69726194546123,1.0
mlp_table,0.4,overestimate_rate,expanded_nodes,6,0.15745168335410703,0.32306654982287725,95.5
mlp_table,0.4,overestimate_rate,runtime_seconds,6,0.4277645619905457,0.32306654982287725,0.00045173616672400385
mlp_table,0.4,overestimate_rate,optimal,6,,0.32306654982287725,1.0
mlp_table,all,mae,expanded_nodes,225,0.1798288676343466,1.629270970221556,125.66222222222223
mlp_table,all,mae,runtime_seconds,225,0.012357921138056893,1.629270970221556,0.0006408583556508853
mlp_table,all,mae,optimal,225,,1.629270970221556,1.0
mlp_table,all,mse,expanded_nodes,225,0.2641329160289375,11.2254164718225,125.66222222222223
mlp_table,all,mse,runtime_seconds,225,0.12191138292646822,11.2254164718225,0.0006408583556508853
mlp_table,all,mse,optimal,225,,11.2254164718225,1.0
mlp_table,all,overestimate_rate,expanded_nodes,225,0.22295186618983298,0.7492073861010641,125.66222222222223
mlp_table,all,overestimate_rate,runtime_seconds,225,0.37829955412452876,0.7492073861010641,0.0006408583556508853
mlp_table,all,overestimate_rate,optimal,225,,0.7492073861010641,1.0
unet,0.1,mae,expanded_nodes,96,-0.5545416575041364,1.655342975792011,228.34375
unet,0.1,mae,runtime_seconds,96,-0.5333401430189613,1.655342975792011,0.0012717799374020917
unet,0.1,mae,optimal,96,,1.655342975792011,1.0
unet,0.1,mse,expanded_nodes,96,-0.5303059569866406,5.796562428190781,228.34375
unet,0.1,mse,runtime_seconds,96,-0.5148955415276011,5.796562428190781,0.0012717799374020917
unet,0.1,mse,optimal,96,,5.796562428190781,1.0
unet,0.1,overestimate_rate,expanded_nodes,96,-0.7155010921390674,0.5676966909443611,228.34375
unet,0.1,overestimate_rate,runtime_seconds,96,-0.6779978213091974,0.5676966909443611,0.0012717799374020917
unet,0.1,overestimate_rate,optimal,96,,0.5676966909443611,1.0
unet,0.2,mae,expanded_nodes,76,0.4330964429363257,2.6702274443671303,150.98684210526315
unet,0.2,mae,runtime_seconds,76,0.28041069707246175,2.6702274443671303,0.0007894512236577468
unet,0.2,mae,optimal,76,-0.022947074473934282,2.6702274443671303,0.9736842105263158
unet,0.2,mse,expanded_nodes,76,0.4896047954955133,14.511556581381518,150.98684210526315
unet,0.2,mse,runtime_seconds,76,0.34646173579724326,14.511556581381518,0.0007894512236577468
unet,0.2,mse,optimal,76,0.008618498432851365,14.511556581381518,0.9736842105263158
unet,0.2,overestimate_rate,expanded_nodes,76,-0.08591570032954841,0.7790954309534248,150.98684210526315
unet,0.2,overestimate_rate,runtime_seconds,76,-0.18405073225162283,0.7790954309534248,0.0007894512236577468
unet,0.2,overestimate_rate,optimal,76,0.1295317163174059,0.7790954309534248,0.9736842105263158
unet,0.3,mae,expanded_nodes,47,0.5682195607609405,4.482298080398894,121.23404255319149
unet,0.3,mae,runtime_seconds,47,0.5358145764942717,4.482298080398894,0.0005851525106567002
unet,0.3,mae,optimal,47,0.059720229075079685,4.482298080398894,0.9787234042553191
unet,0.3,mse,expanded_nodes,47,0.4844543334818628,38.38210636523286,121.23404255319149
unet,0.3,mse,runtime_seconds,47,0.4597276988524683,38.38210636523286,0.0005851525106567002
unet,0.3,mse,optimal,47,0.046224761764150454,38.38210636523286,0.9787234042553191
unet,0.3,overestimate_rate,expanded_nodes,47,-0.337640590357965,0.7478964634562922,121.23404255319149
unet,0.3,overestimate_rate,runtime_seconds,47,-0.31611426868134396,0.7478964634562922,0.0005851525106567002
unet,0.3,overestimate_rate,optimal,47,-0.13557137287614887,0.7478964634562922,0.9787234042553191
unet,0.4,mae,expanded_nodes,6,0.2642301728065112,6.1665069346119905,108.0
unet,0.4,mae,runtime_seconds,6,0.047796368910187355,6.1665069346119905,0.00048575683346522663
unet,0.4,mae,optimal,6,,6.1665069346119905,1.0
unet,0.4,mse,expanded_nodes,6,0.20444619849813772,63.72420014925974,108.0
unet,0.4,mse,runtime_seconds,6,0.05676297765261793,63.72420014925974,0.00048575683346522663
unet,0.4,mse,optimal,6,,63.72420014925974,1.0
unet,0.4,overestimate_rate,expanded_nodes,6,0.8587228930743408,0.6347630027347262,108.0
unet,0.4,overestimate_rate,runtime_seconds,6,0.7366907887819719,0.6347630027347262,0.00048575683346522663
unet,0.4,overestimate_rate,optimal,6,,0.6347630027347262,1.0
unet,all,mae,expanded_nodes,225,-0.25197828447594733,2.708965612597133,176.63111111111112
unet,all,mae,runtime_seconds,225,-0.39430435331139213,2.708965612597133,0.0009444705599566482
unet,all,mae,optimal,225,-0.022283073603520033,2.708965612597133,0.9866666666666667
unet,all,mse,expanded_nodes,225,-0.07372746623179001,17.091788859345836,176.63111111111112
unet,all,mse,runtime_seconds,225,-0.19041202768005072,17.091788859345836,0.0009444705599566482
unet,all,mse,optimal,225,0.0062438898568309776,17.091788859345836,0.9866666666666667
unet,all,overestimate_rate,expanded_nodes,225,-0.5517271752419387,0.6785326528087692,176.63111111111112
unet,all,overestimate_rate,runtime_seconds,225,-0.5881125069597396,0.6785326528087692,0.0009444705599566482
unet,all,overestimate_rate,optimal,225,-0.036923877151643844,0.6785326528087692,0.9866666666666667
