  20.67   19.42   18.18   16.95   15.72   14.48   13.22   11.94   10.66    9.38    8.10    6.81    5.54    4.21    2.69    1.02    0.00    1.02    2.69    4.21
  20.73   19.49   18.26   ##     15.81   14.58   13.35   ##     10.84    9.57    8.31   ##      5.78    4.55    3.36   ##      0.97    2.20    3.36    4.55
  20.88   19.68   18.47   ##     16.05   14.86   13.66   ##     11.27   10.04    8.80   ##      6.51    5.44    4.37   ##      2.60    3.52    4.37    5.44
  21.34   20.13   18.94   ##     16.55   15.35   14.16   ##     11.81   10.71    9.64   ##      7.50    6.43    5.44   ##      4.08    4.75    5.44    6.43
  21.82   ##     ##     ##     ##     ##     ##     ##     12.65   11.63   ##     ##     ##     ##     ##     ##     ##     ##     ##      7.49
  22.35   21.17   20.00   ##     ##     ##     ##     ##     13.59   12.57   11.55   ##      9.51    8.56    7.74    7.21    6.82    7.21    7.74    8.56
  22.96   21.84   20.75   ##     ##     ##     ##     ##     14.53   13.51   12.49   11.48   10.56    9.69    8.91    8.43    8.14    8.43    8.91    9.69
  23.74   22.67   21.61   ##     ##     ##     ##     ##     15.47   14.45   13.43   12.49   11.59   10.82   10.10    9.65    9.37    9.65   10.10   10.82
  24.60   23.54   22.52   ##     ##     ##     ##     ##     16.41   15.39   14.42   13.52   12.69   11.94   11.25   ##     10.60   10.88   11.25   11.94
  25.50   ##     ##     ##     ##     ##     ##     ##     17.35   16.36   ##     ##     ##     ##     ##     ##     ##     ##     ##     13.06
  26.46   25.45   24.44   ##     22.38   21.35   20.33   ##     18.30   17.39   16.49   ##     ##     ##     ##     ##     13.01   13.26   13.55   14.19
  27.42   26.40   25.37   ##     23.31   22.29   21.27   ##     19.32   18.42   17.56   ##     ##     ##     ##     ##     14.20   14.45   14.73   15.31
  28.36   27.33   26.30   25.27   24.25   23.23   22.21   21.26   20.36   19.46   18.67   ##     ##     ##     ##     ##     15.39   15.63   15.91   16.43
  29.29   28.26   27.23   26.21   25.19   24.17   23.19   22.29   21.39   20.54   19.78   ##     ##     ##     ##     ##     16.57   16.82   17.09   17.57
  30.22   ##     ##     ##     26.13   25.13   24.22   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     18.72
  31.14   30.13   29.11   ##     27.08   26.16   25.26   ##     23.53   22.77   22.02   ##     20.54   19.88   19.45   ##     18.95   19.19   19.45   19.88
  32.09   31.07   30.05   ##     28.09   27.19   26.29   ##     24.64   23.89   23.15   ##     21.67   21.04   20.63   ##     20.13   20.38   20.63   21.04
  33.03   32.01   30.99   ##     29.12   28.22   27.33   ##     25.76   25.01   24.27   ##     22.79   22.19   21.81   ##     21.32   21.57   21.81   22.19
  33.97   32.95   31.96   ##     30.16   29.25   28.41   ##     26.88   26.13   25.39   ##     23.92   23.35   23.00   ##     22.51   22.75   23.00   23.35
  34.91   33.91   32.99   32.09   31.19   30.31   29.50   28.75   27.99   27.26   26.52   25.78   25.06   24.51   24.19   23.94   23.69   23.94   24.19   24.51
