  16   15   14   13   12   11   10    9    8    7    6    5    4    3    2    1    0    1    2    3
  17   16   15   ##     13   12   11   ##      9    8    7   ##      5    4    3   ##      1    2    3    4
  18   17   16   ##     14   13   12   ##     10    9    8   ##      6    5    4   ##      2    3    4    5
  19   18   17   ##     15   14   13   ##     11   10    9   ##      7    6    5   ##      3    4    5    6
  20   ##     ##     ##     ##     ##     ##     ##     12   11   ##     ##     ##     ##     ##     ##     ##     ##     ##      7
  21   22   23   ##     ##     ##     ##     ##     13   12   13   ##     15   14   13   12   11   10    9    8
  22   23   24   ##     ##     ##     ##     ##     14   13   14   15   16   15   14   13   12   11   10    9
  23   24   25   ##     ##     ##     ##     ##     15   14   15   16   17   16   15   14   13   12   11   10
  24   25   26   ##     ##     ##     ##     ##     16   15   16   17   18   17   16   ##     14   13   12   11
  25   ##     ##     ##     ##     ##     ##     ##     17   16   ##     ##     ##     ##     ##     ##     ##     ##     ##     12
  26   27   28   ##     26   25   24   ##     18   17   18   ##     ##     ##     ##     ##     16   15   14   13
  27   28   27   ##     25   24   23   ##     19   18   19   ##     ##     ##     ##     ##     17   16   15   14
  28   27   26   25   24   23   22   21   20   19   20   ##     ##     ##     ##     ##     18   17   16   15
  29   28   27   26   25   24   23   22   21   20   21   ##     ##     ##     ##     ##     19   18   17   16
  30   ##     ##     ##     26   25   24   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     17
  31   32   33   ##     27   26   25   ##     35   36   35   ##     33   32   31   ##     21   20   19   18
  32   33   34   ##     28   27   26   ##     34   35   34   ##     32   31   30   ##     22   21   20   19
  33   34   35   ##     29   28   27   ##     33   34   33   ##     31   30   29   ##     23   22   21   20
  34   35   34   ##     30   29   28   ##     32   33   32   ##     30   29   28   ##     24   23   22   21
  35   34   33   32   31   30   29   30   31   32   31   30   29   28   27   26   25   24   23   22
