   9.53    9.47    8.60    8.97    7.15    7.71    7.22    6.89    6.82    7.63    7.07    6.14    5.01    3.86    0.57    0.31    1.42   -0.06   -0.06    0.21
   7.56    7.54    7.43   ##      7.24    7.05    6.12   ##      5.38    5.26    4.57   ##      5.03    4.96    0.77   ##      0.50   -0.18   -0.58   -1.16
   5.93    6.57    6.59   ##      6.47    6.55    5.11   ##      4.35    4.06    4.03   ##      3.01    2.74    1.20   ##     -0.12   -0.37   -0.30   -0.91
   4.88    5.61    5.63   ##      5.59    5.66    4.75   ##      3.58    3.57    4.10   ##      2.44    3.92    2.76   ##      0.83    0.11    0.55   -0.17
   4.08   ##     ##     ##     ##     ##     ##     ##      2.93    3.29   ##     ##     ##     ##     ##     ##     ##     ##     ##      2.28
   3.48    2.25    0.75   ##     ##     ##     ##     ##      2.61    2.26    0.88   ##     -2.83   -1.59   -2.84   -1.43   -2.47   -0.58   -0.36    1.13
   2.52    1.06   -0.65   ##     ##     ##     ##     ##      2.44    2.20    0.54   -1.92   -4.19   -3.24   -3.61   -2.87   -2.87   -1.79   -1.19    0.85
   2.59    0.79   -1.09   ##     ##     ##     ##     ##      2.17    2.07    0.17   -2.09   -4.10   -3.23   -3.38   -2.49   -2.51   -1.29   -0.99    1.03
   2.14    0.98   -0.19   ##     ##     ##     ##     ##      1.48    1.68    0.30   -1.25   -3.02   -2.32   -1.83   ##     -1.64   -0.97   -0.33    2.05
   1.91   ##     ##     ##     ##     ##     ##     ##      1.50    1.84   ##     ##     ##     ##     ##     ##     ##     ##     ##      3.00
   2.19    0.67   -0.76   ##     -0.35   -0.12   -1.47   ##      1.28    1.47    0.66   ##     ##     ##     ##     ##      0.69    1.32    1.39    2.89
   3.01    0.45    0.74   ##      0.09    0.10   -0.10   ##      0.71    1.05    0.44   ##     ##     ##     ##     ##      0.84    1.48    1.17    3.03
   3.33    3.28    3.02    2.38    1.55    1.70    2.06    1.47    1.16    1.78    0.82   ##     ##     ##     ##     ##      0.07    1.21    1.21    3.32
   3.07    3.17    3.28    3.02    1.94    1.84    1.94    1.97    1.69    2.68    1.67   ##     ##     ##     ##     ##      0.19    1.01    1.53    3.28
   2.86   ##     ##     ##      3.15    3.08    3.06   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      4.12
   2.84    1.21    0.04   ##      3.65    3.64    3.40   ##     -9.27  -10.87   -9.67   ##     -8.77   -8.31   -7.12   ##      1.91    2.05    2.29    3.48
   1.07    0.07   -0.98   ##      3.51    3.42    3.35   ##     -7.41   -9.24   -8.83   ##     -8.02   -6.96   -6.48   ##      1.20    2.14    2.24    4.40
   0.50   -0.34   -2.06   ##      3.10    3.20    3.00   ##     -6.12   -7.97   -7.49   ##     -6.91   -6.23   -5.15   ##      0.32    1.18    2.17    3.65
  -0.62   -1.14   -1.06   ##      1.92    2.32    2.78   ##     -3.62   -5.86   -5.10   ##     -4.89   -4.45   -3.06   ##      0.19    1.01    2.49    4.38
  -3.51   -0.12    1.05    0.60    1.80    2.04    2.66    0.60   -1.28   -3.59   -2.91   -2.88   -2.78   -2.47   -1.34   -0.54    0.34    1.32    2.37    3.79
