  25.53   24.47   22.60   21.97   19.15   18.71   17.22   15.89   14.82   14.63   13.07   11.14    9.01    6.86    2.57    1.31    1.42    0.94    1.94    3.21
  24.56   23.54   22.43   ##     20.24   19.05   17.12   ##     14.38   13.26   11.57   ##     10.03    8.96    3.77   ##      1.50    1.82    2.42    2.84
  23.93   23.57   22.59   ##     20.47   19.55   17.11   ##     14.35   13.06   12.03   ##      9.01    7.74    5.20   ##      1.88    2.63    3.70    4.09
  23.88   23.61   22.63   ##     20.59   19.66   17.75   ##     14.58   13.57   13.10   ##      9.44    9.92    7.76   ##      3.83    4.11    5.55    5.83
  24.08   ##     ##     ##     ##     ##     ##     ##     14.93   14.29   ##     ##     ##     ##     ##     ##     ##     ##     ##      9.28
  24.48   24.25   23.75   ##     ##     ##     ##     ##     15.61   14.26   13.88   ##     12.17   12.41   10.16   10.57    8.53    9.42    8.64    9.13
  24.52   24.06   23.35   ##     ##     ##     ##     ##     16.44   15.20   14.54   13.08   11.81   11.76   10.39   10.13    9.13    9.21    8.81    9.85
  25.59   24.79   23.91   ##     ##     ##     ##     ##     17.17   16.07   15.17   13.91   12.90   12.77   11.62   11.51   10.49   10.71   10.01   11.03
  26.14   25.98   25.81   ##     ##     ##     ##     ##     17.48   16.68   16.30   15.75   14.98   14.68   14.17   ##     12.36   12.03   11.67   13.05
  26.91   ##     ##     ##     ##     ##     ##     ##     18.50   17.84   ##     ##     ##     ##     ##     ##     ##     ##     ##     15.00
  28.19   27.67   27.24   ##     25.65   24.88   22.53   ##     19.28   18.47   18.66   ##     ##     ##     ##     ##     16.69   16.32   15.39   15.89
  30.01   28.45   27.74   ##     25.09   24.10   22.90   ##     19.71   19.05   19.44   ##     ##     ##     ##     ##     17.84   17.48   16.17   17.03
  31.33   30.28   29.02   27.38   25.55   24.70   24.06   22.47   21.16   20.78   20.82   ##     ##     ##     ##     ##     18.07   18.21   17.21   18.32
  32.07   31.17   30.28   29.02   26.94   25.84   24.94   23.97   22.69   22.68   22.67   ##     ##     ##     ##     ##     19.19   19.01   18.53   19.28
  32.86   ##     ##     ##     29.15   28.08   27.06   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     21.12
  33.84   33.21   33.04   ##     30.65   29.64   28.40   ##     25.73   25.13   25.33   ##     24.23   23.69   23.88   ##     22.91   22.05   21.29   21.48
  33.07   33.07   33.02   ##     31.51   30.42   29.35   ##     26.59   25.76   25.17   ##     23.98   24.04   23.52   ##     23.20   23.14   22.24   23.40
  33.50   33.66   32.94   ##     32.10   31.20   30.00   ##     26.88   26.03   25.51   ##     24.09   23.77   23.85   ##     23.32   23.18   23.17   23.65
  33.38   33.86   32.94   ##     31.92   31.32   30.78   ##     28.38   27.14   26.90   ##     25.11   24.55   24.94   ##     24.19   24.01   24.49   25.38
  31.49   33.88   34.05   32.60   32.80   32.04   31.66   30.60   29.72   28.41   28.09   27.12   26.22   25.53   25.66   25.46   25.34   25.32   25.37   25.79
