   9.38    8.10    6.81    5.54    4.21    2.69    1.02    0.00    1.02    2.69    4.21    5.54    6.81    8.10    9.38   10.66   11.94   13.22   14.48   15.72
   9.57    8.31    7.05    5.78    4.55    3.36    2.20   ##      2.20    3.36    4.55   ##      7.05    8.31    9.57   ##     12.10   13.35   14.58   15.81
  10.04    8.80    7.61    6.51    5.44    4.37    3.52   ##      3.52    4.37    5.44   ##      7.61    8.80   10.04   ##     12.47   13.66   14.86   16.05
  10.71    9.64    8.58   ##      6.43    5.44    4.75   ##      4.75    5.44   ##     ##      8.58    9.64   10.71   ##     12.98   14.16   15.35   16.55
  11.63   ##     ##     ##      7.49    6.56    5.98   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     17.07
  12.57   11.55   10.53   ##      8.56    7.74    7.21   ##     ##     ##     ##     ##     ##     ##     ##     ##     14.61   15.63   16.69   17.76
  13.51   12.49   11.48   ##      9.69    8.91    8.43   ##     ##     ##     ##     ##     ##     ##     ##     ##     15.56   16.57   17.58   18.62
  14.45   13.43   12.49   ##     10.82   10.10    9.65   ##     ##     ##     ##     ##     ##     ##     ##     ##     16.49   17.53   18.54   19.54
  15.39   14.42   13.52   ##     11.94   11.25   10.88   ##     ##     ##     ##     ##     ##     ##     ##     ##     17.43   18.45   19.49   20.50
  16.36   15.46   14.58   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     21.45
  17.39   16.49   15.68   ##     14.19   13.55   13.26   ##     ##     ##     ##     ##     15.68   16.49   17.39   ##     19.31   20.33   21.35   22.38
  18.42   17.56   16.80   ##     15.31   14.73   14.45   ##     ##     ##     ##     ##     16.80   17.56   18.42   ##     20.25   21.27   22.29   23.31
  19.46   18.67   17.91   ##     16.43   15.91   15.63   ##     ##     ##     ##     ##     17.91   18.67   19.46   20.36   21.26   22.21   23.23   24.25
  20.54   19.78   19.04   ##     17.57   17.09   16.82   ##     ##     ##     ##     ##     19.04   19.78   20.54   21.39   22.29   23.19   24.17   25.19
  21.66   ##     ##     ##     18.72   18.27   18.01   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     26.13
  22.77   22.02   21.28   ##     19.88   19.45   19.19   18.95   19.19   19.45   19.88   ##     21.28   22.02   22.77   ##     24.35   25.26   26.16   27.08
  23.89   23.15   22.41   ##     21.04   20.63   20.38   20.13   20.38   20.63   21.04   ##     22.41   23.15   23.89   ##     25.43   26.29   27.19   28.09
  25.01   24.27   23.53   ##     22.19   21.81   21.57   21.32   21.57   21.81   22.19   ##     23.53   24.27   25.01   ##     26.52   27.33   28.22   29.12
  26.13   25.39   24.65   ##     23.35   23.00   22.75   ##     22.75   23.00   23.35   ##     24.65   25.39   26.13   ##     27.63   28.41   29.25   30.16
  27.26   26.52   25.78   25.06   24.51   24.19   23.94   23.69   23.94   24.19   24.51   25.06   25.78   26.52   27.26   27.99   28.75   29.50   30.31   31.19
