   7    6    5    4    3    2    1    0    1    2    3    4    5    6    7    8    9   10   11   12
   8    7    6    5    4    3    2   ##      2    3    4   ##      6    7    8   ##     10   11   12   13
   9    8    7    6    5    4    3   ##      3    4    5   ##      7    8    9   ##     11   12   13   14
  10    9    8   ##      6    5    4   ##      4    5   ##     ##      8    9   10   ##     12   13   14   15
  11   ##     ##     ##      7    6    5   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     16
  12   13   14   ##      8    7    6   ##     ##     ##     ##     ##     ##     ##     ##     ##     20   19   18   17
  13   14   15   ##      9    8    7   ##     ##     ##     ##     ##     ##     ##     ##     ##     21   20   19   18
  14   15   16   ##     10    9    8   ##     ##     ##     ##     ##     ##     ##     ##     ##     22   21   20   19
  15   16   17   ##     11   10    9   ##     ##     ##     ##     ##     ##     ##     ##     ##     23   22   21   20
  16   17   18   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     21
  17   18   19   ##     39   40   41   ##     ##     ##     ##     ##     33   32   31   ##     25   24   23   22
  18   19   20   ##     38   39   40   ##     ##     ##     ##     ##     32   31   30   ##     26   25   24   23
  19   20   21   ##     37   38   39   ##     ##     ##     ##     ##     31   30   29   28   27   26   25   24
  20   21   22   ##     36   37   38   ##     ##     ##     ##     ##     32   31   30   29   28   27   26   25
  21   ##     ##     ##     35   36   37   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     26
  22   23   24   ##     34   35   36   37   38   39   40   ##     42   41   40   ##     30   29   28   27
  23   24   25   ##     33   34   35   36   37   38   39   ##     41   40   39   ##     31   30   29   28
  24   25   26   ##     32   33   34   35   36   37   38   ##     40   39   38   ##     32   31   30   29
  25   26   27   ##     31   32   33   ##     35   36   37   ##     39   38   37   ##     33   32   31   30
  26   27   28   29   30   31   32   33   34   35   36   37   38   37   36   35   34   33   32   31
