  22.97   23.08   17.91   13.05    3.97    1.66    0.68    0.97    0.46    0.08    1.65    3.18    5.41    5.68    5.69    5.77    6.15    6.89    7.89    6.27
  20.54   17.42   13.83    8.49    1.72    1.32    0.28   ##     -0.37    0.72    1.59   ##      4.34    4.83    4.35   ##      5.78    6.39    6.24    6.67
  17.14   14.04   10.09    6.09    1.92    1.44    0.79   ##      1.26    1.82    3.55   ##      4.38    4.94    5.16   ##      6.48    6.82    5.54    5.38
  15.08   11.94    8.47   ##      1.95    2.30    1.72   ##      5.09    6.03   ##     ##      4.37    5.50    6.37   ##      6.25    6.22    5.18    4.78
  11.81   ##     ##     ##      2.42    2.68    3.78   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      4.39
  10.53    6.70    2.15   ##      2.96    3.78    3.53   ##     ##     ##     ##     ##     ##     ##     ##     ##      1.97    1.88    1.86    3.10
   8.06    5.12    2.06   ##      4.22    4.17    4.72   ##     ##     ##     ##     ##     ##     ##     ##     ##      1.48    1.79    0.97    2.89
   6.94    4.56    2.08   ##      4.84    5.43    4.77   ##     ##     ##     ##     ##     ##     ##     ##     ##     -0.59    0.36    0.93    2.63
   4.23    2.59    1.36   ##      5.72    6.11    6.47   ##     ##     ##     ##     ##     ##     ##     ##     ##     -1.77    0.13    0.68    2.87
   2.88    1.40   -0.14   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      1.96
   2.25    0.52   -0.67   ##    -20.71  -20.98  -22.11   ##     ##     ##     ##     ##    -12.44  -10.33   -8.88   ##     -2.03   -0.29    0.03    2.39
   3.06    0.70   -1.03   ##    -19.83  -20.58  -21.66   ##     ##     ##     ##     ##    -11.24   -9.63   -8.33   ##     -3.21   -1.63    0.10    2.51
   3.07    1.08   -0.98   ##    -18.12  -19.16  -20.29   ##     ##     ##     ##     ##     -9.65   -7.61   -6.58   -5.44   -3.78   -1.74   -0.27    2.53
   2.67    0.97   -0.80   ##    -15.73  -16.91  -17.99   ##     ##     ##     ##     ##     -9.33   -7.93   -6.62   -5.50   -3.78   -2.24   -0.32    2.06
   4.00   ##     ##     ##    -12.63  -13.45  -15.08   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      3.03
   3.93    1.94    0.42   ##    -10.05  -11.28  -12.63  -14.23  -15.10  -15.40  -15.08   ##    -16.19  -15.15  -13.92   ##     -3.03   -1.79   -0.29    1.93
   4.20    2.27    1.43   ##     -6.98   -8.72  -10.01  -11.87  -12.75  -13.76  -13.81   ##    -14.70  -13.29  -11.67   ##     -2.98   -1.80   -0.80    1.56
   4.67    3.41    1.77   ##     -4.46   -6.08   -7.94   -9.48  -10.97  -11.77  -12.10   ##    -13.26  -11.58   -9.76   ##     -3.41   -2.14   -0.24    1.33
   5.34    4.20    2.23   ##     -2.71   -4.19   -5.51   ##     -8.07   -9.21   -9.38   ##    -10.76   -9.32   -7.21   ##     -3.43   -2.73   -0.23    0.72
   3.45    4.26    3.05    0.58   -0.48   -2.03   -3.10   -4.47   -5.49   -6.70   -6.88   -7.93   -8.38   -7.27   -5.11   -4.11   -2.94   -2.31   -1.67   -0.48
