  29.97   29.08   22.91   17.05    6.97    3.66    1.68    0.97    1.46    2.08    4.65    7.18   10.41   11.68   12.69   13.77   15.15   16.89   18.89   18.27
  28.54   24.42   19.83   13.49    5.72    4.32    2.28   ##      1.63    3.72    5.59   ##     10.34   11.83   12.35   ##     15.78   17.39   18.24   19.67
  26.14   22.04   17.09   12.09    6.92    5.44    3.79   ##      4.26    5.82    8.55   ##     11.38   12.94   14.16   ##     17.48   18.82   18.54   19.38
  25.08   20.94   16.47   ##      7.95    7.30    5.72   ##      9.09   11.03   ##     ##     12.37   14.50   16.37   ##     18.25   19.22   19.18   19.78
  22.81   ##     ##     ##      9.42    8.68    8.78   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     20.39
  22.53   19.70   16.15   ##     10.96   10.78    9.53   ##     ##     ##     ##     ##     ##     ##     ##     ##     21.97   20.88   19.86   20.10
  21.06   19.12   17.06   ##     13.22   12.17   11.72   ##     ##     ##     ##     ##     ##     ##     ##     ##     22.48   21.79   19.97   20.89
  20.94   19.56   18.08   ##     14.84   14.43   12.77   ##     ##     ##     ##     ##     ##     ##     ##     ##     21.41   21.36   20.93   21.63
  19.23   18.59   18.36   ##     16.72   16.11   15.47   ##     ##     ##     ##     ##     ##     ##     ##     ##     21.23   22.13   21.68   22.87
  18.88   18.40   17.86   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     22.96
  19.25   18.52   18.33   ##     18.29   19.02   18.89   ##     ##     ##     ##     ##     20.56   21.67   22.12   ##     22.97   23.71   23.03   24.39
  21.06   19.70   18.97   ##     18.17   18.42   18.34   ##     ##     ##     ##     ##     20.76   21.37   21.67   ##     22.79   23.37   24.10   25.51
  22.07   21.08   20.02   ##     18.88   18.84   18.71   ##     ##     ##     ##     ##     21.35   22.39   22.42   22.56   23.22   24.26   24.73   26.53
  22.67   21.97   21.20   ##     20.27   20.09   20.01   ##     ##     ##     ##     ##     22.67   23.07   23.38   23.50   24.22   24.76   25.68   27.06
  25.00   ##     ##     ##     22.37   22.55   21.92   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     29.03
  25.93   24.94   24.42   ##     23.95   23.72   23.37   22.77   22.90   23.60   24.92   ##     25.81   25.85   26.08   ##     26.97   27.21   27.71   28.93
  27.20   26.27   26.43   ##     26.02   25.28   24.99   24.13   24.25   24.24   25.19   ##     26.30   26.71   27.33   ##     28.02   28.20   28.20   29.56
  28.67   28.41   27.77   ##     27.54   26.92   26.06   25.52   25.03   25.23   25.90   ##     26.74   27.42   28.24   ##     28.59   28.86   29.76   30.33
  30.34   30.20   29.23   ##     28.29   27.81   27.49   ##     26.93   26.79   27.62   ##     28.24   28.68   29.79   ##     29.57   29.27   30.77   30.72
  29.45   31.26   31.05   29.58   29.52   28.97   28.90   28.53   28.51   28.30   29.12   29.07   29.62   29.73   30.89   30.89   31.06   30.69   30.33   30.52
