   4.21    2.69    1.02    0.00    1.02    2.69    4.21    5.54    6.81    8.10    9.38   10.66   11.94   13.22   14.48   15.72   16.95   18.18   19.42   20.67
   4.55    3.36    2.20   ##      2.20    3.36    4.55   ##      7.05    8.31    9.57   ##     12.10   13.35   14.58   ##     17.03   18.26   19.49   20.73
   5.44    4.37    3.52   ##      3.52    4.37    5.44   ##      7.61    8.80   10.04   ##     12.47   13.66   14.86   ##     17.26   18.47   19.68   20.88
   6.43    5.44    4.75   ##      4.75    5.44    6.43   ##      8.58    9.64   10.71   ##     12.98   14.16   15.35   ##     17.74   18.94   20.13   21.34
   7.49   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     18.26   19.44   ##     21.82
   8.56    7.74    7.21    6.82    7.21    7.74    8.56   ##     ##     ##     ##     ##     ##     ##     ##     ##     18.86   20.00   21.17   22.35
   9.69    8.91    8.43    8.14    8.43    8.91    9.69   ##     ##     ##     ##     ##     ##     ##     ##     ##     19.68   20.75   21.84   22.96
  10.82   10.10    9.65   ##      9.65   10.10   10.82   ##     ##     ##     ##     ##     ##     ##     ##     ##     20.56   21.61   22.67   23.74
  11.94   11.25   10.88   ##     10.88   11.25   11.94   ##     ##     ##     ##     ##     ##     ##     ##     ##     21.51   22.52   23.54   24.60
  13.06   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     21.45   22.47   23.48   ##     25.50
  14.19   13.55   13.26   ##     ##     ##     ##     ##     ##     ##     ##     ##     19.31   20.33   21.35   22.38   23.41   24.44   25.45   26.46
  15.31   14.73   14.45   ##     ##     ##     ##     ##     ##     ##     ##     ##     20.25   21.27   22.29   23.31   24.34   25.37   26.40   27.42
  16.43   15.91   15.63   ##     ##     ##     ##     ##     ##     ##     ##     ##     21.26   22.21   23.23   ##     25.27   26.30   27.33   28.36
  17.57   17.09   16.82   ##     ##     ##     ##     ##     ##     ##     ##     ##     22.29   23.19   24.17   ##     26.21   27.23   28.26   29.29
  18.72   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     23.32   24.22   25.13   ##     ##     ##     ##     30.22
  19.88   19.45   19.19   ##     19.19   19.45   19.88   20.54   21.28   22.02   22.77   ##     24.35   25.26   26.16   ##     28.09   29.11   30.13   31.14
  21.04   20.63   20.38   ##     20.38   20.63   21.04   21.67   22.41   23.15   23.89   ##     25.43   26.29   27.19   ##     29.03   30.05   31.07   32.09
  22.19   21.81   21.57   ##     21.57   21.81   22.19   ##     23.53   24.27   25.01   25.76   26.52   27.33   28.22   ##     30.03   30.99   32.01   33.03
  23.35   23.00   22.75   ##     22.75   23.00   23.35   ##     24.65   25.39   26.13   26.88   27.63   28.41   29.25   ##     31.06   31.96   32.95   33.97
  24.51   24.19   23.94   23.69   23.94   24.19   24.51   25.06   25.78   26.52   27.26   27.99   28.75   29.50   30.31   31.19   32.09   32.99   33.91   34.91
