   3    2    1    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16
   4    3    2   ##      2    3    4   ##      6    7    8   ##     10   11   12   ##     14   15   16   17
   5    4    3   ##      3    4    5   ##      7    8    9   ##     11   12   13   ##     15   16   17   18
   6    5    4   ##      4    5    6   ##      8    9   10   ##     12   13   14   ##     16   17   18   19
   7   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     17   18   ##     20
   8    9   10   11   12   13   14   ##     ##     ##     ##     ##     ##     ##     ##     ##     18   19   20   21
   9   10   11   12   13   14   15   ##     ##     ##     ##     ##     ##     ##     ##     ##     19   20   21   22
  10   11   12   ##     14   15   16   ##     ##     ##     ##     ##     ##     ##     ##     ##     20   21   22   23
  11   12   13   ##     15   16   17   ##     ##     ##     ##     ##     ##     ##     ##     ##     21   22   23   24
  12   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     23   22   23   ##     25
  13   14   15   ##     ##     ##     ##     ##     ##     ##     ##     ##     27   26   25   24   23   24   25   26
  14   15   16   ##     ##     ##     ##     ##     ##     ##     ##     ##     28   27   26   25   24   25   26   27
  15   16   17   ##     ##     ##     ##     ##     ##     ##     ##     ##     29   28   27   ##     25   26   27   28
  16   17   18   ##     ##     ##     ##     ##     ##     ##     ##     ##     30   29   28   ##     26   27   28   29
  17   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     31   30   29   ##     ##     ##     ##     30
  18   19   20   ##     30   31   32   33   34   35   36   ##     32   31   30   ##     34   33   32   31
  19   20   21   ##     29   30   31   32   33   34   35   ##     33   32   31   ##     35   34   33   32
  20   21   22   ##     28   29   30   ##     32   33   34   35   34   33   32   ##     36   35   34   33
  21   22   23   ##     27   28   29   ##     31   32   33   34   35   34   33   ##     37   36   35   34
  22   23   24   25   26   27   28   29   30   31   32   33   34   35   34   35   36   37   36   35
