   1.81    1.04    0.75    1.01    0.48    0.01    0.92    2.20    4.84    5.24    5.46    5.57    6.15    7.04    7.33    7.03    7.74    7.05    8.48    6.83
   1.07    1.03    0.16   ##     -0.14    0.49    0.99   ##      4.15    4.33    4.11   ##      5.70    6.57    6.46   ##      6.67    6.27    6.39    7.06
   0.85    1.48    0.61   ##      0.64    0.85    2.13   ##      4.42    4.86    5.12   ##      6.51    7.05    6.22   ##      5.80    5.61    5.29    4.92
   2.74    2.45    3.74   ##      3.78    2.81    2.52   ##      4.53    5.61    6.43   ##      6.83    6.61    5.95   ##      5.13    4.60    4.24    3.94
   3.31   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      4.31    4.22   ##      2.98
   2.82    1.41   -0.14   -0.37   -1.40   -0.20   -0.35   ##     ##     ##     ##     ##     ##     ##     ##     ##      3.68    3.20    2.48    1.99
   3.33    1.18   -0.45   -1.11   -1.84   -1.51   -1.21   ##     ##     ##     ##     ##     ##     ##     ##     ##      2.98    2.61    1.96    2.25
   3.25    1.66    0.15   ##     -1.43   -1.41   -1.81   ##     ##     ##     ##     ##     ##     ##     ##     ##      2.44    1.83    1.60    1.53
   3.56    2.06    2.11   ##     -0.18   -0.44   -0.62   ##     ##     ##     ##     ##     ##     ##     ##     ##      1.83    1.56    1.18    1.98
   3.43   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      0.10    1.33    0.92   ##      0.88
   3.59    2.89    3.08   ##     ##     ##     ##     ##     ##     ##     ##     ##     -3.15   -1.56   -1.37   -0.60    0.84    0.86    0.60    1.44
   3.90    2.53    2.31   ##     ##     ##     ##     ##     ##     ##     ##     ##     -4.67   -3.28   -2.09   -0.97    0.69    0.61    0.62    0.99
   4.39    3.05    2.65   ##     ##     ##     ##     ##     ##     ##     ##     ##     -5.34   -3.60   -1.80   ##      1.59    1.21    0.29    0.74
   4.49    3.65    3.43   ##     ##     ##     ##     ##     ##     ##     ##     ##     -5.33   -3.68   -1.44   ##      1.72    1.09    0.17    0.15
   6.61   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     -4.79   -3.06   -1.10   ##     ##     ##     ##      0.15
   6.92    5.41    5.02   ##     -4.46   -5.83   -7.27   -8.69   -9.51  -10.12  -10.20   ##     -5.25   -3.71   -1.67   ##     -4.86   -3.90   -3.00   -1.11
   7.30    5.63    5.13   ##     -2.41   -3.69   -5.10   -6.72   -7.42   -8.29   -7.99   ##     -5.18   -3.97   -1.82   ##     -5.64   -4.90   -4.21   -2.12
   7.90    6.76    5.32   ##     -0.45   -1.60   -2.81   ##     -5.08   -5.66   -5.90   -6.56   -5.14   -3.72   -2.14   ##     -6.60   -5.63   -4.22   -2.73
   8.87    7.81    5.98   ##      1.55    0.57   -0.33   ##     -2.69   -3.56   -3.69   -4.45   -4.89   -3.92   -2.12   ##     -7.03   -6.58   -4.37   -3.52
   7.17    8.05    6.95    4.62    3.94    2.69    1.92    0.74   -0.16   -1.30   -1.41   -2.34   -2.79   -3.96   -2.22   -3.62   -4.78   -6.40   -5.96   -4.85
