   4.81    3.04    1.75    1.01    1.48    2.01    3.92    6.20    9.84   11.24   12.46   13.57   15.15   17.04   18.33   19.03   20.74   21.05   23.48   22.83
   5.07    4.03    2.16   ##      1.86    3.49    4.99   ##     10.15   11.33   12.11   ##     15.70   17.57   18.46   ##     20.67   21.27   22.39   24.06
   5.85    5.48    3.61   ##      3.64    4.85    7.13   ##     11.42   12.86   14.12   ##     17.51   19.05   19.22   ##     20.80   21.61   22.29   22.92
   8.74    7.45    7.74   ##      7.78    7.81    8.52   ##     12.53   14.61   16.43   ##     18.83   19.61   19.95   ##     21.13   21.60   22.24   22.94
  10.31   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     21.31   22.22   ##     22.98
  10.82   10.41    9.86   10.63   10.60   12.80   13.65   ##     ##     ##     ##     ##     ##     ##     ##     ##     21.68   22.20   22.48   22.99
  12.33   11.18   10.55   10.89   11.16   12.49   13.79   ##     ##     ##     ##     ##     ##     ##     ##     ##     21.98   22.61   22.96   24.25
  13.25   12.66   12.15   ##     12.57   13.59   14.19   ##     ##     ##     ##     ##     ##     ##     ##     ##     22.44   22.83   23.60   24.53
  14.56   14.06   15.11   ##     14.82   15.56   16.38   ##     ##     ##     ##     ##     ##     ##     ##     ##     22.83   23.56   24.18   25.98
  15.43   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     23.10   23.33   23.92   ##     25.88
  16.59   16.89   18.08   ##     ##     ##     ##     ##     ##     ##     ##     ##     23.85   24.44   23.63   23.40   23.84   24.86   25.60   27.44
  17.90   17.53   18.31   ##     ##     ##     ##     ##     ##     ##     ##     ##     23.33   23.72   23.91   24.03   24.69   25.61   26.62   27.99
  19.39   19.05   19.65   ##     ##     ##     ##     ##     ##     ##     ##     ##     23.66   24.40   25.20   ##     26.59   27.21   27.29   28.74
  20.49   20.65   21.43   ##     ##     ##     ##     ##     ##     ##     ##     ##     24.67   25.32   26.56   ##     27.72   28.09   28.17   29.15
  23.61   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     26.21   26.94   27.90   ##     ##     ##     ##     30.15
  24.92   24.41   25.02   ##     25.54   25.17   24.73   24.31   24.49   24.88   25.80   ##     26.75   27.29   28.33   ##     29.14   29.10   29.00   29.89
  26.30   25.63   26.13   ##     26.59   26.31   25.90   25.28   25.58   25.71   27.01   ##     27.82   28.03   29.18   ##     29.36   29.10   28.79   29.88
  27.90   27.76   27.32   ##     27.55   27.40   27.19   ##     26.92   27.34   28.10   28.44   28.86   29.28   29.86   ##     29.40   29.37   29.78   30.27
  29.87   29.81   28.98   ##     28.55   28.57   28.67   ##     28.31   28.44   29.31   29.55   30.11   30.08   30.88   ##     29.97   29.42   30.63   30.48
  29.17   31.05   30.95   29.62   29.94   29.69   29.92   29.74   29.84   29.70   30.59   30.66   31.21   31.04   31.78   31.38   31.22   30.60   30.04   30.15
