  24.40   23.15   21.91   20.67   19.42   18.18   16.95   15.72   14.48   13.22   11.94   10.66    9.38    8.10    6.81    5.54    4.21    2.69    1.02    0.00
  24.44   23.19   21.96   ##     19.49   18.26   17.03   ##     14.58   13.35   12.10   ##      9.57    8.31    7.05   ##      4.55    3.36    2.20    0.97
  24.56   23.34   22.11   ##     19.68   18.47   17.26   ##     14.86   13.66   12.47   ##     10.04    8.80    7.61   ##      5.44    4.37    3.52    2.60
  24.96   23.75   22.54   21.34   20.13   18.94   17.74   ##     15.35   14.16   12.98   ##     10.71    9.64    8.58   ##      6.43    5.44    4.75    4.08
  25.41   ##     ##     ##     20.63   19.44   18.26   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      5.46
  25.91   24.72   23.54   22.35   21.17   20.00   18.86   ##     16.69   15.63   14.61   ##     ##     ##     ##     ##     ##      7.74    7.21    6.82
  26.45   25.26   24.10   ##     21.84   20.75   19.68   ##     17.58   16.57   15.56   ##     ##     ##     ##     ##      9.69    8.91    8.43    8.14
  27.06   25.93   24.82   ##     22.67   21.61   20.56   ##     18.54   17.53   16.49   ##     ##     ##     ##     ##     10.82   10.10    9.65    9.37
  27.81   26.73   25.66   ##     23.54   22.52   21.51   ##     19.49   18.45   17.43   ##     ##     ##     ##     ##     11.94   11.25   10.88   10.60
  28.65   ##     ##     ##     ##     ##     ##     ##     ##     ##     18.37   ##     ##     ##     ##     ##     ##     ##     ##     11.83
  29.52   28.47   27.47   ##     25.45   24.44   23.41   22.38   21.35   20.33   19.31   ##     ##     ##     ##     ##     14.19   13.55   13.26   13.01
  30.44   29.43   28.42   ##     26.40   25.37   24.34   23.31   22.29   21.27   20.25   ##     ##     ##     ##     ##     15.31   14.73   14.45   14.20
  31.40   30.39   29.38   ##     27.33   26.30   25.27   ##     23.23   22.21   21.26   ##     ##     ##     ##     ##     16.43   15.91   15.63   15.39
  32.36   31.35   30.32   ##     28.26   27.23   26.21   ##     24.17   23.19   22.29   ##     ##     ##     ##     ##     17.57   17.09   16.82   16.57
  33.32   ##     ##     ##     29.18   28.17   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     17.76
  34.25   33.21   32.18   ##     30.13   29.11   28.09   ##     26.16   25.26   24.35   23.53   22.77   22.02   21.28   20.54   19.88   19.45   19.19   18.95
  35.17   34.14   33.10   ##     31.07   30.05   29.03   ##     27.19   26.29   25.43   24.64   23.89   23.15   22.41   21.67   21.04   20.63   20.38   20.13
  36.10   35.06   34.05   ##     32.01   30.99   30.03   ##     28.22   27.33   26.52   ##     25.01   24.27   23.53   ##     22.19   21.81   21.57   21.32
  37.03   36.01   34.99   ##     32.95   31.96   31.06   ##     29.25   28.41   27.63   ##     26.13   25.39   24.65   ##     23.35   23.00   22.75   22.51
  37.96   36.95   35.93   34.91   33.91   32.99   32.09   31.19   30.31   29.50   28.75   27.99   27.26   26.52   25.78   25.06   24.51   24.19   23.94   23.69
