  19   18   17   16   15   14   13   12   11   10    9    8    7    6    5    4    3    2    1    0
  20   19   18   ##     16   15   14   ##     12   11   10   ##      8    7    6   ##      4    3    2    1
  21   20   19   ##     17   16   15   ##     13   12   11   ##      9    8    7   ##      5    4    3    2
  22   21   20   19   18   17   16   ##     14   13   12   ##     10    9    8   ##      6    5    4    3
  23   ##     ##     ##     19   18   17   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      4
  24   23   22   21   20   19   18   ##     54   53   52   ##     ##     ##     ##     ##     ##      7    6    5
  25   24   23   ##     21   20   19   ##     53   52   51   ##     ##     ##     ##     ##      9    8    7    6
  26   25   24   ##     22   21   20   ##     52   51   50   ##     ##     ##     ##     ##     10    9    8    7
  27   26   25   ##     23   22   21   ##     51   50   49   ##     ##     ##     ##     ##     11   10    9    8
  28   ##     ##     ##     ##     ##     ##     ##     ##     ##     48   ##     ##     ##     ##     ##     ##     ##     ##      9
  29   30   31   ##     43   42   43   44   45   46   47   ##     ##     ##     ##     ##     13   12   11   10
  30   31   32   ##     42   41   42   43   44   45   46   ##     ##     ##     ##     ##     14   13   12   11
  31   32   33   ##     41   40   41   ##     45   46   47   ##     ##     ##     ##     ##     15   14   13   12
  32   33   34   ##     40   39   40   ##     46   47   48   ##     ##     ##     ##     ##     16   15   14   13
  33   ##     ##     ##     39   38   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     14
  34   35   36   ##     38   37   36   ##     26   25   24   23   22   21   20   19   18   17   16   15
  35   36   37   ##     37   36   35   ##     27   26   25   24   23   22   21   20   19   18   17   16
  36   37   38   ##     36   35   34   ##     28   27   26   ##     24   23   22   ##     20   19   18   17
  37   38   37   ##     35   34   33   ##     29   28   27   ##     25   24   23   ##     21   20   19   18
  38   37   36   35   34   33   32   31   30   29   28   27   26   25   24   23   22   21   20   19
