  10.54   11.42   10.92   10.51    8.09    8.34    7.71    7.61    6.41    7.12    8.78    9.12   10.63   11.89   10.19    8.15    2.70    0.15    0.58    0.78
   8.86    8.57    9.24   ##      7.17    6.90    6.14   ##      5.53    5.75    6.65   ##      8.50    8.44    6.79   ##      1.95    0.86    0.37    0.77
   6.53    6.65    6.80   ##      5.35    5.03    5.01   ##      4.93    5.93    5.92   ##      6.64    7.02    5.84   ##      2.10    0.70   -0.56    0.35
   4.66    4.12    4.11    4.54    3.86    4.19    4.40   ##      4.52    5.34    5.76   ##      5.56    5.85    4.98   ##      1.74    1.65   -0.37    0.42
   3.34   ##     ##     ##      3.20    3.59    4.20   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      5.13
   2.40    2.15    2.21    2.35    1.82    2.65    3.34   ##    -34.48  -33.58  -32.63   ##     ##     ##     ##     ##     ##      6.71    4.42    6.53
   1.42    1.56    1.77   ##      2.82    2.71    2.86   ##    -33.06  -32.31  -32.30   ##     ##     ##     ##     ##      5.43    4.94    4.03    6.11
   1.66    1.70    2.16   ##      2.59    3.17    2.66   ##    -32.28  -31.95  -31.41   ##     ##     ##     ##     ##      4.38    5.32    3.95    6.06
   1.94    2.71    3.09   ##      2.95    3.61    3.20   ##    -31.08  -30.57  -29.71   ##     ##     ##     ##     ##      4.81    5.03    5.07    6.81
   2.20   ##     ##     ##     ##     ##     ##     ##     ##     ##    -28.28   ##     ##     ##     ##     ##     ##     ##     ##      7.48
   2.57    1.58   -0.01   ##    -14.68  -14.72  -17.88  -20.14  -23.53  -25.24  -26.61   ##     ##     ##     ##     ##      5.97    6.39    5.93    7.19
   3.20    1.52    0.23   ##    -13.27  -13.78  -16.44  -19.01  -21.78  -23.06  -24.12   ##     ##     ##     ##     ##      5.39    5.74    5.56    7.13
   3.04    1.97    0.29   ##    -11.44  -11.72  -14.15   ##    -20.50  -21.55  -21.85   ##     ##     ##     ##     ##      4.52    5.45    5.59    7.67
   2.54    1.65    0.46   ##     -8.74   -9.34  -11.41   ##    -20.07  -21.28  -21.35   ##     ##     ##     ##     ##      4.49    4.71    5.53    7.17
   1.58   ##     ##     ##     -6.04   -6.26   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      8.21
   0.96   -0.04   -0.95   ##     -4.27   -4.31   -4.44   ##      2.44    1.97    2.51    3.23    3.77    4.07    5.13    4.71    5.01    5.18    5.78    7.38
  -1.26   -1.80   -2.65   ##     -3.39   -3.28   -3.12   ##      2.21    1.91    2.05    1.65    1.91    2.00    3.21    3.61    4.42    4.93    6.12    8.53
  -2.03   -2.60   -4.08   ##     -2.39   -1.96   -1.75   ##      1.73    1.86    2.26   ##      2.25    2.54    3.25   ##      4.44    5.36    6.53    8.23
  -3.41   -3.72   -3.48   ##     -2.09   -1.32   -0.54   ##      1.67    1.62    2.36   ##      2.40    2.67    3.78   ##      4.54    5.30    6.93    8.63
  -6.51   -2.95   -1.63   -1.92   -0.50    0.03    0.97    1.17    1.62    1.54    2.31    2.39    2.71    2.90    3.91    4.42    5.13    5.80    6.58    7.89
