  29.54   29.42   27.92   26.51   23.09   22.34   20.71   19.61   17.41   17.12   17.78   17.12   17.63   17.89   15.19   12.15    5.70    2.15    1.58    0.78
  28.86   27.57   27.24   ##     23.17   21.90   20.14   ##     17.53   16.75   16.65   ##     16.50   15.44   12.79   ##      5.95    3.86    2.37    1.77
  27.53   26.65   25.80   ##     22.35   21.03   20.01   ##     17.93   17.93   16.92   ##     15.64   15.02   12.84   ##      7.10    4.70    2.44    2.35
  26.66   25.12   24.11   23.54   21.86   21.19   20.40   ##     18.52   18.34   17.76   ##     15.56   14.85   12.98   ##      7.74    6.65    3.63    3.42
  26.34   ##     ##     ##     22.20   21.59   21.20   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      9.13
  26.40   25.15   24.21   23.35   21.82   21.65   21.34   ##     19.52   19.42   19.37   ##     ##     ##     ##     ##     ##     13.71   10.42   11.53
  26.42   25.56   24.77   ##     23.82   22.71   21.86   ##     19.94   19.69   18.70   ##     ##     ##     ##     ##     14.43   12.94   11.03   12.11
  27.66   26.70   26.16   ##     24.59   24.17   22.66   ##     19.72   19.05   18.59   ##     ##     ##     ##     ##     14.38   14.32   11.95   13.06
  28.94   28.71   28.09   ##     25.95   25.61   24.20   ##     19.92   19.43   19.29   ##     ##     ##     ##     ##     15.81   15.03   14.07   14.81
  30.20   ##     ##     ##     ##     ##     ##     ##     ##     ##     19.72   ##     ##     ##     ##     ##     ##     ##     ##     16.48
  31.57   31.58   30.99   ##     28.32   27.28   25.12   23.86   21.47   20.76   20.39   ##     ##     ##     ##     ##     18.97   18.39   16.93   17.19
  33.20   32.52   32.23   ##     28.73   27.22   25.56   23.99   22.22   21.94   21.88   ##     ##     ##     ##     ##     19.39   18.74   17.56   18.13
  34.04   33.97   33.29   ##     29.56   28.28   26.85   ##     24.50   24.45   25.15   ##     ##     ##     ##     ##     19.52   19.45   18.59   19.67
  34.54   34.65   34.46   ##     31.26   29.66   28.59   ##     25.93   25.72   26.65   ##     ##     ##     ##     ##     20.49   19.71   19.53   20.17
  34.58   ##     ##     ##     32.96   31.74   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     22.21
  34.96   34.96   35.05   ##     33.73   32.69   31.56   ##     28.44   26.97   26.51   26.23   25.77   25.07   25.13   23.71   23.01   22.18   21.78   22.38
  33.74   34.20   34.35   ##     33.61   32.72   31.88   ##     29.21   27.91   27.05   25.65   24.91   24.00   24.21   23.61   23.42   22.93   23.12   24.53
  33.97   34.40   33.92   ##     33.61   33.04   32.25   ##     29.73   28.86   28.26   ##     26.25   25.54   25.25   ##     24.44   24.36   24.53   25.23
  33.59   34.28   33.52   ##     32.91   32.68   32.46   ##     30.67   29.62   29.36   ##     27.40   26.67   26.78   ##     25.54   25.30   25.93   26.63
  31.49   34.05   34.37   33.08   33.50   33.03   32.97   32.17   31.62   30.54   30.31   29.39   28.71   27.90   27.91   27.42   27.13   26.80   26.58   26.89
