  28   29   30   31   32   33   34   35   36   37   38   37   36   35   34   33   32   31   30   29
  27   28   29   ##     33   34   35   ##     37   38   39   ##     37   36   35   ##     31   30   29   28
  26   27   28   ##     34   35   36   ##     38   39   40   ##     38   37   36   ##     30   29   28   27
  25   26   27   ##     35   36   37   ##     39   40   41   ##     39   38   37   ##     29   28   27   26
  24   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     28   27   ##     25
  23   24   25   26   27   28   29   ##     33   34   ##     ##     ##     ##     ##     ##     27   26   25   24
  22   23   24   25   26   27   28   ##     32   33   34   ##     ##     ##     ##     ##     26   25   24   23
  21   22   23   24   25   26   27   ##     31   32   33   ##     ##     ##     ##     ##     25   24   23   22
  20   21   22   ##     26   27   28   ##     30   31   32   ##     ##     ##     ##     ##     24   23   22   21
  19   ##     ##     ##     ##     ##     29   ##     29   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     20
  18   19   20   ##     32   31   30   ##     28   27   26   ##     20   19   18   17   16   17   18   19
  17   18   19   ##     31   30   29   ##     27   26   25   ##     19   18   17   16   15   16   17   18
  16   17   18   ##     30   29   28   ##     26   25   24   ##     20   19   18   ##     14   15   16   17
  15   16   17   ##     29   28   27   26   25   24   23   22   21   20   19   ##     13   14   15   16
  14   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     12   13   ##     15
  13   12   11   ##      9    8    7    6    5    4   ##     ##      7    8    9   ##     11   12   13   14
  12   11   10   ##      8    7    6   ##      4    3    4   ##      6    7    8   ##     10   11   12   13
  11   10    9   ##      7    6    5   ##      3    2    3   ##      5    6    7   ##      9   10   11   12
  10    9    8   ##      6    5    4   ##      2    1    2   ##      4    5    6   ##      8    9   10   11
   9    8    7    6    5    4    3    2    1    0    1    2    3    4    5    6    7    8    9   10
