   2.25    1.14   -1.28   -3.84   -4.97   -5.78   -7.30   -9.78  -10.86  -11.69  -11.92  -11.46   -9.60   -7.79   -5.57   -4.77   -3.67   -1.40    0.99    1.15
   2.37    0.46   -1.29   ##     -6.71   -7.06   -9.17   ##    -12.12  -12.24  -13.90   ##    -11.03   -9.11   -8.00   ##     -3.58   -1.56    0.60    3.15
   1.26    0.29   -1.53   ##     -8.17   -9.25  -11.22   ##    -13.43  -13.77  -15.18   ##    -12.02  -10.54   -9.53   ##     -3.04   -1.60    0.56    2.04
   1.20   -0.34   -2.19   ##    -10.58  -11.61  -13.21   ##    -15.72  -15.65  -16.58   ##    -14.24  -12.73  -11.75   ##     -3.41   -1.43    0.44    1.91
   0.95   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     -3.38   -1.62   ##      1.22
   1.27   -0.22   -2.47   -3.96   -5.44   -5.86   -7.00   ##    -11.62  -11.67   ##     ##     ##     ##     ##     ##     -3.27   -1.71   -0.32    1.50
   0.10   -0.95   -3.22   -4.83   -6.31   -7.40   -8.38   ##    -12.93  -12.77  -13.64   ##     ##     ##     ##     ##     -3.26   -1.64   -0.35    1.82
   0.31   -0.67   -2.82   -3.98   -6.13   -7.78   -9.35   ##    -14.54  -14.82  -15.09   ##     ##     ##     ##     ##     -3.42   -1.59   -0.18    1.39
  -0.14   -0.52   -1.82   ##     -7.45   -9.13  -11.35   ##    -14.65  -14.32  -14.40   ##     ##     ##     ##     ##     -4.52   -2.36   -0.70    1.41
   0.35   ##     ##     ##     ##     ##    -13.59   ##    -14.31   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      1.15
   0.10   -0.15   -0.83   ##    -15.26  -15.35  -16.27   ##    -14.81  -12.63  -11.42   ##     -4.15   -2.12   -1.34    0.56    1.54    1.88    1.14    0.55
   0.21   -0.89   -1.47   ##    -15.00  -15.08  -15.73   ##    -15.17  -13.70  -12.49   ##     -5.01   -2.90   -2.35   -0.45    1.10    1.18    1.24    0.72
   0.68   -0.67   -1.90   ##    -15.71  -15.24  -15.75   ##    -15.40  -14.13  -12.16   ##     -7.44   -5.30   -3.92   ##      1.43    1.70    1.45    0.85
   1.22    0.27   -1.00   ##    -15.44  -14.99  -15.87  -15.19  -15.49  -13.58  -11.98   -9.93   -8.81   -6.15   -5.18   ##      1.58    1.93    1.91    1.67
   1.53   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      1.22    2.46   ##      1.55
   1.83    2.49    3.10   ##      2.85    3.49    1.14    1.99    2.34    3.82   ##     ##      3.80    3.78    3.20   ##      1.69    2.68    2.16    1.89
   1.57    1.90    2.40   ##      2.28    2.69    1.30   ##      0.11    1.78    1.66   ##      3.22    2.82    2.38   ##      1.57    2.13    2.46    2.49
   2.93    2.82    2.75   ##      2.33    2.21    0.62   ##     -0.01    0.31    0.11   ##      2.03    3.05    2.87   ##      2.16    3.15    3.34    3.43
   4.87    4.13    3.76   ##      3.01    2.48    0.89   ##     -0.59    0.00   -0.07   ##      1.61    2.88    3.40   ##      3.03    3.85    3.96    4.63
   5.46    6.16    5.40    4.54    4.49    4.02    1.91    1.24    0.01    0.26    0.44    0.88    2.03    3.50    4.25    4.63    4.86    5.35    5.32    4.55
