  30.25   30.14   28.72   27.16   27.03   27.22   26.70   25.22   25.14   25.31   26.08   25.54   26.40   27.21   28.43   28.23   28.33   29.60   30.99   30.15
  29.37   28.46   27.71   ##     26.29   26.94   25.83   ##     24.88   25.76   25.10   ##     25.97   26.89   27.00   ##     27.42   28.44   29.60   31.15
  27.26   27.29   26.47   ##     25.83   25.75   24.78   ##     24.57   25.23   24.82   ##     25.98   26.46   26.47   ##     26.96   27.40   28.56   29.04
  26.20   25.66   24.81   ##     24.42   24.39   23.79   ##     23.28   24.35   24.42   ##     24.76   25.27   25.25   ##     25.59   26.57   27.44   27.91
  24.95   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     24.62   25.38   ##     26.22
  24.27   23.78   22.53   22.04   21.56   22.14   22.00   ##     21.38   22.33   ##     ##     ##     ##     ##     ##     23.73   24.29   24.68   25.50
  22.10   22.05   20.78   20.17   19.69   19.60   19.62   ##     19.07   20.23   20.36   ##     ##     ##     ##     ##     22.74   23.36   23.65   24.82
  21.31   21.33   20.18   20.02   18.87   18.22   17.65   ##     16.46   17.18   17.91   ##     ##     ##     ##     ##     21.58   22.41   22.82   23.39
  19.86   20.48   20.18   ##     18.55   17.87   16.65   ##     15.35   16.68   17.60   ##     ##     ##     ##     ##     19.48   20.64   21.30   22.41
  19.35   ##     ##     ##     ##     ##     15.41   ##     14.69   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     21.15
  18.10   18.85   19.17   ##     16.74   15.65   13.73   ##     13.19   14.37   14.58   ##     15.85   16.88   16.66   17.56   17.54   18.88   19.14   19.55
  17.21   17.11   17.53   ##     16.00   14.92   13.27   ##     11.83   12.30   12.51   ##     13.99   15.10   14.65   15.55   16.10   17.18   18.24   18.72
  16.68   16.33   16.10   ##     14.29   13.76   12.25   ##     10.60   10.87   11.84   ##     12.56   13.70   14.08   ##     15.43   16.70   17.45   17.85
  16.22   16.27   16.00   ##     13.56   13.01   11.13   10.81    9.51   10.42   11.02   12.07   12.19   13.85   13.82   ##     14.58   15.93   16.91   17.67
  15.53   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     13.22   15.46   ##     16.55
  14.83   14.49   14.10   ##     11.85   11.49    8.14    7.99    7.34    7.82   ##     ##     10.80   11.78   12.20   ##     12.69   14.68   15.16   15.89
  13.57   12.90   12.40   ##     10.28    9.69    7.30   ##      4.11    4.78    5.66   ##      9.22    9.82   10.38   ##     11.57   13.13   14.46   15.49
  13.93   12.82   11.75   ##      9.33    8.21    5.62   ##      2.99    2.31    3.11   ##      7.03    9.05    9.87   ##     11.16   13.15   14.34   15.43
  14.87   13.13   11.76   ##      9.01    7.48    4.89   ##      1.41    1.00    1.93   ##      5.61    7.88    9.40   ##     11.03   12.85   13.96   15.63
  14.46   14.16   12.40   10.54    9.49    8.02    4.91    3.24    1.01    0.26    1.44    2.88    5.03    7.50    9.25   10.63   11.86   13.35   14.32   14.55
