  31   32   33   34   33   32   31   30   29   30   31   32   33   34   35   36   35   34   33   32
  30   31   32   ##     32   31   30   ##     28   29   30   ##     34   35   36   35   34   33   32   31
  29   30   31   ##     31   30   29   ##     27   28   29   ##     35   36   35   34   33   32   31   30
  28   29   30   ##     30   29   28   ##     26   27   28   ##     36   37   36   ##     32   31   30   29
  27   ##     ##     ##     ##     ##     27   ##     25   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     28
  26   27   28   ##     28   27   26   ##     24   23   24   ##     ##     ##     ##     ##     30   29   28   27
  25   26   27   28   27   26   25   ##     23   22   23   ##     ##     ##     ##     ##     29   28   27   26
  24   25   26   27   26   25   24   ##     22   21   22   ##     ##     ##     ##     ##     28   27   26   25
  23   24   25   26   25   24   23   22   21   20   21   ##     ##     ##     ##     ##     27   26   25   24
  22   ##     ##     ##     ##     ##     ##     21   20   19   ##     ##     ##     ##     ##     ##     ##     ##     ##     23
  21   22   23   ##     23   22   21   20   19   18   17   ##     15   16   17   ##     25   24   23   22
  20   21   22   ##     24   23   22   ##     18   17   16   ##     14   15   16   ##     24   23   22   21
  19   20   21   ##     25   24   23   ##     17   16   15   14   13   14   15   ##     23   22   21   20
  18   19   20   ##     26   25   24   ##     16   15   14   13   12   13   14   ##     22   21   20   19
  17   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     11   12   13   ##     ##     ##     ##     18
  16   15   14   ##     12   11   10   ##      2    1    2   ##     10   11   12   ##     14   15   16   17
  15   14   13   ##     11   10    9   ##      1    0    1   ##      9   10   11   ##     13   14   15   16
  14   13   12   ##     10    9    8   ##      2    1    2   ##      8    9   10   ##     12   13   14   15
  13   12   11   ##      9    8    7   ##      3    2    3   ##      7    8    9   ##     11   12   13   14
  12   11   10    9    8    7    6    5    4    3    4    5    6    7    8    9   10   11   12   13
