  -3.25   -4.43   -6.63   -8.93   -8.16   -7.35   -7.17   -7.58   -6.58   -7.37   -7.99   -9.78  -10.29  -10.57  -10.64  -11.64   -9.61   -7.68   -5.02   -4.65
  -2.95   -4.73   -6.46   ##     -7.64   -6.37   -7.20   ##     -6.36   -6.61   -8.04   ##    -11.57  -11.57  -12.68  -10.59   -9.11   -7.14   -5.84   -3.26
  -3.19   -4.10   -6.01   ##     -6.90   -6.81   -7.42   ##     -6.30   -6.76   -7.78   ##    -13.01  -13.27  -12.52  -10.13   -8.38   -6.98   -5.89   -5.07
  -3.04   -4.14   -6.15   ##     -7.48   -7.04   -7.67   ##     -6.54   -6.73   -7.57   ##    -15.14  -14.94  -13.86   ##     -8.09   -6.89   -5.93   -4.45
  -3.59   ##     ##     ##     ##     ##     -7.42   ##     -6.21   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     -3.43
  -3.11   -4.24   -6.42   ##     -8.32   -7.96   -8.36   ##     -7.26   -5.39   -5.63   ##     ##     ##     ##     ##     -8.31   -6.79   -5.50   -3.76
  -4.22   -5.58   -7.44   -9.53   -9.36   -9.21   -8.65   ##     -8.33   -6.87   -6.96   ##     ##     ##     ##     ##     -8.38   -6.34   -5.62   -3.20
  -4.54   -5.76   -7.71   -9.40   -9.41   -8.91   -8.92   ##     -9.02   -6.98   -6.83   ##     ##     ##     ##     ##     -8.78   -6.61   -5.51   -4.34
  -5.03   -5.97   -7.00   -8.80   -8.80   -8.95   -9.18   -9.66   -8.96   -7.13   -6.10   ##     ##     ##     ##     ##     -8.66   -6.33   -5.27   -3.43
  -4.19   ##     ##     ##     ##     ##     ##     -9.48   -9.15   -7.59   ##     ##     ##     ##     ##     ##     ##     ##     ##     -4.17
  -3.83   -4.82   -5.93   ##     -8.04   -8.86   -9.82   -9.25   -9.08   -7.87   -5.75   ##     -2.32   -2.39   -1.76   ##     -7.73   -5.77   -5.66   -5.18
  -3.47   -4.92   -5.91   ##     -9.88  -10.07  -10.03   ##     -8.19   -8.40   -7.19   ##     -3.91   -3.67   -2.98   ##     -8.46   -6.60   -5.90   -4.68
  -3.37   -4.86   -6.07   ##    -12.20  -12.35  -12.20   ##     -7.99   -8.12   -7.21   -6.39   -4.96   -4.79   -3.43   ##     -9.39   -6.95   -6.01   -4.14
  -2.93   -4.15   -4.39   ##    -13.78  -12.47  -12.70   ##     -8.34   -8.81   -7.42   -6.60   -4.95   -5.08   -3.78   ##     -9.25   -6.78   -5.68   -3.36
  -3.12   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     -4.78   -4.57   -4.07   ##     ##     ##     ##     -2.78
  -2.85   -1.86   -0.88   ##     -1.66   -1.04   -2.94   ##      1.10    0.49    0.86   ##     -4.36   -4.41   -3.47   ##     -2.48   -2.21   -2.98   -2.79
  -2.83   -1.72   -1.77   ##     -1.53   -1.89   -4.19   ##      0.01    0.00    0.10   ##     -4.22   -3.84   -3.43   ##     -2.42   -2.07   -2.74   -2.58
  -1.25   -1.01   -1.26   ##     -1.87   -1.42   -2.96   ##      0.18    0.45    0.13   ##     -2.12   -2.37   -1.96   ##     -2.07   -1.58   -1.61   -1.62
   0.33   -0.22   -0.59   ##     -1.24   -0.98   -1.49   ##      0.51    0.20    0.26   ##     -0.89   -0.71   -0.34   ##     -1.06   -0.71   -0.68    0.21
   0.90    1.34    1.04    0.67    0.99    0.32    0.46    0.62   -0.40    0.29    0.41    0.72    0.32    0.15    0.72    0.61    0.77    1.35    1.68    1.07
