  27.75   27.57   26.37   25.07   24.84   24.65   23.83   22.42   22.42   22.63   23.01   22.22   22.71   23.43   24.36   24.36   25.39   26.32   27.98   27.35
  27.05   26.27   25.54   ##     24.36   24.63   22.80   ##     21.64   22.39   21.96   ##     22.43   23.43   23.32   24.41   24.89   25.86   26.16   27.74
  25.81   25.90   24.99   ##     24.10   23.19   21.58   ##     20.70   21.24   21.22   ##     21.99   22.73   22.48   23.87   24.62   25.02   25.11   24.93
  24.96   24.86   23.85   ##     22.52   21.96   20.33   ##     19.46   20.27   20.43   ##     20.86   22.06   22.14   ##     23.91   24.11   24.07   24.55
  23.41   ##     ##     ##     ##     ##     19.58   ##     18.79   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     24.57
  22.89   22.76   21.58   ##     19.68   19.04   17.64   ##     16.74   17.61   18.37   ##     ##     ##     ##     ##     21.69   22.21   22.50   23.24
  20.78   20.42   19.56   18.47   17.64   16.79   16.35   ##     14.67   15.13   16.04   ##     ##     ##     ##     ##     20.62   21.66   21.38   22.80
  19.46   19.24   18.29   17.60   16.59   16.09   15.08   ##     12.98   14.02   15.17   ##     ##     ##     ##     ##     19.22   20.39   20.49   20.66
  17.97   18.03   18.00   17.20   16.20   15.05   13.82   12.34   12.04   12.87   14.90   ##     ##     ##     ##     ##     18.34   19.67   19.73   20.57
  17.81   ##     ##     ##     ##     ##     ##     11.52   10.85   11.41   ##     ##     ##     ##     ##     ##     ##     ##     ##     18.83
  17.17   17.18   17.07   ##     14.96   13.14   11.18   10.75    9.92   10.13   11.25   ##     12.68   13.61   15.24   ##     17.27   18.23   17.34   16.82
  16.53   16.08   16.09   ##     14.12   12.93   11.97   ##      9.81    8.60    8.81   ##     10.09   11.33   13.02   ##     15.54   16.40   16.10   16.32
  15.63   15.14   14.93   ##     12.80   11.65   10.80   ##      9.01    7.88    7.79    7.61    8.04    9.21   11.57   ##     13.61   15.05   14.99   15.86
  15.07   14.85   15.61   ##     12.22   12.53   11.30   ##      7.66    6.19    6.58    6.40    7.05    7.92   10.22   ##     12.75   14.22   14.32   15.64
  13.88   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      6.22    7.43    8.93   ##     ##     ##     ##     15.22
  13.15   13.14   13.12   ##     10.34    9.96    7.06   ##      3.10    1.49    2.86   ##      5.64    6.59    8.53   ##     11.52   12.79   13.02   14.21
  12.17   12.28   11.23   ##      9.47    8.11    4.81   ##      1.01    0.00    1.10   ##      4.78    6.16    7.57   ##     10.58   11.93   12.26   13.42
  12.75   11.99   10.74   ##      8.13    7.58    5.04   ##      2.18    1.45    2.13   ##      5.88    6.63    8.04   ##      9.93   11.42   12.39   13.38
  13.33   11.78   10.41   ##      7.76    7.02    5.51   ##      3.51    2.20    3.26   ##      6.11    7.29    8.66   ##      9.94   11.29   12.32   14.21
  12.90   12.34   11.04    9.67    8.99    7.32    6.46    5.62    3.60    3.29    4.41    5.72    6.32    7.15    8.72    9.61   10.77   12.35   13.68   14.07
