  25.93   24.82   23.74   22.67   21.61   20.56   19.54   18.54   17.53   16.49   15.47   14.45   13.43   12.49   11.59   10.82   10.10    9.65    9.37    9.65
  25.26   24.10   22.96   ##     20.75   19.68   18.62   ##     16.57   15.56   14.53   ##     12.49   11.48   10.56   ##      8.91    8.43    8.14    8.43
  24.72   23.54   22.35   ##     20.00   18.86   17.76   ##     15.63   14.61   13.59   ##     11.55   10.53    9.51   ##      7.74    7.21    6.82    7.21
  24.21   23.02   21.82   ##     19.44   18.26   17.07   ##     14.77   13.70   12.65   ##     10.61    9.56    8.50   ##      6.56    5.98    5.46    5.98
  23.75   ##     ##     ##     ##     ##     ##     ##     14.16   12.98   ##     ##     ##     ##     ##     ##     ##     ##     ##      4.75
  23.34   22.11   20.88   ##     18.47   17.26   16.05   ##     13.66   12.47   11.27   ##      8.80    7.61    6.51    5.44    4.37    3.52    2.60    3.52
  23.19   21.96   20.73   ##     18.26   17.03   15.81   ##     13.35   12.10   10.84   ##      8.31    7.05    5.78    4.55    3.36    2.20    0.97    2.20
  23.15   21.91   20.67   19.42   18.18   16.95   15.72   ##     13.22   11.94   10.66   ##      8.10    6.81    5.54    4.21    2.69    1.02    0.00    1.02
  23.19   21.96   20.73   19.49   18.26   17.03   15.81   ##     13.35   12.10   10.84   ##      8.31    7.05    5.78   ##      3.36    2.20    0.97    2.20
  23.34   ##     ##     ##     ##     ##     ##     ##     13.66   12.47   ##     ##     ##     ##     ##     ##     ##     ##     ##      3.52
  23.75   22.54   21.34   ##     ##     ##     ##     ##     14.16   12.98   11.81   ##     ##     ##     ##     ##      5.44    4.75    4.08    4.75
  24.21   23.02   21.82   ##     ##     ##     ##     ##     14.77   13.70   12.65   ##     ##     ##     ##     ##      6.56    5.98    5.46    5.98
  24.72   23.54   22.35   ##     ##     ##     ##     ##     15.63   14.61   13.59   ##     ##     ##     ##     ##      7.74    7.21    6.82    7.21
  25.26   24.10   22.96   ##     ##     ##     ##     ##     16.57   15.56   14.53   ##     ##     ##     ##     ##      8.91    8.43    8.14    8.43
  25.93   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      9.65    9.37    9.65
  26.73   25.66   24.60   ##     22.52   21.51   20.50   ##     18.45   17.43   16.41   ##     14.42   13.52   12.69   ##     11.25   10.88   10.60   10.88
  27.59   26.53   25.50   ##     23.48   22.47   21.45   20.41   19.39   18.37   17.35   ##     15.46   14.58   13.81   ##     12.39   12.07   11.83   12.07
  28.47   27.47   26.46   ##     24.44   23.41   22.38   21.35   20.33   19.31   18.30   17.39   16.49   15.68   14.92   ##     13.55   13.26   13.01   13.26
  29.43   28.42   27.42   ##     25.37   24.34   23.31   22.29   21.27   20.25   19.32   18.42   17.56   16.80   16.05   ##     14.73   14.45   14.20   14.45
  30.39   29.38   28.36   27.33   26.30   25.27   24.25   23.23   22.21   21.26   20.36   19.46   18.67   17.91   17.17   16.43   15.91   15.63   15.39   15.63
