  27   26   25   24   23   22   21   20   19   18   17   16   15   14   13   12   11   10    9    8
  28   27   26   ##     24   23   22   ##     20   19   18   ##     16   15   14   ##     10    9    8    7
  29   28   27   ##     25   24   23   ##     21   20   19   ##     17   16   15   ##      9    8    7    6
  30   29   28   ##     26   25   24   ##     22   21   20   ##     18   17   16   ##      8    7    6    5
  31   ##     ##     ##     ##     ##     ##     ##     23   22   ##     ##     ##     ##     ##     ##     ##     ##     ##      4
  32   33   34   ##     40   41   42   ##     24   23   24   ##      8    7    6    5    4    3    2    3
  33   34   35   ##     39   40   41   ##     25   24   25   ##      7    6    5    4    3    2    1    2
  34   35   36   37   38   39   40   ##     26   25   26   ##      6    5    4    3    2    1    0    1
  35   36   37   38   39   40   41   ##     27   26   27   ##      7    6    5   ##      3    2    1    2
  36   ##     ##     ##     ##     ##     ##     ##     28   27   ##     ##     ##     ##     ##     ##     ##     ##     ##      3
  37   38   39   ##     ##     ##     ##     ##     29   28   29   ##     ##     ##     ##     ##      7    6    5    4
  38   39   40   ##     ##     ##     ##     ##     30   29   30   ##     ##     ##     ##     ##      8    7    6    5
  39   40   41   ##     ##     ##     ##     ##     31   30   31   ##     ##     ##     ##     ##      9    8    7    6
  38   39   40   ##     ##     ##     ##     ##     32   31   32   ##     ##     ##     ##     ##     10    9    8    7
  37   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     10    9    8
  36   35   34   ##     32   31   30   ##     28   27   26   ##     24   23   22   ##     12   11   10    9
  35   34   33   ##     31   30   29   28   27   26   25   ##     23   22   21   ##     13   12   11   10
  34   33   32   ##     30   29   28   27   26   25   24   23   22   21   20   ##     14   13   12   11
  33   32   31   ##     29   28   27   26   25   24   23   22   21   20   19   ##     15   14   13   12
  32   31   30   29   28   27   26   25   24   23   22   21   20   19   18   17   16   15   14   13
