  -0.46   -0.67   -1.51   -2.04   -2.56   -2.00   -1.75   -2.61   -2.54   -1.37   -1.58   -2.16   -2.31   -1.63   -2.04   -1.73   -1.58   -1.23    1.07    1.62
  -2.44   -2.32   -2.33   ##     -2.44   -1.89   -2.67   ##     -3.69   -3.36   -3.36   ##     -2.51   -3.03   -1.94   ##     -0.76   -0.54    0.85    1.94
  -4.60   -3.77   -3.88   ##     -3.59   -3.37   -4.24   ##     -5.04   -4.97   -4.43   ##     -4.70   -4.61   -4.61   ##     -0.08   -0.39    0.80    2.18
  -6.38   -5.33   -5.55   ##     -5.24   -4.56   -5.45   ##     -6.67   -6.11   -3.93   ##     -5.65   -4.75   -5.26   ##     -0.33   -0.55   -0.34    1.13
  -8.09   ##     ##     ##     ##     ##     ##     ##     -8.40   -6.87   ##     ##     ##     ##     ##     ##     ##     ##     ##      0.33
  -9.44  -10.34  -12.24   ##    -19.81  -21.70  -24.84   ##     -9.76   -8.63  -10.24   ##      3.02    3.10    1.81    0.90    0.20   -0.25   -0.15   -0.42
 -11.30  -12.72  -14.69   ##    -20.58  -21.97  -24.60   ##    -11.23  -10.45  -12.28   ##      3.51    3.24    1.99    1.39   -0.04   -0.09    0.64    0.02
 -12.03  -13.59  -15.95  -17.95  -20.34  -21.38  -23.59   ##    -12.34  -11.68  -13.33   ##      3.49    4.10    3.22    2.42    0.18   -0.03    0.27    0.50
 -13.32  -14.52  -16.45  -18.10  -20.50  -22.01  -24.07   ##    -13.21  -12.52  -13.75   ##      3.14    3.31    2.68   ##     -0.07   -0.88    0.02   -1.07
 -13.89   ##     ##     ##     ##     ##     ##     ##    -13.86  -12.51   ##     ##     ##     ##     ##     ##     ##     ##     ##     -0.98
 -14.30  -15.29  -17.09   ##     ##     ##     ##     ##    -13.89  -13.07  -14.47   ##     ##     ##     ##     ##      3.21    0.99   -0.97   -0.02
 -14.22  -15.99  -17.55   ##     ##     ##     ##     ##    -13.59  -13.27  -15.08   ##     ##     ##     ##     ##      0.77    0.56   -0.21    0.53
 -14.09  -15.79  -17.12   ##     ##     ##     ##     ##    -13.60  -12.43  -14.91   ##     ##     ##     ##     ##     -0.40    0.63    1.14    2.40
 -12.58  -13.65  -14.98   ##     ##     ##     ##     ##    -13.05  -12.74  -14.40   ##     ##     ##     ##     ##     -0.60    0.85    1.28    2.30
 -10.73   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      0.97    0.61    2.32
  -8.57   -8.22   -7.33   ##     -6.12   -6.28   -6.67   ##     -7.03   -6.79   -6.65   ##     -6.82   -6.54   -6.18   ##      1.03    1.28    1.01    2.67
  -7.61   -7.18   -6.40   ##     -5.55   -5.49   -5.88   -6.68   -7.60   -7.27   -6.74   ##     -6.83   -5.33   -5.92   ##      0.29    0.75    1.01    3.02
  -5.48   -5.22   -5.50   ##     -4.43   -4.40   -4.50   -4.99   -5.75   -5.81   -5.35   -5.33   -5.51   -5.51   -4.73   ##     -0.08    0.94    1.98    3.87
  -2.56   -2.24   -2.75   ##     -2.76   -2.92   -2.37   -2.75   -3.43   -3.97   -3.58   -3.63   -3.16   -3.29   -2.70   ##     -0.16    0.76    1.57    3.50
  -1.84    0.43    0.88   -0.22   -0.40   -0.70    0.18   -0.12   -1.03   -1.98   -1.90   -1.37   -1.08   -1.43   -1.39   -0.99   -0.60    0.29    0.95    1.68
