  26.54   25.33   23.49   21.96   20.44   20.00   19.25   17.39   16.46   16.63   15.42   13.84   12.69   12.37   10.96   10.27    9.42    8.77   10.07    9.62
  25.56   24.68   23.67   ##     21.56   21.11   19.33   ##     16.31   15.64   14.64   ##     13.49   11.97   12.06   ##      9.24    8.46    8.85    8.94
  24.40   24.23   23.12   ##     21.41   20.63   18.76   ##     15.96   15.03   14.57   ##     12.30   11.39   10.39   ##      8.92    7.61    7.80    8.18
  23.62   23.67   22.45   ##     20.76   20.44   18.55   ##     15.33   14.89   16.07   ##     12.35   12.25   10.74   ##      7.67    6.45    5.66    6.13
  22.91   ##     ##     ##     ##     ##     ##     ##     14.60   15.13   ##     ##     ##     ##     ##     ##     ##     ##     ##      4.33
  22.56   22.66   21.76   ##     20.19   19.30   17.16   ##     14.24   14.37   13.76   ##     11.02   10.10    7.81    5.90    4.20    2.75    1.85    2.58
  21.70   21.28   20.31   ##     18.42   18.03   16.40   ##     13.77   13.55   12.72   ##     10.51    9.24    6.99    5.39    2.96    1.91    1.64    2.02
  21.97   21.41   20.05   19.05   17.66   17.62   16.41   ##     13.66   13.32   12.67   ##      9.49    9.10    7.22    5.42    2.18    0.97    0.27    1.50
  21.68   21.48   20.55   19.90   18.50   17.99   16.93   ##     13.79   13.48   13.25   ##     10.14    9.31    7.68   ##      2.93    1.12    1.02    0.93
  22.11   ##     ##     ##     ##     ##     ##     ##     14.14   14.49   ##     ##     ##     ##     ##     ##     ##     ##     ##      2.02
  22.70   22.71   21.91   ##     ##     ##     ##     ##     15.11   14.93   14.53   ##     ##     ##     ##     ##     10.21    6.99    4.03    3.98
  23.78   23.01   22.45   ##     ##     ##     ##     ##     16.41   15.73   14.92   ##     ##     ##     ##     ##      8.77    7.56    5.79    5.53
  24.91   24.21   23.88   ##     ##     ##     ##     ##     17.40   17.57   16.09   ##     ##     ##     ##     ##      8.60    8.63    8.14    8.40
  25.42   25.35   25.02   ##     ##     ##     ##     ##     18.95   18.26   17.60   ##     ##     ##     ##     ##      9.40    9.85    9.28    9.30
  26.27   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     10.97    9.61   10.32
  27.43   26.78   26.67   ##     25.88   24.72   23.33   ##     20.97   20.21   19.35   ##     17.18   16.46   15.82   ##     13.03   12.28   11.01   11.67
  27.39   26.82   26.60   ##     25.45   24.51   23.12   21.32   19.40   18.73   18.26   ##     16.17   16.67   15.08   ##     13.29   12.75   12.01   13.02
  28.52   27.78   26.50   ##     25.57   24.60   23.50   22.01   20.25   19.19   18.65   17.67   16.49   15.49   15.27   ##     13.92   13.94   13.98   14.87
  30.44   29.76   28.25   ##     26.24   25.08   24.63   23.25   21.57   20.03   19.42   18.37   17.84   16.71   16.30   ##     14.84   14.76   14.57   15.50
  30.16   31.43   30.88   28.78   27.60   26.30   26.18   24.88   22.97   21.02   20.10   19.63   18.92   17.57   16.61   16.01   15.40   15.29   14.95   14.68
