   8.54    8.89    5.59    4.33    2.83    2.92    1.23    0.44   -0.01   -0.44   -0.22   -0.76    0.13    1.14    2.10    1.22    2.26    2.61    3.50    2.42
   6.76    4.93    3.28   ##      2.18    3.03    0.67   ##      0.63    0.18    0.21   ##      0.12    0.76    1.03   ##      0.10    0.21    0.87    2.16
   4.32    2.87    2.34   ##      2.90    2.85    1.04    0.83   -0.30   -0.05    0.21   ##      0.44    0.40   -0.17   ##     -0.97   -0.79   -0.29    0.44
   2.79    1.77    1.58   ##      2.07    3.19    1.53    0.87    0.35    0.50    1.59   ##      2.44    0.91   -0.76   -1.19   -1.74   -1.58   -0.87   -0.07
   1.09   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     -1.13   -1.81   -1.40   ##     -0.57
   0.58   -2.06   -3.77   -4.71   -6.91   -6.59   -9.14   ##    -13.91  -12.27  -12.12   ##     -2.16   -0.80   -2.36   -1.00   -1.94   -1.30   -0.72   -0.75
   0.96   -2.68   -3.77   -5.40   -6.79   -8.08   -9.68   ##    -11.56  -10.17  -10.39   ##     -3.90   -2.23   -2.09   ##     -0.92   -0.65   -0.61   -0.59
   0.76   -1.27   -2.83   ##     -6.30   -7.57   -9.94   ##    -10.97   -9.85   -9.76   ##     -5.13   -3.52   -2.30   ##      0.14    0.63   -0.02   -0.49
  -0.18   -1.35   -1.88   ##     -5.86   -6.98   -8.67   ##     -8.89   -8.74   -8.00   -6.85   -5.48   -3.58   -2.03   ##      0.10    0.58   -0.27   -0.22
  -0.27   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     -1.07   ##      0.51   ##     ##     -0.82
  -0.59   -1.57   -2.73   ##     ##     ##     ##     ##     -5.39   -4.23   -5.69   -4.95   -4.50   -2.81   -1.55   ##      0.12    0.24   -0.83   -0.79
  -0.59   -2.38   -3.91   ##     ##     ##     ##     ##     -4.18   -3.58   -4.20   ##     -3.34   -2.52   -1.42   ##     -0.17   -0.35   -0.58   -0.65
  -0.36   -1.78   -3.46   ##     ##     ##     ##     ##     ##     ##     -3.62   ##     -2.95   -1.55   -1.12   ##     -0.29   -0.36   -1.06   -0.71
  -0.08   -1.11   -2.08   ##     ##     ##     ##     ##     ##     ##     -1.76   ##     -2.52   -1.36   -0.56   ##     -0.14   -0.70   -1.02   -1.17
   0.68   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      0.30    0.14   ##     -0.18
   0.34   -0.95   -1.36   ##    -10.68   ##     ##     ##    -12.55  -11.45  -10.93   ##    -10.72  -10.35   -9.67   ##      0.70    0.06   -0.53   -0.90
  -0.09   -1.66   -2.80   ##    -10.73  -10.48  -12.31   ##    -13.75  -12.47  -12.22   ##    -10.21   -8.82   -8.05   ##      0.68   -0.04   -0.64   -0.16
   0.03   -1.57   -3.74   ##    -10.11  -11.25  -12.40   ##    -13.40  -12.70  -11.25   ##     -9.40   -8.09   -6.43   ##      0.36   -0.06   -0.14   -0.45
   1.21   -0.55   -2.92   ##     -8.15   -9.49  -10.52   ##    -11.76  -11.00   -9.32   ##     -7.45   -6.17   -4.03   ##      0.56   -0.24    0.11   -0.38
  -0.17    0.15   -1.49   -4.33   -5.67   -7.23   -8.36   -9.97   -9.67   -9.05   -7.45   -6.43   -5.36   -4.18   -2.03   -0.56    1.04    0.22   -0.59   -1.27
