  18.54   17.89   13.59   11.33    8.83    7.92    5.23    3.44    1.99    0.56    1.78    2.24    4.13    6.14    8.10    8.22   10.26   11.61   13.50   13.42
  17.76   14.93   12.28   ##      9.18    9.03    5.67   ##      1.63    0.18    1.21   ##      5.12    6.76    8.03   ##      9.10   10.21   11.87   14.16
  16.32   13.87   12.34   ##      8.90    7.85    5.04    3.83    1.70    0.95    2.21   ##      6.44    7.40    7.83   ##      9.03   10.21   11.71   13.44
  15.79   13.77   12.58   ##      9.07    9.19    6.53    4.87    3.35    2.50    4.59   ##      9.44    8.91    8.24    8.81    9.26   10.42   12.13   13.93
  15.09   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      9.87   10.19   11.60   ##     14.43
  15.58   13.94   13.23   13.29   12.09   13.41   11.86   ##     11.09   11.73   10.88   ##     12.84   13.20   10.64   11.00   11.06   12.70   14.28   15.25
  16.96   14.32   14.23   13.60   13.21   12.92   12.32   ##     12.44   12.83   11.61   ##     12.10   12.77   11.91   ##     13.08   14.35   15.39   16.41
  17.76   16.73   16.17   ##     14.70   14.43   13.06   ##     12.03   12.15   11.24   ##     11.87   12.48   12.70   ##     15.14   16.63   16.98   17.51
  17.82   17.65   18.12   ##     16.14   16.02   15.33   ##     13.11   12.26   12.00   12.15   12.52   13.42   13.97   ##     16.10   17.58   17.73   18.78
  18.73   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     15.93   ##     17.51   ##     ##     19.18
  19.41   19.43   19.27   ##     ##     ##     ##     ##     18.61   18.77   16.31   16.05   15.50   16.19   16.45   ##     18.12   19.24   19.17   20.21
  20.41   19.62   19.09   ##     ##     ##     ##     ##     20.82   20.42   18.80   ##     17.66   17.48   17.58   ##     18.83   19.65   20.42   21.35
  21.64   21.22   20.54   ##     ##     ##     ##     ##     ##     ##     20.38   ##     19.05   19.45   18.88   ##     19.71   20.64   20.94   22.29
  22.92   22.89   22.92   ##     ##     ##     ##     ##     ##     ##     23.24   ##     20.48   20.64   20.44   ##     20.86   21.30   21.98   22.83
  24.68   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     22.30   23.14   ##     24.82
  25.34   25.05   25.64   ##     26.32   ##     ##     ##     26.45   26.55   26.07   ##     24.28   23.65   23.33   ##     23.70   24.06   24.47   25.10
  25.91   25.34   25.20   ##     25.27   26.52   25.69   ##     24.25   24.53   23.78   ##     23.79   24.18   23.95   ##     24.68   24.96   25.36   26.84
  27.03   26.43   25.26   ##     24.89   24.75   24.60   ##     23.60   23.30   23.75   ##     23.60   23.91   24.57   ##     25.36   25.94   26.86   27.55
  29.21   28.45   27.08   ##     25.85   25.51   25.48   ##     24.24   24.00   24.68   ##     24.55   24.83   25.97   ##     26.56   26.76   28.11   28.62
  28.83   30.15   29.51   27.67   27.33   26.77   26.64   26.03   25.33   24.95   25.55   25.57   25.64   25.82   26.97   27.44   28.04   28.22   28.41   28.73
