   8.43    8.14    8.43    8.91    9.69   10.56   11.48   12.49   13.51   14.53   15.56   16.57   17.58   18.62   19.68   20.75   21.84   22.96   24.10   25.26
   7.21    6.82    7.21    7.74    8.56    9.51   10.53   ##     12.57   13.59   14.61   ##     16.69   17.76   18.86   20.00   21.17   22.35   23.54   24.72
   5.98    5.46    5.98    6.56    7.49    8.50    9.56   ##     11.63   12.65   13.70   ##     15.90   17.07   18.26   19.44   20.63   21.82   23.02   24.21
   4.75    4.08    4.75    5.44    6.43    7.50    8.58   ##     10.71   11.81   12.98   ##     15.35   16.55   17.74   ##     20.13   21.34   22.54   23.75
   3.52   ##     ##     ##     ##     ##      7.61   ##     10.04   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     23.34
   2.20    0.97    2.20   ##      4.55    5.78    7.05   ##      9.57   10.84   12.10   ##     ##     ##     ##     ##     19.49   20.73   21.96   23.19
   1.02    0.00    1.02   ##      4.21    5.54    6.81   ##      9.38   10.66   11.94   ##     ##     ##     ##     ##     19.42   20.67   21.91   23.15
   2.20    0.97    2.20   ##      4.55    5.78    7.05   ##      9.57   10.84   12.10   ##     ##     ##     ##     ##     19.49   20.73   21.96   23.19
   3.52    2.60    3.52   ##      5.44    6.51    7.61   ##     10.04   11.27   12.47   ##     ##     ##     ##     ##     19.68   20.88   22.11   23.34
   4.75   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     20.13   ##     ##     23.75
   5.98    5.46    5.98   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     20.63   21.82   23.02   24.21
   7.21    6.82    7.21   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     21.17   22.35   23.54   24.72
   8.43    8.14    8.43   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     21.84   22.96   24.10   25.26
   9.65    9.37    9.65   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     22.67   23.74   24.82   25.93
  10.88   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     23.54   24.60   ##     26.73
  12.07   11.83   12.07   ##     13.06   13.81   ##     ##     16.36   17.35   18.37   19.39   20.41   21.45   22.47   ##     24.49   25.50   26.53   27.59
  13.26   13.01   13.26   ##     14.19   14.92   ##     ##     17.39   18.30   19.31   20.33   21.35   22.38   23.41   ##     25.45   26.46   27.47   28.47
  14.45   14.20   14.45   ##     15.31   16.05   16.80   ##     18.42   19.32   20.25   21.27   22.29   23.31   24.34   ##     26.40   27.42   28.42   29.43
  15.63   15.39   15.63   ##     16.43   17.17   17.91   ##     19.46   20.36   21.26   ##     23.23   24.25   25.27   ##     27.33   28.36   29.38   30.39
  16.82   16.57   16.82   17.09   17.57   18.30   19.04   19.78   20.54   21.39   22.29   23.19   24.17   25.19   26.21   27.23   28.26   29.29   30.32   31.35
