   7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26
   6    7    8    9   10   11   12   ##     16   17   18   ##     20   21   22   23   24   25   26   27
   5    6    7    8    9   10   11   ##     17   18   19   ##     21   22   23   24   25   26   27   28
   4    5    6    7    8    9   10   ##     18   19   20   ##     22   23   24   ##     26   27   28   29
   3   ##     ##     ##     ##     ##     11   ##     19   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     30
   2    1    2   ##     14   13   12   ##     20   21   22   ##     ##     ##     ##     ##     34   33   32   31
   1    0    1   ##     15   14   13   ##     21   22   23   ##     ##     ##     ##     ##     35   34   33   32
   2    1    2   ##     16   15   14   ##     22   23   24   ##     ##     ##     ##     ##     36   35   34   33
   3    2    3   ##     17   16   15   ##     23   24   25   ##     ##     ##     ##     ##     37   36   35   34
   4   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     38   ##     ##     35
   5    6    7   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     39   38   37   36
   6    7    8   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     38   39   38   37
   7    8    9   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     37   38   39   38
   8    9   10   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     36   37   38   39
   9   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     35   36   ##     38
  10   11   12   ##     22   23   ##     ##     26   27   28   29   30   31   32   ##     34   35   36   37
  11   12   13   ##     21   22   ##     ##     25   26   27   28   29   30   31   ##     33   34   35   36
  12   13   14   ##     20   21   22   ##     24   25   26   27   28   29   30   ##     32   33   34   35
  13   14   15   ##     19   20   21   ##     23   24   25   ##     27   28   29   ##     31   32   33   34
  14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33
