   1.89   -0.30    0.02   -1.03   -0.55   -0.85   -0.86   -0.29   -0.49    0.34   -0.38   -1.25   -1.33    0.08    0.25   -0.26    1.02   -0.26    1.75    0.68
   2.24    0.50    0.42   -0.86   -0.42   -1.09   -0.69   ##     -2.03   -1.37   -1.80   ##     -1.72   -1.61   -1.41   -1.32   -0.83   -1.11   -0.55    0.74
   1.63    0.68    0.53   -0.24   -0.11   -0.53   -0.22   ##     -3.51   -2.31   -2.08   ##     -2.15   -1.99   -2.39   -1.63   -1.86   -1.83   -2.07   -2.53
  -0.02    0.10    0.06   -0.24    0.51   -0.13    0.42   ##     -5.23   -3.58   -3.06   ##     -3.21   -3.02   -2.88   ##     -2.95   -3.31   -3.94   -4.17
   0.26   ##     ##     ##     ##     ##     -1.17   ##     -6.76   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     -5.58
  -0.46   -0.26    0.64   ##     -7.19   -3.80   -2.80   ##     -8.14   -6.43   -5.91   ##     ##     ##     ##     ##    -11.42   -9.74   -8.69   -6.99
  -0.02    0.00    0.39   ##     -8.24   -5.28   -3.70   ##     -8.85   -8.02   -7.83   ##     ##     ##     ##     ##    -13.10  -10.99  -10.06   -8.16
  -0.07   -0.34    0.11   ##     -8.73   -5.53   -3.61   ##     -9.46   -8.59   -8.81   ##     ##     ##     ##     ##    -14.49  -12.45  -10.79   -9.20
   0.43    0.55    0.93   ##     -7.48   -5.80   -3.27   ##     -9.55   -9.12   -8.50   ##     ##     ##     ##     ##    -15.47  -13.30  -11.80   -9.76
   0.30   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##    -15.78   ##     ##    -11.06
   1.65    0.45    1.71   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##    -16.27  -14.50  -13.37  -11.06
   3.17    2.13    2.21   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##    -14.61  -15.15  -13.62  -11.50
   3.61    1.99    1.70   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##    -12.94  -13.29  -14.04  -11.56
   3.28    2.45    2.78   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##    -11.37  -11.85  -12.13  -12.08
   3.87   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     -9.29   -9.51   ##     -9.76
   3.72    3.15    3.52   ##     -3.99   -3.24   ##     ##     -5.56   -6.49   -6.96   -7.47   -7.08   -6.67   -6.72   ##     -7.51   -8.07   -8.36   -8.50
   3.39    2.44    2.54   ##     -3.26   -2.36   ##     ##     -4.05   -4.69   -5.99   -6.28   -5.95   -6.00   -5.49   ##     -5.88   -6.42   -6.84   -6.45
   3.39    2.55    1.81   ##     -2.83   -2.84   -2.45   ##     -3.52   -4.31   -4.22   -4.48   -4.17   -3.93   -3.49   ##     -4.09   -4.39   -4.43   -4.86
   3.84    2.59    1.87   ##     -0.99   -1.42   -1.08   ##     -1.99   -2.52   -1.93   ##     -1.56   -1.51   -0.83   ##     -2.11   -3.04   -2.54   -3.52
   2.36    2.49    1.65    0.72    0.47    0.07    0.41   -0.02   -0.14   -0.49    0.49    0.50    0.89    0.85    1.66    0.93    0.45   -0.68   -1.94   -2.78
