   8.89    7.70    9.02    8.97   10.45   11.15   12.14   13.71   14.51   16.34   16.62   16.75   17.67   20.08   21.25   21.74   24.02   23.74   26.75   26.68
   8.24    7.50    8.42    8.14    9.58    9.91   11.31   ##     13.97   15.63   16.20   ##     18.28   19.39   20.59   21.68   23.17   23.89   25.45   27.74
   6.63    6.68    7.53    7.76    8.89    9.47   10.78   ##     13.49   15.69   16.92   ##     18.85   20.01   20.61   22.37   23.14   24.17   24.93   25.47
   3.98    5.10    6.06    6.76    8.51    8.87   10.42   ##     12.77   15.42   16.94   ##     18.79   19.98   21.12   ##     23.05   23.69   24.06   24.83
   3.26   ##     ##     ##     ##     ##      9.83   ##     12.24   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     24.42
   1.54    0.74    2.64   ##      6.81    9.20    9.20   ##     11.86   14.57   16.09   ##     ##     ##     ##     ##     22.58   23.26   23.31   24.01
   0.98    0.00    1.39   ##      6.76    8.72    9.30   ##     12.15   13.98   15.17   ##     ##     ##     ##     ##     21.90   23.01   22.94   23.84
   1.93    0.66    2.11   ##      7.27    9.47   10.39   ##     12.54   14.41   15.19   ##     ##     ##     ##     ##     21.51   22.55   23.21   23.80
   3.43    2.55    3.93   ##      9.52   10.20   11.73   ##     13.45   14.88   16.50   ##     ##     ##     ##     ##     21.53   22.70   23.20   24.24
   4.30   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     22.22   ##     ##     23.94
   6.65    6.45    8.71   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     22.73   23.50   23.63   24.94
   9.17    9.13   10.21   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     23.39   23.85   24.38   25.50
  10.61    9.99   10.70   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     24.06   24.71   24.96   26.44
  11.28   11.45   12.78   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     24.63   25.15   25.87   26.92
  12.87   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     25.71   26.49   ##     28.24
  13.72   14.15   15.52   ##     18.01   19.76   ##     ##     20.44   20.51   21.04   21.53   22.92   24.33   25.28   ##     26.49   26.93   27.64   28.50
  14.39   14.44   15.54   ##     17.74   19.64   ##     ##     20.95   21.31   21.01   21.72   23.05   24.00   25.51   ##     27.12   27.58   28.16   29.55
  15.39   15.55   15.81   ##     17.17   18.16   19.55   ##     20.48   20.69   21.78   22.52   23.83   25.07   26.51   ##     27.91   28.61   29.57   30.14
  16.84   16.59   16.87   ##     18.01   18.58   19.92   ##     21.01   21.48   23.07   ##     25.44   26.49   28.17   ##     28.89   28.96   30.46   30.48
  16.36   17.49   17.65   17.72   18.47   19.07   20.41   20.98   21.86   22.51   24.49   25.50   26.89   27.85   29.66   29.93   30.45   30.32   30.06   30.22
