  28.75   27.99   27.26   26.52   25.78   25.06   24.51   24.19   23.94   23.69   23.94   24.19   24.51   25.06   25.78   26.52   27.26   27.99   28.75   29.50
  27.63   26.88   26.13   ##     24.65   23.92   23.35   ##     22.75   22.51   22.75   ##     23.35   23.92   24.65   ##     26.13   26.88   27.63   28.41
  26.52   25.76   25.01   ##     23.53   22.79   22.19   21.81   21.57   21.32   21.57   ##     22.19   22.79   23.53   ##     25.01   25.76   26.52   27.33
  25.43   24.64   23.89   ##     22.41   21.67   21.04   20.63   20.38   20.13   20.38   ##     21.04   21.67   22.41   ##     23.89   24.64   25.43   26.29
  24.35   ##     ##     ##     ##     ##     ##     ##     ##     18.95   19.19   ##     ##     ##     ##     ##     ##     ##     ##     25.26
  23.32   22.44   ##     ##     20.16   19.42   18.72   ##     18.01   17.76   18.01   ##     18.72   19.42   20.16   ##     21.66   22.44   23.32   24.22
  22.29   21.39   20.54   19.78   19.04   18.30   17.57   ##     16.82   16.57   16.82   ##     17.57   18.30   19.04   ##     20.54   21.39   22.29   23.19
  21.26   20.36   19.46   18.67   17.91   17.17   16.43   ##     15.63   15.39   15.63   15.91   16.43   17.17   17.91   ##     19.46   20.36   21.26   22.21
  20.25   19.32   18.42   ##     16.80   16.05   15.31   ##     14.45   14.20   14.45   14.73   15.31   16.05   16.80   ##     18.42   19.32   20.25   21.27
  19.31   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     13.55   14.19   14.92   ##     ##     ##     ##     ##     20.33
  18.37   17.35   16.36   ##     ##     ##     13.06   ##     ##     ##     ##     ##     13.06   13.81   14.58   ##     16.36   17.35   18.37   19.39
  17.43   16.41   15.39   ##     ##     ##     11.94   ##     ##     ##     ##     ##     11.94   12.69   13.52   ##     15.39   16.41   17.43   18.45
  16.49   15.47   14.45   ##     12.49   11.59   10.82   ##     ##     ##     ##     ##     10.82   11.59   12.49   ##     14.45   15.47   16.49   17.53
  15.56   14.53   13.51   ##     11.48   10.56    9.69   ##     ##     ##     ##     ##      9.69   10.56   11.48   ##     13.51   14.53   15.56   16.57
  14.61   ##     ##     ##     ##      9.51    8.56   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     15.63
  13.70   12.65   11.63   ##      9.56    8.50    7.49   ##      5.98    5.46    5.98   ##      7.49    8.50    9.56   10.61   11.63   12.65   13.70   14.77
  12.98   11.81   10.71   ##      8.58    7.50    6.43   ##      4.75    4.08    4.75   ##      6.43    7.50    8.58    9.64   10.71   11.81   12.98   14.16
  12.47   11.27   10.04   ##      7.61    6.51    5.44   ##      3.52    2.60    3.52   ##      5.44    6.51    7.61   ##     10.04   11.27   12.47   13.66
  12.10   10.84    9.57   ##      7.05    5.78    4.55   ##      2.20    0.97    2.20   ##      4.55    5.78    7.05   ##      9.57   10.84   12.10   13.35
  11.94   10.66    9.38    8.10    6.81    5.54    4.21    2.69    1.02    0.00    1.02    2.69    4.21    5.54    6.81    8.10    9.38   10.66   11.94   13.22
