   2.50    1.37   -0.81   -3.53   -4.66   -5.40   -6.97   -9.44  -11.04  -12.26  -12.70  -12.10  -10.35   -8.75   -6.32   -5.54   -3.81   -1.39    1.30    1.61
   2.61    0.76   -0.78   ##     -6.16   -6.69   -9.26   ##    -13.29  -13.89  -15.02   ##    -12.12   -9.88   -8.35   ##     -3.15   -0.95    0.97    3.55
   1.66    0.76   -0.81   ##     -7.01   -8.56  -11.00  -13.51  -15.47  -16.49  -17.04   ##    -13.56  -11.28   -9.72   ##     -1.90   -0.41    0.98    2.47
   1.81    0.66   -0.97   ##     -9.77  -11.23  -13.53  -15.69  -17.69  -18.77  -19.20   ##    -15.67  -13.42  -11.61   ##     -2.21   -0.36    0.98    2.38
   1.84   ##     ##     ##     ##     ##     ##     ##     ##    -20.83  -21.12   ##     ##     ##     ##     ##     ##     ##     ##      1.72
   2.26    1.38   ##     ##     -3.74   -5.22   -7.43   ##    -23.55  -23.13  -23.65   ##    -28.44  -28.05  -27.79   ##     -2.35   -1.03    0.09    2.09
   0.53   -0.42   -2.29   -3.94   -5.46   -6.19   -7.45   ##    -24.60  -24.39  -25.83   ##    -29.53  -29.15  -29.38   ##     -3.04   -1.04   -0.23    1.98
   0.31   -0.69   -2.67   -3.72   -5.23   -5.65   -7.24   ##    -26.58  -26.14  -28.02  -29.51  -30.38  -30.54  -29.92   ##     -3.52   -1.48   -0.23    1.48
  -0.27   -0.55   -0.95   ##     -5.09   -5.53   -7.20   ##    -28.28  -28.10  -29.93  -31.64  -32.39  -32.37  -31.00   ##     -4.00   -1.77   -0.37    1.56
   0.32   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##    -33.49  -34.45  -34.21   ##     ##     ##     ##     ##      1.37
   0.18    0.50    1.30   ##     ##     ##      7.27   ##     ##     ##     ##     ##    -36.03  -35.67  -34.87   ##     -3.14   -0.83   -0.35    0.79
   0.28   -0.25    0.43   ##     ##     ##      6.55   ##     ##     ##     ##     ##    -37.45  -37.25  -37.23   ##     -2.93   -0.94   -0.16    1.17
   0.70   -0.43   -0.82   ##      4.24    3.93    3.75   ##     ##     ##     ##     ##    -38.81  -38.86  -39.05   ##     -3.36   -0.88   -0.08    1.13
   1.22    0.26   -0.99   ##      2.15    3.15    2.48   ##     ##     ##     ##     ##    -40.49  -39.73  -40.66   ##     -3.54   -1.49    0.09    1.70
   1.50   ##     ##     ##     ##      2.37    1.95   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      1.67
   1.81    2.40    2.80   ##      1.70    2.36    1.37   ##      2.90    4.47    3.97   ##      3.51    3.38    2.62    2.57    1.65    2.53    2.01    1.84
   1.55    1.98    2.38   ##      1.73    2.16    1.47   ##      0.64    1.92    1.44   ##      2.37    2.30    1.51    1.41    0.95    1.41    1.96    2.23
   2.91    2.82    2.77   ##      2.36    2.09    0.83   ##      0.24    0.24    0.11   ##      1.57    2.40    2.02   ##      1.60    2.34    2.90    3.17
   4.84    4.10    3.72   ##      2.97    2.48    1.12   ##     -0.54    0.00   -0.10   ##      1.33    2.57    2.98   ##      2.51    3.25    3.67    4.40
   5.43    6.12    5.36    4.51    4.46    3.95    1.82    1.22   -0.00    0.25    0.39    0.85    1.94    3.33    3.89    4.08    4.31    4.94    5.11    4.37
