model,index,map_type,obstacle_rate,mae,mse,expanded_nodes,optimal,tie_top1_correct,tie_top1_total,high_impact_events,high_impact_unet_ordering_errors
old,4500,open_random,0.1,0.6925596063390621,0.7337641180369417,9,True,8,8,0,0
old,4501,open_random,0.1,0.7481825927670083,0.9973098248952094,10,True,9,9,0,0
old,4502,open_random,0.1,0.6503741328276735,0.7109213434831744,8,True,7,7,0,0
old,4503,open_random,0.1,1.1079566747035057,1.6676907975118067,11,True,10,10,0,0
old,4504,open_random,0.1,0.8165248279686028,1.137184054194682,11,True,10,10,0,0
old,4505,open_random,0.1,0.7653670298121368,1.2018705844178232,9,True,8,8,0,0
old,4506,open_random,0.1,0.6331218461809534,0.6909457090738208,12,True,10,10,0,0
old,4507,open_random,0.1,0.6255347152172057,0.676239797402122,8,True,7,7,0,0
old,4508,open_random,0.1,0.7440701462127067,1.0356158276170795,9,True,0,0,0,0
old,4509,open_random,0.1,0.7139732499863212,0.9027532107620266,10,True,9,9,0,0
old,4510,open_random,0.1,0.7774175688456954,0.9172016144426198,10,True,9,9,0,0
old,4511,open_random,0.1,0.6394534338634092,0.6890988389298752,10,True,9,9,0,0
old,4512,open_random,0.1,0.6573641163676811,0.8292966637578291,9,True,8,8,0,0
old,4513,open_random,0.1,1.0117468689635438,1.5115022796801494,10,True,9,9,0,0
old,4514,open_random,0.1,0.688573048181004,0.77069472390206,9,True,8,8,0,0
old,4515,open_random,0.1,0.8132518119170886,1.681178811270922,13,True,11,11,0,0
old,4516,open_random,0.1,1.0331275440242194,1.7001681323072249,12,True,11,11,0,0
old,4517,open_random,0.1,0.6189036844140392,0.6205022818429194,8,True,7,7,0,0
old,4518,open_random,0.1,0.6027041655843672,0.6739292803577536,9,True,8,8,0,0
old,4519,open_random,0.1,0.9589829912855605,1.344645197074134,12,True,9,9,0,0
old,4520,open_random,0.1,0.6655870424190038,0.799268380720916,8,True,7,7,0,0
old,4521,open_random,0.1,0.7207302686286299,0.9875609129453873,9,True,7,7,0,0
old,4522,open_random,0.1,1.1665958206305342,2.081678625848799,13,True,4,4,0,0
old,4523,open_random,0.1,0.6924226642788752,0.8518422881025064,9,True,8,8,0,0
old,4524,open_random,0.1,0.7334193014631084,0.9778050943526546,15,True,13,13,0,0
old,4525,open_random,0.2,0.7510343177501972,0.941915415873024,8,True,7,7,0,0
old,4526,open_random,0.2,1.647148504659727,8.36529249583253,13,True,12,12,0,0
old,4527,open_random,0.2,1.289180157199183,2.7790976800437392,22,True,14,21,0,0
old,4528,open_random,0.2,1.5632886647275,6.562299634784813,18,True,17,17,0,0
old,4529,open_random,0.2,0.7796347350856968,1.0889810539994318,11,True,9,9,0,0
