model,map_type,cases,mae,mse,mean_expanded_nodes,optimality_rate,tie_set_top1_accuracy,mean_high_impact_events,mean_high_impact_unet_ordering_errors
expanded,bottleneck,100,0.6896171768427151,1.1720953917255779,10.44,1.0,0.9889705882352942,0.0,0.0
expanded,large_block,100,0.5908376488668087,0.9709518268813815,12.83,1.0,0.9937050359712231,0.0,0.0
expanded,maze_like,100,1.6435803945767569,7.953257661635279,17.4,1.0,0.9407514450867052,0.0,0.0
expanded,narrow_corridor,100,0.488057102878382,0.43462375146992455,10.54,1.0,0.9962962962962963,0.29,0.0
expanded,open_random,100,1.4499699425705004,7.200949142572946,11.28,1.0,0.9594298245614035,0.0,0.0
old,bottleneck,100,2.8784711604732105,29.602252424504346,10.7,1.0,0.9591346153846154,0.0,0.0
old,large_block,100,1.4851971963689667,5.308494977894991,13.06,1.0,0.9671694764862466,0.02,0.02
old,maze_like,100,4.907504242272544,57.79550993250722,17.79,1.0,0.8796361091672499,0.0,0.0
old,narrow_corridor,100,3.602071089603318,28.589283000645818,10.88,1.0,0.9045893719806763,0.29,0.28
old,open_random,100,2.4150978724091505,17.66172038750091,11.5,1.0,0.9260869565217391,0.0,0.0
