seed,map_size,obstacle_rate,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.1,dijkstra,True,True,38,38,360,0.0008110830003715819,19.225,438.4138888888889,20.938335389636133,0.9972222222222222,0.0,0.9722222222222222,0.0,0.0
0,20,0.1,manhattan,True,True,38,38,326,0.0007527079997089459,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.0,0.0,0.0,0.0
0,20,0.1,mlp_table,True,True,38,38,137,0.0007370420007646317,1.0903862612115012,2.3206509386695,1.52336828727314,0.03611111111111111,0.9611111111111111,0.0,0.075,5.396686553955078
0,20,0.1,unet,True,True,38,38,250,0.0014687909988424508,1.586747600303756,4.9579355666958875,2.226642217936211,0.5277777777777778,0.4722222222222222,0.011111111111111112,0.1361111111111111,10.040666580200195
1,20,0.1,dijkstra,True,True,38,38,355,0.0007308340009331005,19.304225352112677,438.4366197183099,20.93887818672027,0.9971830985915493,0.0,0.9746478873239437,0.0,0.0
1,20,0.1,manhattan,True,True,38,38,307,0.0007177079987741308,0.48450704225352115,1.9830985915492958,1.408225334081622,0.14929577464788732,0.0,0.061971830985915494,0.0,0.0
1,20,0.1,mlp_table,True,True,38,38,137,0.0007954160009830957,0.9208239760197384,1.5775324271210516,1.2559985776747724,0.12394366197183099,0.8732394366197183,0.008450704225352112,0.028169014084507043,3.5638694763183594
1,20,0.1,unet,True,True,38,38,152,0.0010184170005231863,1.9636471738278027,8.207442845504685,2.8648634950909417,0.29014084507042254,0.7098591549295775,0.005633802816901409,0.21971830985915494,10.389547348022461
2,20,0.1,dijkstra,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.1,manhattan,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.1,mlp_table,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.1,unet,False,False,-1,-1,0,0.0,,,,,,,,
3,20,0.1,dijkstra,True,True,38,38,360,0.0007528340011049295,18.91111111111111,424.3388888888889,20.599487588017546,0.9972222222222222,0.0,0.9722222222222222,0.0,0.0
3,20,0.1,manhattan,True,True,38,38,329,0.0008535830002074363,0.08333333333333333,0.16666666666666666,0.408248290463863,0.041666666666666664,0.0,0.0,0.0,0.0
3,20,0.1,mlp_table,True,True,38,38,132,0.0007493749999412103,1.0893670880132251,2.3019579691556435,1.5172204748010896,0.03611111111111111,0.9611111111111111,0.0,0.07222222222222222,5.396686553955078
3,20,0.1,unet,True,True,38,38,225,0.0012297920002311002,1.6787457956208123,5.624862468176376,2.371679250694827,0.5222222222222223,0.4777777777777778,0.008333333333333333,0.14444444444444443,10.534748077392578
4,20,0.1,dijkstra,True,True,38,38,356,0.000808750000942382,19.04494382022472,427.7808988764045,20.68286486143553,0.9971910112359551,0.0,0.9747191011235955,0.0,0.0
4,20,0.1,manhattan,True,True,38,38,239,0.0005688339988410007,0.11797752808988764,0.23595505617977527,0.4857520521621862,0.05898876404494382,0.0,0.0,0.0,0.0
4,20,0.1,mlp_table,True,True,38,38,123,0.0006522499988932395,1.0859441023864103,2.094093265216947,1.4470982223805497,0.03932584269662921,0.9578651685393258,0.0,0.05898876404494382,4.437534332275391
4,20,0.1,unet,True,True,38,38,137,0.0007895419985288754,2.8342637861712596,16.100419419068807,4.0125327935194255,0.16573033707865167,0.8342696629213483,0.0028089887640449437,0.3398876404494382,12.835470199584961
5,20,0.1,dijkstra,True,True,38,38,361,0.0007430000005115289,19.27146814404432,435.0498614958449,20.857848918233273,0.997229916897507,0.0,0.9806094182825484,0.0,0.0
5,20,0.1,manhattan,True,True,38,38,292,0.0006731670000590384,0.3988919667590028,1.3518005540166205,1.1626695807565537,0.1329639889196676,0.0,0.06371191135734072,0.0,0.0
5,20,0.1,mlp_table,True,True,38,38,124,0.0006107499993959209,0.9089894403711251,1.4645493244212744,1.210185657005269,0.0997229916897507,0.8975069252077562,0.0,0.036011080332409975,3.9410762786865234
5,20,0.1,unet,True,True,38,38,162,0.0009380000010423828,1.9362826152521488,7.158568017587551,2.6755500401950156,0.27977839335180055,0.7202216066481995,0.002770083102493075,0.23545706371191136,9.058368682861328
6,20,0.1,dijkstra,True,True,38,38,357,0.0007776250004098983,18.88235294117647,424.2324929971989,20.5969049373249,0.9971988795518207,0.0,0.9719887955182073,0.0,0.0
6,20,0.1,manhattan,True,True,38,38,263,0.0006575420011358801,0.10084033613445378,0.20168067226890757,0.44908871313907184,0.05042016806722689,0.0,0.0,0.0,0.0
6,20,0.1,mlp_table,True,True,38,38,120,0.0006395840009645326,1.1102539234134663,2.323337432777748,1.524249793432083,0.03361344537815126,0.9635854341736695,0.0,0.07563025210084033,5.153474807739258
