seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.1,random,6,19,7,3,dijkstra,True,True,21,21,272,0.0005872080000699498,,12.652777777777779,199.3138888888889,14.1178570926642,0.9972222222222222,0.0,0.9416666666666667,0.0,0.0
0,20,0.1,random,6,19,7,3,manhattan,True,True,21,21,88,0.00021750000087195076,,0.2611111111111111,0.8777777777777778,0.9368979548370131,0.08611111111111111,0.0,0.044444444444444446,0.0,0.0
0,20,0.1,random,6,19,7,3,mlp_table,True,True,21,21,41,0.00028616700001293793,,0.8956875840822855,1.1763349093707265,1.0845897424237085,0.05277777777777778,0.9444444444444444,0.0,0.008333333333333333,3.3867263793945312
0,20,0.1,random,6,19,7,3,unet,True,True,21,21,59,0.0003557500003807945,,0.602378211915493,0.6765246256817175,0.822511170551329,0.45555555555555555,0.5444444444444444,0.0,0.0,2.9334259033203125
1,20,0.1,random,19,11,8,9,dijkstra,True,True,13,13,145,0.00031683300039730966,,10.169014084507042,121.94366197183099,11.042810419989605,0.9971830985915493,0.0,0.9436619718309859,0.0,0.0
1,20,0.1,random,19,11,8,9,manhattan,True,True,13,13,35,9.258300087822136e-05,,0.11830985915492957,0.3267605633802817,0.5716297432606894,0.05070422535211268,0.0,0.005633802816901409,0.0,0.0
1,20,0.1,random,19,11,8,9,mlp_table,True,True,13,13,14,0.00013954199857835192,,0.8606045064791827,1.1072852158703863,1.052276207024746,0.036619718309859155,0.9605633802816902,0.005633802816901409,0.0,2.941509246826172
1,20,0.1,random,19,11,8,9,unet,True,True,13,13,24,0.0001679580000200076,,0.6311601541411709,0.6686126585659121,0.8176873843749285,0.43661971830985913,0.5633802816901409,0.005633802816901409,0.0,2.1555871963500977
2,20,0.1,random,4,3,6,10,dijkstra,True,True,9,9,91,0.00019391600108065177,,10.907042253521126,140.94084507042254,11.871850953849721,0.9971830985915493,0.0,0.9492957746478873,0.0,0.0
2,20,0.1,random,4,3,6,10,manhattan,True,True,9,9,13,3.8209000194910914e-05,,0.2647887323943662,0.5746478873239437,0.7580553326268101,0.1267605633802817,0.0,0.005633802816901409,0.0,0.0
2,20,0.1,random,4,3,6,10,mlp_table,True,True,9,9,12,9.066699931281619e-05,,0.7970396968680369,0.9202267541493628,0.9592845011514378,0.08450704225352113,0.9126760563380282,0.0028169014084507044,0.0,2.941509246826172
2,20,0.1,random,4,3,6,10,unet,True,True,9,9,16,0.00010745799954747781,,0.8491551113800264,1.144219558747475,1.0696819895405714,0.3352112676056338,0.6619718309859155,0.0,0.008450704225352112,3.6800613403320312
3,20,0.1,random,11,0,0,19,dijkstra,True,True,30,30,360,0.0007498750001104781,,19.13888888888889,432.2944444444444,20.791691716751775,0.9972222222222222,0.0,0.975,0.0,0.0
3,20,0.1,random,11,0,0,19,manhattan,True,True,30,30,210,0.00048791699919092935,,0.16666666666666666,0.4444444444444444,0.6666666666666666,0.06944444444444445,0.0,0.013888888888888888,0.0,0.0
3,20,0.1,random,11,0,0,19,mlp_table,True,True,30,30,64,0.0003840000008494826,,1.006279158923361,1.7790434614825839,1.3338078802745859,0.044444444444444446,0.9527777777777777,0.0,0.041666666666666664,3.9410762786865234
3,20,0.1,random,11,0,0,19,unet,True,True,30,30,140,0.0008277910001197597,,1.3426734868023131,3.3732369366110206,1.8366373993281908,0.5166666666666667,0.48333333333333334,0.005555555555555556,0.10555555555555556,5.689366340637207
4,20,0.1,random,15,6,10,3,dijkstra,True,True,10,10,143,0.0003124999984720489,,13.106741573033707,207.97191011235955,14.421231227338376,0.9971910112359551,0.0,0.9550561797752809,0.0,0.0
4,20,0.1,random,15,6,10,3,manhattan,True,True,10,10,38,9.537499863654375e-05,,0.9269662921348315,1.9887640449438202,1.4102354572708133,0.44662921348314605,0.0,0.016853932584269662,0.0,0.0
4,20,0.1,random,15,6,10,3,mlp_table,True,True,10,10,22,0.00015320800048357341,,0.9945230467265911,1.3292605556396884,1.152935625106488,0.35674157303370785,0.6404494382022472,0.0056179775280898875,0.0028089887640449437,3.0135278701782227
4,20,0.1,random,15,6,10,3,unet,True,True,10,10,25,0.00015729100050521083,,0.6996959888198403,0.8076949983614697,0.8987185312218001,0.6404494382022472,0.35674157303370785,0.0028089887640449437,0.0,2.272915840148926
5,20,0.1,random,13,1,2,1,dijkstra,True,True,11,11,111,0.00024333300098078325,,17.130193905817176,350.1163434903047,18.7113960860836,0.997229916897507,0.0,0.9501385041551247,0.0,0.0
5,20,0.1,random,13,1,2,1,manhattan,True,True,11,11,12,3.695800114655867e-05,,0.5983379501385041,2.8365650969529086,1.6842105263157894,0.16066481994459833,0.0,0.10249307479224377,0.0,0.0
5,20,0.1,random,13,1,2,1,mlp_table,True,True,11,11,12,0.00010695799937820993,,1.0392339843792269,2.3605211685310747,1.5363987661187035,0.11080332409972299,0.8864265927977839,0.019390581717451522,0.027700831024930747,3.946523666381836
