seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.1,random,6,19,7,3,dijkstra,True,True,21,21,272,0.0006002499994792743,,12.652777777777779,199.3138888888889,14.1178570926642,0.9972222222222222,0.0,0.9416666666666667,0.0,0.0
0,20,0.1,random,6,19,7,3,manhattan,True,True,21,21,88,0.00021741699856647756,,0.2611111111111111,0.8777777777777778,0.9368979548370131,0.08611111111111111,0.0,0.044444444444444446,0.0,0.0
0,20,0.1,random,6,19,7,3,mlp_table,True,True,21,21,41,0.0008232919990405207,,0.8956875840822855,1.1763349093707265,1.0845897424237085,0.05277777777777778,0.9444444444444444,0.0,0.008333333333333333,3.3867263793945312
0,20,0.1,random,6,19,7,3,unet,True,True,21,21,59,0.0003608330007409677,,0.602378211915493,0.6765246256817175,0.822511170551329,0.45555555555555555,0.5444444444444444,0.0,0.0,2.9334259033203125
1,20,0.1,random,19,11,8,9,dijkstra,True,True,13,13,145,0.00031333399965660647,,10.169014084507042,121.94366197183099,11.042810419989605,0.9971830985915493,0.0,0.9436619718309859,0.0,0.0
1,20,0.1,random,19,11,8,9,manhattan,True,True,13,13,35,9.208299888996407e-05,,0.11830985915492957,0.3267605633802817,0.5716297432606894,0.05070422535211268,0.0,0.005633802816901409,0.0,0.0
1,20,0.1,random,19,11,8,9,mlp_table,True,True,13,13,14,0.00013137499990989454,,0.8606045064791827,1.1072852158703863,1.052276207024746,0.036619718309859155,0.9605633802816902,0.005633802816901409,0.0,2.941509246826172
1,20,0.1,random,19,11,8,9,unet,True,True,13,13,24,0.00018816699957824312,,0.6311601541411709,0.6686126585659121,0.8176873843749285,0.43661971830985913,0.5633802816901409,0.005633802816901409,0.0,2.1555871963500977
2,20,0.1,random,4,3,6,10,dijkstra,True,True,9,9,91,0.0001967919997696299,,10.907042253521126,140.94084507042254,11.871850953849721,0.9971830985915493,0.0,0.9492957746478873,0.0,0.0
2,20,0.1,random,4,3,6,10,manhattan,True,True,9,9,13,3.749999996216502e-05,,0.2647887323943662,0.5746478873239437,0.7580553326268101,0.1267605633802817,0.0,0.005633802816901409,0.0,0.0
2,20,0.1,random,4,3,6,10,mlp_table,True,True,9,9,12,8.875000094121788e-05,,0.7970396968680369,0.9202267541493628,0.9592845011514378,0.08450704225352113,0.9126760563380282,0.0028169014084507044,0.0,2.941509246826172
2,20,0.1,random,4,3,6,10,unet,True,True,9,9,16,0.00010754100003396161,,0.8491551113800264,1.144219558747475,1.0696819895405714,0.3352112676056338,0.6619718309859155,0.0,0.008450704225352112,3.6800613403320312
0,20,0.2,random,12,12,7,11,dijkstra,True,True,6,6,40,0.00010191699948336463,,11.17737003058104,143.25076452599387,11.968741142074796,0.9969418960244648,0.0,0.9602446483180428,0.0,0.0
0,20,0.2,random,12,12,7,11,manhattan,True,True,6,6,10,3.304199890408199e-05,,0.6238532110091743,1.908256880733945,1.381396713740823,0.22935779816513763,0.0,0.08256880733944955,0.0,0.0
0,20,0.2,random,12,12,7,11,mlp_table,True,True,6,6,7,6.37499997537816e-05,,0.8979166662292014,1.2543421227432094,1.1199741616408878,0.22324159021406728,0.7737003058103975,0.009174311926605505,0.0030581039755351682,3.0135278701782227
0,20,0.2,random,12,12,7,11,unet,True,True,6,6,7,5.833300019730814e-05,,1.244656700333324,2.222240956613596,1.4907182686925105,0.1926605504587156,0.8073394495412844,0.021406727828746176,0.03363914373088685,3.798421859741211
