seed,map_size,obstacle_rate,map_mode,structured_type,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.1,structured,narrow_corridor,random,6,18,7,2,dijkstra,True,True,25,25,173,0.0003721249995578546,,14.654205607476635,283.02803738317755,16.823437145339163,0.9953271028037384,0.0,0.9018691588785047,0.0,0.0
0,20,0.1,structured,narrow_corridor,random,6,18,7,2,manhattan,True,True,25,25,89,0.0002152920023945626,,1.9345794392523366,14.22429906542056,3.7715115093846077,0.2897196261682243,0.0,0.2570093457943925,0.0,0.0
0,20,0.1,structured,narrow_corridor,random,6,18,7,2,mlp_table,True,True,25,25,67,0.000448791997769149,,1.9580617207233038,8.3854923899605,2.8957714671500754,0.2897196261682243,0.705607476635514,0.205607476635514,0.009345794392523364,3.200124740600586
0,20,0.1,structured,narrow_corridor,random,6,18,7,2,unet,True,True,25,25,86,0.00044758299918612465,,2.2443508703574957,8.668696583639317,2.944265032845942,0.308411214953271,0.6869158878504673,0.14018691588785046,0.14485981308411214,10.063549041748047
1,20,0.1,structured,narrow_corridor,random,15,15,15,3,dijkstra,True,True,26,26,195,0.0005320409982232377,,16.25581395348837,342.74883720930234,18.513477177702256,0.9953488372093023,0.0,0.8930232558139535,0.0,0.0
1,20,0.1,structured,narrow_corridor,random,15,15,15,3,manhattan,True,True,26,26,94,0.00021995900169713423,,2.781395348837209,32.2046511627907,5.674914198716197,0.2930232558139535,0.0,0.26046511627906976,0.0,0.0
1,20,0.1,structured,narrow_corridor,random,15,15,15,3,mlp_table,True,True,26,26,79,0.0004142500001762528,,2.8963456785956097,21.953592346788803,4.685466075727025,0.3023255813953488,0.6930232558139535,0.25116279069767444,0.03255813953488372,3.7599239349365234
1,20,0.1,structured,narrow_corridor,random,15,15,15,3,unet,True,True,26,26,82,0.00045450000106939115,,3.118434308850488,17.377484562278305,4.168631017765701,0.2930232558139535,0.7069767441860465,0.20465116279069767,0.16279069767441862,8.166664123535156
2,20,0.1,structured,narrow_corridor,random,4,4,5,11,dijkstra,True,True,8,8,59,0.0001291659973503556,,11.037383177570094,148.58878504672896,12.18969995720686,0.9953271028037384,0.0,0.9299065420560748,0.0,0.0
2,20,0.1,structured,narrow_corridor,random,4,4,5,11,manhattan,True,True,8,8,10,3.245900006731972e-05,,0.07476635514018691,0.14953271028037382,0.3866945956182654,0.037383177570093455,0.0,0.0,0.0,0.0
2,20,0.1,structured,narrow_corridor,random,4,4,5,11,mlp_table,True,True,8,8,9,7.958299829624593e-05,,0.8509986567720075,1.0468709780023566,1.0231671310212993,0.04672897196261682,0.9485981308411215,0.0,0.004672897196261682,3.2236061096191406
2,20,0.1,structured,narrow_corridor,random,4,4,5,11,unet,True,True,8,8,16,0.00011212500248802826,,4.091205160751521,24.005714787164717,4.899562713871996,0.0,1.0,0.0,0.6261682242990654,13.76069450378418
0,20,0.1,structured,bottleneck,random,6,16,6,19,dijkstra,True,True,3,3,20,5.3084000683156773e-05,,20.38684210526316,544.0763157894737,23.325443528247725,0.9973684210526316,0.0,0.9578947368421052,0.0,0.0
0,20,0.1,structured,bottleneck,random,6,16,6,19,manhattan,True,True,3,3,4,1.529099972685799e-05,,5.2105263157894735,81.15789473684211,9.00876765916638,0.39473684210526316,0.0,0.3684210526315789,0.0,0.0
0,20,0.1,structured,bottleneck,random,6,16,6,19,mlp_table,True,True,3,3,4,4.754199835588224e-05,,4.951126431791406,60.92756824706399,7.805611330771216,0.4,0.5973684210526315,0.36578947368421055,0.010526315789473684,3.573324203491211
0,20,0.1,structured,bottleneck,random,6,16,6,19,unet,True,True,3,3,4,3.7416000850498676e-05,,5.739599850616957,78.45610380149753,8.857545021138618,0.8394736842105263,0.16052631578947368,0.3736842105263158,0.015789473684210527,4.520173072814941
1,20,0.1,structured,bottleneck,random,18,16,18,4,dijkstra,True,True,22,22,289,0.0006184170015330892,,16.15,314.36052631578946,17.73021506682278,0.9973684210526316,0.0,0.9447368421052632,0.0,0.0
1,20,0.1,structured,bottleneck,random,18,16,18,4,manhattan,True,True,22,22,95,0.00044466699910117313,,1.0526315789473684,8.421052631578947,2.9019050004400464,0.15789473684210525,0.0,0.13157894736842105,0.0,0.0
1,20,0.1,structured,bottleneck,random,18,16,18,4,mlp_table,True,True,22,22,64,0.00037354199957917444,,1.604543778143431,5.909926204485483,2.431033978472017,0.17105263157894737,0.8263157894736842,0.11578947368421053,0.05526315789473684,4.507303237915039
1,20,0.1,structured,bottleneck,random,18,16,18,4,unet,True,True,22,22,82,0.0004258339977241121,,1.560308974510745,6.684842169643432,2.585506172810932,0.6552631578947369,0.34210526315789475,0.13157894736842105,0.02368421052631579,3.8783626556396484
2,20,0.1,structured,bottleneck,random,4,1,6,0,dijkstra,True,True,3,3,19,4.400000034365803e-05,,15.839473684210526,309.65,17.5968747225182,0.9973684210526316,0.0,0.9578947368421052,0.0,0.0
2,20,0.1,structured,bottleneck,random,4,1,6,0,manhattan,True,True,3,3,6,1.67500002135057e-05,,0.7368421052631579,1.4736842105263157,1.2139539573337679,0.3684210526315789,0.0,0.0,0.0,0.0
2,20,0.1,structured,bottleneck,random,4,1,6,0,mlp_table,True,True,3,3,4,3.495799683150835e-05,,1.2306163028666848,2.130076076047821,1.4594780149244526,0.2789473684210526,0.718421052631579,0.0,0.03684210526315789,4.437534332275391
2,20,0.1,structured,bottleneck,random,4,1,6,0,unet,True,True,3,3,8,5.866699939360842e-05,,1.2228542842363057,2.269382951028697,1.5064471285208443,0.6921052631578948,0.3078947368421053,0.010526315789473684,0.005263157894736842,3.290302276611328
0,20,0.1,structured,maze_like,random,10,15,2,16,dijkstra,True,True,9,9,75,0.00015179200272541493,,18.892857142857142,478.9428571428571,21.88476312741029,0.9964285714285714,0.0,0.9428571428571428,0.0,0.0
