obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
0.1,dijkstra,20,19,1.0,1.0,359.8421052631579,0.0007559957366059902,38.0,0.0
0.1,manhattan,20,19,1.0,1.0,310.3157894736842,0.0007288925263358243,38.0,0.0
0.1,mlp_table,20,19,1.0,1.0,136.0,0.0007240174736101548,38.0,0.915558468568952
0.1,unet,20,19,1.0,1.0,219.3684210526316,0.0012107477367336334,38.0,0.5754652252266208
0.2,dijkstra,20,18,1.0,1.0,316.6666666666667,0.0006421273887503452,38.333333333333336,0.0
0.2,manhattan,20,18,1.0,1.0,215.0,0.0005047522776698719,38.333333333333336,0.0
0.2,mlp_table,20,18,1.0,1.0,128.16666666666666,0.0006615554445185504,38.333333333333336,0.7253783114335102
0.2,unet,20,18,1.0,1.0,162.61111111111111,0.0008475948889099527,38.333333333333336,0.7930118414742534
0.3,dijkstra,20,12,1.0,1.0,265.25,0.0005294061667579323,40.666666666666664,0.0
0.3,manhattan,20,12,1.0,1.0,146.33333333333334,0.0003436804166388659,40.666666666666664,0.0
0.3,mlp_table,20,12,1.0,1.0,111.25,0.0005607568332379742,40.666666666666664,0.44264474472921017
0.3,unet,20,12,1.0,1.0,136.91666666666666,0.0006548854165278802,40.666666666666664,0.8007300541269392
0.4,dijkstra,20,1,1.0,1.0,175.0,0.0003284169997641584,42.0,0.0
0.4,manhattan,20,1,1.0,1.0,98.0,0.00020987499920011032,42.0,0.0
0.4,mlp_table,20,1,1.0,1.0,88.0,0.00042304199996578973,42.0,0.3314285714285714
0.4,unet,20,1,1.0,1.0,91.0,0.00044350000098347664,42.0,0.6285714285714286
