obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
0.1,dijkstra,20,19,1.0,1.0,359.8421052631579,0.0007708883689414698,38.0,0.0
0.1,manhattan,20,19,1.0,1.0,310.3157894736842,0.0007487653156682714,38.0,0.0
0.1,mlp_table,20,19,1.0,1.0,136.0,0.0007220526844512756,38.0,0.915558468568952
0.1,unet,20,19,1.0,1.0,196.1578947368421,0.0011603443686717103,38.0,0.6018164981358404
0.2,dijkstra,20,18,1.0,1.0,316.6666666666667,0.0006575208889343129,38.333333333333336,0.0
0.2,manhattan,20,18,1.0,1.0,215.0,0.0005067522224635468,38.333333333333336,0.0
0.2,mlp_table,20,18,1.0,1.0,128.16666666666666,0.0006822360000013658,38.333333333333336,0.7253783114335102
0.2,unet,20,18,1.0,0.9444444444444444,148.44444444444446,0.0008216435556581322,38.55555555555556,0.792031324058725
0.3,dijkstra,20,12,1.0,1.0,265.25,0.0005286840831407366,40.666666666666664,0.0
0.3,manhattan,20,12,1.0,1.0,146.33333333333334,0.0003337743332849641,40.666666666666664,0.0
0.3,mlp_table,20,12,1.0,1.0,111.25,0.0005730449997827236,40.666666666666664,0.44264474472921017
0.3,unet,20,12,1.0,1.0,139.83333333333334,0.0007619724168156002,40.666666666666664,0.7933132768661281
0.4,dijkstra,20,1,1.0,1.0,175.0,0.0003299999989394564,42.0,0.0
0.4,manhattan,20,1,1.0,1.0,98.0,0.00021400000150606502,42.0,0.0
0.4,mlp_table,20,1,1.0,1.0,88.0,0.00042225000106554944,42.0,0.3314285714285714
0.4,unet,20,1,1.0,1.0,78.0,0.00037329099905036855,42.0,0.7085714285714285
