obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
0.1,dijkstra,3,2,1.0,1.0,357.5,0.0007547289997091866,38.0,0.0
0.1,manhattan,3,2,1.0,1.0,316.5,0.000736562499696447,38.0,0.0
0.1,mlp_table,3,2,1.0,1.0,137.0,0.0007562710006823181,38.0,0.9171752738654146
0.1,unet,3,2,1.0,1.0,216.5,0.0013032295000812155,38.0,0.5883215962441315
0.2,dijkstra,3,2,1.0,1.0,323.5,0.0006597290011995938,38.0,0.0
0.2,manhattan,3,2,1.0,1.0,273.5,0.0006625420001000748,38.0,0.0
0.2,mlp_table,3,2,1.0,1.0,155.5,0.0008565835005356348,38.0,0.8399655963302752
0.2,unet,3,2,1.0,1.0,182.5,0.0010254374992655357,38.0,0.9368405963302753
0.3,dijkstra,3,2,1.0,1.0,270.5,0.0005489790000865469,38.0,0.0
0.3,manhattan,3,2,1.0,1.0,151.5,0.00035845850015903125,38.0,0.0
0.3,mlp_table,3,2,1.0,1.0,117.0,0.0006800210003348184,38.0,0.508051626308639
0.3,unet,3,2,1.0,1.0,145.0,0.0007515829993280931,38.0,0.8773675377607288
0.4,dijkstra,3,0,,,,,,
0.4,manhattan,3,0,,,,,,
0.4,mlp_table,3,0,,,,,,
0.4,unet,3,0,,,,,,
