obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
0.1,dijkstra,3,3,1.0,1.0,169.33333333333334,0.00037012533296850353,14.333333333333334,0.0
0.1,manhattan,3,3,1.0,1.0,45.333333333333336,0.00011566666580620222,14.333333333333334,0.0
0.1,mlp_table,3,3,1.0,1.0,22.333333333333332,0.0003478056666305444,14.333333333333334,0.9392279603547209
0.1,unet,3,3,1.0,1.0,33.0,0.00021884700011772415,14.333333333333334,0.5899321857068336
0.2,dijkstra,3,3,1.0,1.0,96.0,0.00020838900006007557,9.666666666666666,0.0
0.2,manhattan,3,3,1.0,1.0,14.0,4.006966628367081e-05,9.666666666666666,0.0
0.2,mlp_table,3,3,1.0,1.0,10.666666666666666,8.144433316677653e-05,9.666666666666666,0.7019962356881053
0.2,unet,3,3,1.0,1.0,13.666666666666666,9.802766605086315e-05,9.666666666666666,0.6306596493246288
0.3,dijkstra,3,3,1.0,1.0,111.0,0.00022280566554400139,12.666666666666666,0.0
0.3,manhattan,3,3,1.0,1.0,46.333333333333336,0.0001060833334728765,12.666666666666666,0.0
0.3,mlp_table,3,3,1.0,1.0,37.0,0.00026697166746695683,12.666666666666666,0.4090578032770719
0.3,unet,3,3,1.0,1.0,34.333333333333336,0.0001831666668294929,12.666666666666666,0.6852094036651059
0.4,dijkstra,3,3,1.0,1.0,52.0,0.00010522233302860211,11.666666666666666,0.0
0.4,manhattan,3,3,1.0,1.0,29.333333333333332,6.850000014916684e-05,11.666666666666666,0.0
0.4,mlp_table,3,3,1.0,1.0,23.333333333333332,0.00014616666643026596,11.666666666666666,0.4967047992730176
0.4,unet,3,3,1.0,1.0,26.666666666666668,0.00014887466689591142,11.666666666666666,0.657546830634043
