map_mode,structured_type,obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
structured,bottleneck,0.1,dijkstra,3,3,1.0,1.0,109.33333333333333,0.00023850033418663466,9.333333333333334,0.0
structured,bottleneck,0.1,manhattan,3,3,1.0,1.0,35.0,0.00015890266634717895,9.333333333333334,0.0
structured,bottleneck,0.1,mlp_table,3,3,1.0,1.0,24.0,0.00015201399825552167,9.333333333333334,0.7140350877192981
structured,bottleneck,0.1,unet,3,3,1.0,1.0,31.333333333333332,0.00017397233265607306,9.333333333333334,0.27017543859649124
structured,bottleneck,0.2,dijkstra,3,3,1.0,1.0,145.33333333333334,0.0003067083343921695,13.0,0.0
structured,bottleneck,0.2,manhattan,3,3,1.0,1.0,63.0,0.0001590000004701627,13.0,0.0
structured,bottleneck,0.2,mlp_table,3,3,1.0,1.0,55.0,0.00036258333299580653,13.0,0.6332340425531915
structured,bottleneck,0.2,unet,3,3,1.0,1.0,58.0,0.0003167363332371072,13.0,0.33211347517730494
structured,bottleneck,0.3,dijkstra,3,3,1.0,1.0,185.33333333333334,0.00038454133391496725,19.0,0.0
structured,bottleneck,0.3,manhattan,3,3,1.0,1.0,99.33333333333333,0.00024477766661827144,19.0,0.0
structured,bottleneck,0.3,mlp_table,3,3,1.0,1.0,59.333333333333336,0.00033079133451489423,19.0,0.5725297355057241
structured,bottleneck,0.3,unet,3,3,1.0,1.0,78.66666666666667,0.0004673750008805655,19.0,0.3569038763791413
structured,bottleneck,0.4,dijkstra,3,3,1.0,1.0,234.33333333333334,0.0005097496662832176,20.333333333333332,0.0
structured,bottleneck,0.4,manhattan,3,3,1.0,1.0,86.0,0.0002121659999829717,20.333333333333332,0.0
structured,bottleneck,0.4,mlp_table,3,3,1.0,1.0,55.666666666666664,0.00031344433349052753,20.333333333333332,0.633187738372185
structured,bottleneck,0.4,unet,3,3,1.0,1.0,62.333333333333336,0.00038794433445824933,20.333333333333332,0.4578091123455032
structured,large_block,0.1,dijkstra,3,3,1.0,1.0,80.33333333333333,0.00017516633427779502,9.333333333333334,0.0
structured,large_block,0.1,manhattan,3,3,1.0,1.0,21.666666666666668,5.3638666334639616e-05,9.333333333333334,0.0
structured,large_block,0.1,mlp_table,3,3,1.0,1.0,15.0,0.00010270799975842237,9.333333333333334,0.9781807033096926
structured,large_block,0.1,unet,3,3,1.0,1.0,16.0,0.00011516700033098459,9.333333333333334,0.6305592494089834
structured,large_block,0.2,dijkstra,3,3,1.0,1.0,107.66666666666667,0.00023377766774501652,9.333333333333334,0.0
structured,large_block,0.2,manhattan,3,3,1.0,1.0,39.0,0.00010215266714415823,9.333333333333334,0.0
