map_mode,structured_type,obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
structured,bottleneck,0.1,dijkstra,100,100,1.0,1.0,189.84,0.0004112287698080763,15.11,0.0
structured,bottleneck,0.1,manhattan,100,100,1.0,1.0,64.04,0.00015967493989592186,15.11,0.0
structured,bottleneck,0.1,mlp_table,100,100,1.0,1.0,37.91,0.00022769960993173298,15.11,0.7587522664767548
structured,bottleneck,0.1,unet,100,100,1.0,1.0,53.38,0.0003148388000772684,15.11,0.3756122170302362
structured,bottleneck,0.2,dijkstra,100,100,1.0,1.0,201.36,0.00043125372987560693,17.14,0.0
structured,bottleneck,0.2,manhattan,100,100,1.0,1.0,74.57,0.00018253668997203932,17.14,0.0
structured,bottleneck,0.2,mlp_table,100,100,1.0,1.0,44.29,0.00025648541984992336,17.14,0.7376228089001987
structured,bottleneck,0.2,unet,100,100,1.0,1.0,60.58,0.00034487040997191796,17.14,0.33795972237251093
structured,bottleneck,0.3,dijkstra,100,100,1.0,1.0,185.93,0.00039442125991627107,17.4,0.0
structured,bottleneck,0.3,manhattan,100,100,1.0,1.0,70.55,0.00017073160972358892,17.4,0.0
structured,bottleneck,0.3,mlp_table,100,100,1.0,0.99,49.02,0.0002750812502563349,17.42,0.6494799793854537
structured,bottleneck,0.3,unet,100,100,1.0,1.0,58.88,0.00032726871977502016,17.4,0.38445559506440885
structured,bottleneck,0.4,dijkstra,100,100,1.0,1.0,187.24,0.00039770916984707585,17.72,0.0
structured,bottleneck,0.4,manhattan,100,100,1.0,1.0,74.04,0.00018010747986409116,17.72,0.0
structured,bottleneck,0.4,mlp_table,100,100,1.0,1.0,51.39,0.0002833499801636208,17.72,0.621821729243427
structured,bottleneck,0.4,unet,100,100,1.0,1.0,62.32,0.00034454004984581845,17.72,0.3393031940128127
structured,large_block,0.1,dijkstra,100,100,1.0,1.0,187.87,0.0004099325000424869,13.55,0.0
structured,large_block,0.1,manhattan,100,100,1.0,1.0,56.18,0.0001437749901015195,13.55,0.0
structured,large_block,0.1,mlp_table,100,100,1.0,0.99,21.97,0.00015518747004534817,13.57,0.9711506319301455
structured,large_block,0.1,unet,100,100,1.0,0.92,39.34,0.0002622199901088607,13.71,0.5936147167070039
structured,large_block,0.2,dijkstra,100,100,1.0,1.0,176.22,0.0003822741498879623,13.21,0.0
structured,large_block,0.2,manhattan,100,100,1.0,1.0,55.05,0.00014007091001985828,13.21,0.0
