case_category,region,cases,mean_abs_error,mean_max_abs_error,mean_cells
unet_better_than_manhattan,near_goal,20,1.3713517037038505,4.521560716629028,17.5
unet_better_than_manhattan,near_obstacle,20,2.0899024993375694,9.185539627075196,170.75
unet_better_than_manhattan,corridor,20,2.5464112323829915,8.060332202911377,34.55
unet_better_than_manhattan,bottleneck,19,2.78844513397169,5.240290980590017,4.105263157894737
unet_better_than_manhattan,optimal_path,20,2.096360640800916,6.116156101226807,39.0
unet_better_than_manhattan,other,20,1.3989482668455702,7.095217704772949,170.45
unet_non_optimal,near_goal,3,1.4902431187259049,5.171120961507161,18.0
unet_non_optimal,near_obstacle,3,3.1931820512219313,13.0911013285319,220.66666666666666
unet_non_optimal,corridor,3,3.5453375959767794,13.0911013285319,88.33333333333333
unet_non_optimal,bottleneck,3,3.8742264438160325,10.542020797729492,21.666666666666668
unet_non_optimal,optimal_path,3,2.6326484313377967,6.672835350036621,39.0
unet_non_optimal,other,3,2.8609380853437174,8.460368474324545,64.66666666666667
unet_worse_than_manhattan,near_goal,13,9.765967112983851,14.253479664142315,10.23076923076923
unet_worse_than_manhattan,near_obstacle,13,5.797779983486577,16.747462492722732,206.6153846153846
unet_worse_than_manhattan,corridor,13,5.962603630565628,16.70734640268179,92.46153846153847
unet_worse_than_manhattan,bottleneck,13,6.251191932814241,15.386601961576021,43.76923076923077
unet_worse_than_manhattan,optimal_path,13,5.606991317116926,14.495194435119629,40.23076923076923
unet_worse_than_manhattan,other,13,5.227932091875266,12.36228766808143,54.15384615384615
