case_category,structure,cases,mean_obstacle_rate,mean_unet_expanded,mean_manhattan_expanded,mean_unet_minus_manhattan_expanded,mean_unet_minus_mlp_expanded,mean_mae,mean_overestimate_rate,mean_underestimate_rate,mean_local_consistency_violation_rate
unet_better_than_manhattan,multiple alternative routes,20,0.1,218.35,314.0,-95.65,81.6,1.725573651845479,0.5882974696759133,0.4117025303240866,0.22414227370330525
unet_better_than_manhattan,open space,20,0.1,218.35,314.0,-95.65,81.6,1.725573651845479,0.5882974696759133,0.4117025303240866,0.22414227370330525
unet_non_optimal,bottleneck,2,0.25,165.0,163.5,1.5,43.0,3.444802136554254,0.6938630999213218,0.3061369000786782,0.22224215636705646
unet_non_optimal,dense obstacles,1,0.3,124.0,184.0,-60.0,22.0,3.473089253860899,0.8780487804878049,0.12195121951219512,0.22431077694235588
unet_non_optimal,maze-like,1,0.3,124.0,184.0,-60.0,22.0,3.473089253860899,0.8780487804878049,0.12195121951219512,0.22431077694235588
unet_non_optimal,multiple alternative routes,3,0.2333333333333333,172.0,188.0,-16.0,35.0,3.072931364520507,0.7336034373307254,0.26639656266927453,0.22163082533313969
unet_non_optimal,narrow corridor,1,0.3,124.0,184.0,-60.0,22.0,3.473089253860899,0.8780487804878049,0.12195121951219512,0.22431077694235588
unet_non_optimal,sparse obstacles,2,0.2,196.0,190.0,6.0,41.5,2.8728524198503114,0.6613807657521857,0.33861923424781426,0.2202908495285316
unet_worse_than_manhattan,bottleneck,13,0.2692307692307692,200.92307692307693,142.84615384615384,58.07692307692308,81.07692307692308,5.6920266410338165,0.8249016973726165,0.1750983026273835,0.17454679561681966
unet_worse_than_manhattan,dense obstacles,4,0.3,165.0,110.75,54.25,75.25,5.357178232120004,0.8439374832468836,0.1560625167531164,0.17221918689293064
unet_worse_than_manhattan,large obstacle block,2,0.4,133.0,92.5,40.5,43.0,6.9449625567284965,0.7639791342545987,0.23602086574540132,0.18462695547533092
unet_worse_than_manhattan,maze-like,7,0.32857142857142857,166.71428571428572,112.42857142857143,54.285714285714285,68.42857142857143,6.268528636908433,0.8233986437176402,0.17660135628235987,0.16786481934935163
unet_worse_than_manhattan,multiple alternative routes,6,0.21666666666666667,236.66666666666666,174.66666666666666,62.0,98.66666666666667,5.2002705220905785,0.8492758592035914,0.15072414079640853,0.18025134913930999
unet_worse_than_manhattan,narrow corridor,6,0.3333333333333333,148.16666666666666,104.66666666666667,43.5,57.666666666666664,6.535086174377924,0.816378877440695,0.18362112255930493,0.1691277756842914
unet_worse_than_manhattan,sparse obstacles,6,0.20000000000000004,240.83333333333334,178.33333333333334,62.5,95.83333333333333,5.019440979180099,0.826655259970089,0.173344740029911,0.18234243459553237
