    38   ##     ##       39     38     37     36     35     34     33     32     31     30     31     32     33     32     31   ##     ##  
    37     36     37     38     39     38   ##       34     33   ##       31     30     29   ##     ##     ##       31     30   ##       32
    36     35     36     37     38   ##     ##     ##       32     31     30   ##       28     27     26     27   ##       29     30     31
    35     34     35     36   ##       34     33     34   ##       30     29   ##       27     26     25     26     27     28     29     30
    34     33   ##     ##       30   ##       32     33   ##       29     28     27   ##       25     24     25     26   ##       30     31
    33     32     31     30     29     30     31     32   ##       28     27     26     25     24     23   ##       25     26   ##       32
    32   ##       30     29     28     29     30     31     30   ##       26     25     24     23     22     23     24     25     26   ##  
    31   ##       29     28     27     28     29     30     29     28     27     26   ##       22     21     22     23   ##       27     28
    30     29     28     27     26     27     28   ##       30     29   ##     ##     ##       21     20     21   ##     ##     ##       29
    29     28     27     26     25   ##       29     30     31   ##       19     18     17   ##       19     20   ##     ##       31     30
    28     27     26     25     24     23   ##       31   ##     ##       20   ##       16     17     18     19     20   ##       32     31
    29   ##       25     24     23     22     21   ##     ##       20   ##       16     15   ##       19   ##     ##     ##       33     32
    30   ##       24     23   ##       21     20     19   ##       19     20   ##       14     13   ##       11     10      9   ##     ##  
  ##       24     23     22     21     20     19     18     17     18     19   ##       13     12     11     10   ##        8      7      6
    24   ##       22     23   ##       19     18     17     16   ##     ##       13     12     11     10      9      8   ##        6      5
    23     22     21   ##     ##       18     17     16     15     14   ##     ##       11     10      9      8      7      6      5      4
    22     21     20     19     18     17     16     15     14     13     14   ##       10      9      8   ##     ##        5      4      3
    21     20     19     18     17     16     15     14     13     12   ##     ##     ##        8      7      6      5      4      3      2
    20     19     18     17     16     15     14     13     12     11     10      9      8      7   ##        5      4      3      2      1
    21     20     19     18   ##     ##       15   ##       13     12   ##     ##     ##        6      5      4      3      2      1      0
