case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,target_cases_per_structure
size500_open_random_seed520280801,500,open_random,520280801,0.1,41cd7c79bdcfbeab2d39cade12501b8a78bb26fad86cd36566a1133074b0be5e,"180,1","418,296",533,50
size500_open_random_seed520280802,500,open_random,520280802,0.2,bfd5f656054f3d1310ba9717eebe3cafb7c8893d7b7da4f5e83f25f0a24aeb35,"198,39","72,469",558,50
size500_open_random_seed520280803,500,open_random,520280803,0.3,092e0b5cc8958938372bbdd842456d1172d65e8dbc14ec29a728b32d8760b9e9,"414,283","133,328",386,50
size500_open_random_seed520280804,500,open_random,520280804,0.4,089d334e2866356d69fff224d255f79cd974919706211b48e04581dbf6eb7780,"94,408","94,407",1,50
size500_open_random_seed520280805,500,open_random,520280805,0.1,e3e00348169f7922c7ba598f8c96f6dc2ad5ad8cd6e98cda365a69b506c9a21f,"169,21","371,401",582,50
size500_open_random_seed520280806,500,open_random,520280806,0.2,38b85b4eb5e0e8647961702cbee6a27665c55ed831988f037a5b6898a4fd1484,"495,15","365,406",523,50
size500_open_random_seed520280807,500,open_random,520280807,0.3,5dc9a2ab38818ad039b3165f4c5488163e635c1a36323f4f5c2d557ae12ac0c7,"344,46","189,365",482,50
size500_open_random_seed520280808,500,open_random,520280808,0.4,4ac6a728d1c4d09a298419f176638d12acf808f56d2589f1d339cae09d590e09,"155,69","181,9",168,50
size500_open_random_seed520280809,500,open_random,520280809,0.1,891e1cf6c77ff186f5d97e26c8a58bf19214f1ad2e745810092a190fc9afa81d,"19,36","470,282",697,50
size500_open_random_seed520280810,500,open_random,520280810,0.2,3a6410b718f1790c047b0e5f76e84f7ed50a183420efdf5147865848510889ac,"438,57","267,115",229,50
size500_open_random_seed520280811,500,open_random,520280811,0.3,6fb0c9570482bfd6ddfc4fc1a3c1fdee1be801fb2fbe6b57e46c1ac9c773bb57,"397,477","121,464",355,50
