map_size,structure_type,algorithm,component,completed_cases,mean_seconds,fraction_of_total
1000,bottleneck,full_map_unet_tiebreak,astar_search,50,0.3918568674799974,0.735607745166651
1000,bottleneck,full_map_unet_tiebreak,neural_inference,50,0.14084125873565673,0.264392254833349
1000,bottleneck,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1000,bottleneck,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1000,bottleneck,manhattan_astar,astar_search,50,0.20410435297999696,1.0
1000,bottleneck,manhattan_astar,neural_inference,50,0.0,0.0
1000,bottleneck,manhattan_astar,patch_extraction,50,0.0,0.0
1000,bottleneck,manhattan_astar,cache_lookup,50,0.0,0.0
1000,bottleneck,region_cache_patch_32,astar_search,50,0.621236528932236,0.2843994914232263
1000,bottleneck,region_cache_patch_32,neural_inference,50,0.5997639943858986,0.27456945468175814
1000,bottleneck,region_cache_patch_32,patch_extraction,50,0.9405198935001658,0.4305660838145128
1000,bottleneck,region_cache_patch_32,cache_lookup,50,0.022859470161697572,0.01046497008050271
1000,bottleneck,region_cache_patch_64,astar_search,50,0.40922300438654835,0.276015016045565
1000,bottleneck,region_cache_patch_64,neural_inference,50,0.2674464268544316,0.18038875871657006
1000,bottleneck,region_cache_patch_64,patch_extraction,50,0.7816058023999495,0.5271818440757732
1000,bottleneck,region_cache_patch_64,cache_lookup,50,0.02433614833907541,0.016414381162091752
1000,large_block,full_map_unet_tiebreak,astar_search,50,0.2692936366799995,0.7980407993863528
1000,large_block,full_map_unet_tiebreak,neural_inference,50,0.06814980842590332,0.20195920061364736
1000,large_block,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1000,large_block,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1000,large_block,manhattan_astar,astar_search,50,0.15577778544000012,1.0
1000,large_block,manhattan_astar,neural_inference,50,0.0,0.0
1000,large_block,manhattan_astar,patch_extraction,50,0.0,0.0
1000,large_block,manhattan_astar,cache_lookup,50,0.0,0.0
1000,large_block,region_cache_patch_32,astar_search,50,0.1054159657541362,0.22590452176140413
1000,large_block,region_cache_patch_32,neural_inference,50,0.12197919754624367,0.2613992300824016
1000,large_block,region_cache_patch_32,patch_extraction,50,0.23723952555989855,0.5084000434005269
1000,large_block,region_cache_patch_32,cache_lookup,50,0.0020047786997133697,0.004296204755667464
1000,large_block,region_cache_patch_64,astar_search,50,0.08500925222045293,0.2265993772630378
1000,large_block,region_cache_patch_64,neural_inference,50,0.044643592419326306,0.11900128488096842
1000,large_block,region_cache_patch_64,patch_extraction,50,0.240753836879951,0.641749787060922
1000,large_block,region_cache_patch_64,cache_lookup,50,0.004745506660265164,0.01264955079507174
1000,maze_like,full_map_unet_tiebreak,astar_search,50,0.00011599252000451088,0.002018135633412945
1000,maze_like,full_map_unet_tiebreak,neural_inference,50,0.057359093933105475,0.9979818643665871
1000,maze_like,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1000,maze_like,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1000,maze_like,manhattan_astar,astar_search,50,3.371809999975994e-05,1.0
1000,maze_like,manhattan_astar,neural_inference,50,0.0,0.0
1000,maze_like,manhattan_astar,patch_extraction,50,0.0,0.0
1000,maze_like,manhattan_astar,cache_lookup,50,0.0,0.0
1000,maze_like,region_cache_patch_32,astar_search,50,0.0007733802035517966,0.26612591170417454
1000,maze_like,region_cache_patch_32,neural_inference,50,0.0007810015964508057,0.26874848999670087
1000,maze_like,region_cache_patch_32,patch_extraction,50,0.0013510473200017258,0.46490548651192676
1000,maze_like,region_cache_patch_32,cache_lookup,50,6.396599928848445e-07,0.0002201117871977751
1000,maze_like,region_cache_patch_64,astar_search,50,0.0007974774356236321,0.13732040245316166
1000,maze_like,region_cache_patch_64,neural_inference,50,0.0008792051243782044,0.15139337632052663
1000,maze_like,region_cache_patch_64,patch_extraction,50,0.004130087359994832,0.7111740509594422
1000,maze_like,region_cache_patch_64,cache_lookup,50,6.514200015317328e-07,0.00011217026686958704
1000,narrow_corridor,full_map_unet_tiebreak,astar_search,50,0.2638399060600045,0.806811242671899
1000,narrow_corridor,full_map_unet_tiebreak,neural_inference,50,0.06317574779510499,0.19318875732810084
1000,narrow_corridor,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1000,narrow_corridor,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1000,narrow_corridor,manhattan_astar,astar_search,50,0.13186537230001705,1.0
1000,narrow_corridor,manhattan_astar,neural_inference,50,0.0,0.0
1000,narrow_corridor,manhattan_astar,patch_extraction,50,0.0,0.0
1000,narrow_corridor,manhattan_astar,cache_lookup,50,0.0,0.0
1000,narrow_corridor,region_cache_patch_32,astar_search,50,0.28095362210318464,0.29144020431131545
1000,narrow_corridor,region_cache_patch_32,neural_inference,50,0.19477739647746084,0.20204745466413346
1000,narrow_corridor,region_cache_patch_32,patch_extraction,50,0.47654003162038405,0.49432686839309914
1000,narrow_corridor,region_cache_patch_32,cache_lookup,50,0.011747015758980978,0.01218547263145198
1000,narrow_corridor,region_cache_patch_64,astar_search,50,0.17177115316045521,0.2545902876515323
1000,narrow_corridor,region_cache_patch_64,neural_inference,50,0.06260665732085705,0.09279233796217745
1000,narrow_corridor,region_cache_patch_64,patch_extraction,50,0.4279732613799911,0.6343197546104637
1000,narrow_corridor,region_cache_patch_64,cache_lookup,50,0.012345338378686392,0.018297619775826512
1000,open_random,full_map_unet_tiebreak,astar_search,50,0.17380481632000055,0.6785258101261432
1000,open_random,full_map_unet_tiebreak,neural_inference,50,0.08234581748962402,0.32147418987385684
1000,open_random,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1000,open_random,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1000,open_random,manhattan_astar,astar_search,50,0.10210885163999592,1.0
1000,open_random,manhattan_astar,neural_inference,50,0.0,0.0
1000,open_random,manhattan_astar,patch_extraction,50,0.0,0.0
1000,open_random,manhattan_astar,cache_lookup,50,0.0,0.0
1000,open_random,region_cache_patch_32,astar_search,50,0.2881509082887025,0.2340308855428969
1000,open_random,region_cache_patch_32,neural_inference,50,0.331570899810791,0.2692958067139882
1000,open_random,region_cache_patch_32,patch_extraction,50,0.5990974607599253,0.4865759754179589
1000,open_random,region_cache_patch_32,cache_lookup,50,0.012432356840581632,0.010097332325156116
1000,open_random,region_cache_patch_64,astar_search,50,0.18841435869268963,0.21168360527767202
1000,open_random,region_cache_patch_64,neural_inference,50,0.16579189950764175,0.1862672635839446
1000,open_random,region_cache_patch_64,patch_extraction,50,0.5227326695999522,0.5872903576198268
1000,open_random,region_cache_patch_64,cache_lookup,50,0.013136420479714844,0.014758773518556555
1500,bottleneck,full_map_unet_tiebreak,astar_search,50,1.4566441600600093,0.8883095980400276
1500,bottleneck,full_map_unet_tiebreak,neural_inference,50,0.18314917694091798,0.11169040195997236
1500,bottleneck,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1500,bottleneck,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1500,bottleneck,manhattan_astar,astar_search,50,0.7485043998000037,1.0
1500,bottleneck,manhattan_astar,neural_inference,50,0.0,0.0
1500,bottleneck,manhattan_astar,patch_extraction,50,0.0,0.0
1500,bottleneck,manhattan_astar,cache_lookup,50,0.0,0.0
1500,bottleneck,region_cache_patch_32,astar_search,50,1.621642550821634,0.32157266756023256
1500,bottleneck,region_cache_patch_32,neural_inference,50,0.9820435323116183,0.19473980760169105
1500,bottleneck,region_cache_patch_32,patch_extraction,50,2.348732647259803,0.4657550595120123
1500,bottleneck,region_cache_patch_32,cache_lookup,50,0.09043072296693935,0.017932465326064087
1500,bottleneck,region_cache_patch_64,astar_search,50,1.1954217514176035,0.31475534646533054
1500,bottleneck,region_cache_patch_64,neural_inference,50,0.48179546887904406,0.12685706910771605
1500,bottleneck,region_cache_patch_64,patch_extraction,50,2.0224452730396387,0.5325111926965289
