map_size,algorithm,planned_cases,completed_cases,skipped_cases,mean_expanded_nodes,median_expanded_nodes,optimality_rate,mean_path_cost_gap,mean_total_runtime_seconds,mean_astar_search_seconds,mean_neural_inference_seconds,mean_patch_extraction_seconds,mean_cache_lookup_seconds,mean_unet_call_count,mean_cache_hit_rate,expansion_reduction_vs_manhattan,runtime_multiplier_vs_manhattan
1000,full_map_unet_tiebreak,250,250,0,51622.476,15713.0,1.0,0.0,0.30215658908788023,0.2197822438120013,0.0823743452758789,0.0,0.0,1.0,0.0,0.38242116617026645,2.543876375690924
1000,manhattan_astar,250,250,0,83588.48,34857.5,1.0,0.0,0.11877801609200196,0.11877801609200196,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,region_cache_patch_32,250,250,0,39505.46,5705.5,1.0,0.0,0.9698390229959996,0.25930608105636227,0.24977449796336898,0.4509495917520751,0.009808852224193287,191.264,0.8671301218085369,0.5273815243440244,8.165139096487271
1000,region_cache_patch_64,250,250,0,43362.232,10766.5,1.0,0.0,0.6856685500039973,0.17104304917915397,0.10827355624532699,0.3954391315239677,0.010912813055548668,52.844,0.8730367028662118,0.48124152993331126,5.772689025828639
1500,full_map_unet_tiebreak,250,250,0,132716.988,32659.5,1.0,0.0,0.7731046610186647,0.6235796607440066,0.1495250002746582,0.0,0.0,1.0,0.0,0.3233236047846879,2.446023282746789
1500,manhattan_astar,250,250,0,196130.66,83569.0,1.0,0.0,0.31606594527199194,0.31606594527199194,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1500,region_cache_patch_32,250,250,0,106981.608,11667.0,1.0,0.0,2.176972106975999,0.651689191140517,0.4781110909727811,1.014388313027852,0.03278351183484892,447.088,0.8868051277170591,0.4545390914403694,6.887714856792294
1500,region_cache_patch_64,250,250,0,116662.916,18443.5,1.0,0.0,1.6230099915799996,0.4721877379166358,0.23190076233452558,0.882142289147921,0.036779202180917306,117.832,0.8935464494480235,0.40517756887169,5.135035950118926
2000,full_map_unet_tiebreak,250,250,0,207476.096,61021.5,1.0,0.0,1.247421174543754,1.0322805178359904,0.21514065670776367,0.0,0.0,1.0,0.0,0.38169523593592447,2.0984522895409747
2000,manhattan_astar,250,250,0,335556.36,163862.5,1.0,0.0,0.5944481943959854,0.5944481943959854,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,region_cache_patch_32,250,250,0,168776.364,19787.5,1.0,0.0,3.7583850505760275,1.1324276319010356,0.8602386647710206,1.7096540916004432,0.05606466230352817,716.72,0.8596044510087717,0.4970252866016308,6.322477023241523
2000,region_cache_patch_64,250,250,0,174283.112,31312.0,1.0,0.0,2.592398622243982,0.7692757010213358,0.3844108308019637,1.379393808172479,0.059318282248203104,179.412,0.8666370751338868,0.48061448753348024,4.361016900519144
500,full_map_unet_tiebreak,250,250,0,13744.444,4407.5,1.0,0.0,0.07238486355957034,0.05482592384799961,0.01755893971157074,0.0,0.0,1.0,0.0,0.3726903848737827,2.684700479822642
500,manhattan_astar,250,250,0,21910.144,9919.5,1.0,0.0,0.026961988535999466,0.026961988535999466,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500,region_cache_patch_32,250,250,0,11450.152,1322.0,1.0,0.0,0.3231789517919995,0.08502978742971269,0.08916406915026905,0.14683352760400697,0.0021515676080107937,57.052,0.868932873856798,0.4774040736564762,11.986465737142984
500,region_cache_patch_64,250,250,0,12692.448,2479.5,1.0,0.0,0.20006366911199808,0.046190742538758565,0.029541924493193625,0.12203389414399607,0.0022971079360498267,17.032,0.8765597759627931,0.420704491946744,7.420211934474878
