map_size,structure_type,algorithm,planned_cases,completed_cases,skipped_cases,mean_expanded_nodes,median_expanded_nodes,optimality_rate,mean_path_cost_gap,mean_total_runtime_seconds,mean_astar_search_seconds,mean_neural_inference_seconds,mean_patch_extraction_seconds,mean_cache_lookup_seconds,mean_unet_call_count,mean_cache_hit_rate,expansion_reduction_vs_manhattan,runtime_multiplier_vs_manhattan
1000,bottleneck,full_map_unet_tiebreak,50,50,0,97423.54,28468.0,1.0,0.0,0.5326981262156542,0.3918568674799974,0.14084125873565673,0.0,0.0,1.0,0.0,0.3074317085796724,2.6099302559601005
1000,bottleneck,manhattan_astar,50,50,0,140669.94,85556.5,1.0,0.0,0.20410435297999696,0.20410435297999696,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,bottleneck,region_cache_patch_32,50,50,0,91369.42,24073.5,1.0,0.0,2.184379886979998,0.621236528932236,0.5997639943858986,0.9405198935001658,0.022859470161697572,361.62,0.992127906928966,0.3504694748572439,10.702269966746256
1000,bottleneck,region_cache_patch_64,50,50,0,96804.18,30351.5,1.0,0.0,1.4826113819800049,0.40922300438654835,0.2674464268544316,0.7816058023999495,0.02433614833907541,96.96,0.9979513538546747,0.3118346392982041,7.263987074912149
1000,large_block,full_map_unet_tiebreak,50,50,0,50040.4,33303.0,1.0,0.0,0.3374434451059028,0.2692936366799995,0.06814980842590332,0.0,0.0,1.0,0.0,0.5442794874041278,2.166184633789608
1000,large_block,manhattan_astar,50,50,0,109805.02,70279.5,1.0,0.0,0.15577778544000012,0.15577778544000012,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,large_block,region_cache_patch_32,50,50,0,10263.1,2090.5,1.0,0.0,0.46663946755999175,0.1054159657541362,0.12197919754624367,0.23723952555989855,0.0020047786997133697,107.7,0.9822461087059108,0.9065334171424949,2.995545650119183
1000,large_block,region_cache_patch_64,50,50,0,22912.58,11269.0,1.0,0.0,0.3751521881799954,0.08500925222045293,0.044643592419326306,0.240753836879951,0.004745506660265164,34.94,0.997220593115219,0.7913339481200404,2.408252159448564
1000,maze_like,full_map_unet_tiebreak,50,50,0,14.64,3.0,1.0,0.0,0.05747508645310998,0.00011599252000451088,0.057359093933105475,0.0,0.0,1.0,0.0,0.06751592356687885,1704.5766651596377
1000,maze_like,manhattan_astar,50,50,0,15.7,4.0,1.0,0.0,3.371809999975994e-05,3.371809999975994e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,maze_like,region_cache_patch_32,50,50,0,14.64,3.0,1.0,0.0,0.002906068779997213,0.0007733802035517966,0.0007810015964508057,0.0013510473200017258,6.396599928848445e-07,0.52,0.39834920634920634,0.06751592356687885,86.18720449900508
1000,maze_like,region_cache_patch_64,50,50,0,14.64,3.0,1.0,0.0,0.0058074213399982,0.0007974774356236321,0.0008792051243782044,0.004130087359994832,6.514200015317328e-07,0.52,0.39834920634920634,0.06751592356687885,172.23453694127326
1000,narrow_corridor,full_map_unet_tiebreak,50,50,0,60476.22,31953.5,1.0,0.0,0.32701565385510956,0.2638399060600045,0.06317574779510499,0.0,0.0,1.0,0.0,0.34144419599444986,2.47992060501745
1000,narrow_corridor,manhattan_astar,50,50,0,91831.58,62551.5,1.0,0.0,0.13186537230001705,0.13186537230001705,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,narrow_corridor,region_cache_patch_32,50,50,0,50483.3,27042.0,1.0,0.0,0.9640180659600105,0.28095362210318464,0.19477739647746084,0.47654003162038405,0.011747015758980978,227.94,0.993160410730008,0.45026209937801354,7.31062332093295
1000,narrow_corridor,region_cache_patch_64,50,50,0,50100.38,19094.0,1.0,0.0,0.6746964102399897,0.17177115316045521,0.06260665732085705,0.4279732613799911,0.012345338378686392,61.94,0.9976412825472173,0.45443190675800205,5.116554850388895
1000,open_random,full_map_unet_tiebreak,50,50,0,50157.58,23951.0,1.0,0.0,0.25615063380962455,0.17380481632000055,0.08234581748962402,0.0,0.0,1.0,0.0,0.33671682260391933,2.5086036097314275
1000,open_random,manhattan_astar,50,50,0,75620.16,35059.0,1.0,0.0,0.10210885163999592,0.10210885163999592,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,open_random,region_cache_patch_32,50,50,0,45396.84,16241.5,1.0,0.0,1.2312516257000004,0.2881509082887025,0.331570899810791,0.5990974607599253,0.012432356840581632,258.54,0.9697669763285934,0.3996727856698532,12.058226156935062
1000,open_random,region_cache_patch_64,50,50,0,46979.38,19960.5,1.0,0.0,0.8900753482799985,0.18841435869268963,0.16579189950764175,0.5227326695999522,0.013136420479714844,69.86,0.9740210784647421,0.37874529755028297,8.716926436682762
1500,bottleneck,full_map_unet_tiebreak,50,50,0,310179.16,99457.0,1.0,0.0,1.6397933370009272,1.4566441600600093,0.18314917694091798,0.0,0.0,1.0,0.0,0.29653066071412704,2.1907597836954213
1500,bottleneck,manhattan_astar,50,50,0,440927.76,273962.5,1.0,0.0,0.7485043998000037,0.7485043998000037,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1500,bottleneck,region_cache_patch_32,50,50,0,282863.94,77360.5,1.0,0.0,5.042849453359995,1.621642550821634,0.9820435323116183,2.348732647259803,0.09043072296693935,1064.46,0.9928883416489026,0.3584800829959085,6.737234216268357
1500,bottleneck,region_cache_patch_64,50,50,0,297944.76,85063.5,1.0,0.0,3.797939462639997,1.1954217514176035,0.48179546887904406,2.0224452730396387,0.09827696930371076,268.98,0.9982676670705074,0.3242776095567219,5.07403759237058
1500,large_block,full_map_unet_tiebreak,50,50,0,156700.4,95573.5,1.0,0.0,1.033854372524077,0.8247638554800096,0.2090905170440674,0.0,0.0,1.0,0.0,0.38070475381989977,2.573501668748539
1500,large_block,manhattan_astar,50,50,0,253030.2,189776.0,1.0,0.0,0.40173060117999737,0.40173060117999737,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1500,large_block,region_cache_patch_32,50,50,0,77935.0,2620.0,1.0,0.0,2.0852564627599985,0.5961900337456071,0.567384291832149,0.8979941703399027,0.02368796684233985,354.72,0.9792160572402423,0.6919932877577459,5.190683648781063
1500,large_block,region_cache_patch_64,50,50,0,105391.98,16571.5,1.0,0.0,1.5517716276000055,0.4636953771561022,0.27951562739551067,0.7761967170796288,0.0323639059687639,102.3,0.9968354910850643,0.5834806280040881,3.8627170124506565
1500,maze_like,full_map_unet_tiebreak,50,50,0,79.04,4.0,1.0,0.0,0.07022789305887854,0.0003406684800211224,0.06988722457885742,0.0,0.0,1.0,0.0,0.38557213930348244,261.506727070331
1500,maze_like,manhattan_astar,50,50,0,128.64,4.0,1.0,0.0,0.00026855099999011144,0.00026855099999011144,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1500,maze_like,region_cache_patch_32,50,50,0,91.68,4.0,1.0,0.0,0.0067135143600125955,0.0015008839248393997,0.001464617595076561,0.0037371311000333664,1.0881740063268808e-05,2.88,0.4773113409495482,0.2873134328358208,24.999029459059173
1500,maze_like,region_cache_patch_64,50,50,0,84.24,4.0,1.0,0.0,0.010826534659991012,0.0011205167188473569,0.0009992524814605715,0.008695889660011745,1.0875799671339336e-05,1.72,0.4775309176651749,0.3451492537313433,40.31463171013947
1500,narrow_corridor,full_map_unet_tiebreak,50,50,0,110619.88,41814.5,1.0,0.0,0.6698331963637015,0.5049031964399956,0.16492999992370605,0.0,0.0,1.0,0.0,0.32254930936331927,2.809619962697936
1500,narrow_corridor,manhattan_astar,50,50,0,163288.46,101311.5,1.0,0.0,0.23840704623998135,0.23840704623998135,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1500,narrow_corridor,region_cache_patch_32,50,50,0,92193.36,29046.5,1.0,0.0,2.0903564029999826,0.5958063243242564,0.5274522489711638,0.9436753633399758,0.0234224663645864,389.84,0.9919683666400166,0.43539574076453413,8.76801435178985
1500,narrow_corridor,region_cache_patch_64,50,50,0,94572.48,24503.0,1.0,0.0,1.4097872691000066,0.39197756121037686,0.23105565617799756,0.7621487044001151,0.024605347311517107,100.44,0.9980296264222488,0.42082569705170836,5.913362425038855
1500,open_random,full_map_unet_tiebreak,50,50,0,86006.46,55224.0,1.0,0.0,0.4518145061457395,0.3312464232599973,0.1205680828857422,0.0,0.0,1.0,0.0,0.3023386771258253,2.360341469193831
1500,open_random,manhattan_astar,50,50,0,123278.24,97457.5,1.0,0.0,0.19141912813998715,0.19141912813998715,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1500,open_random,region_cache_patch_32,50,50,0,81824.06,50488.5,1.0,0.0,1.659684701400006,0.44330616288624847,0.31221076415389765,0.8778022530995441,0.026365521260315744,423.54,0.992641532106586,0.3362651835392848,8.670422426050642
1500,open_random,region_cache_patch_64,50,50,0,85321.12,51558.0,1.0,0.0,1.3447250638999981,0.3087234830802489,0.16613780673861506,0.8412248615602107,0.028638912520923442,115.72,0.9970685449971222,0.3078979712883637,7.025029718642247
2000,bottleneck,full_map_unet_tiebreak,50,50,0,374149.64,77869.5,1.0,0.0,2.2164853825843376,1.9402918941199823,0.2761934884643555,0.0,0.0,1.0,0.0,0.3487457787232543,2.0958194347300645
2000,bottleneck,manhattan_astar,50,50,0,574506.28,414362.5,1.0,0.0,1.0575745915200059,1.0575745915200059,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,bottleneck,region_cache_patch_32,50,50,0,344327.26,68016.0,1.0,0.0,7.565670292980013,2.3739270203981753,1.7760324473071094,3.2978395406794423,0.11787128459528504,1308.0,0.9933165743131959,0.40065535924167794,7.153793551437544
2000,bottleneck,region_cache_patch_64,50,50,0,358036.4,69688.5,1.0,0.0,5.300456663620016,1.6949256869204223,0.8410751539543267,2.638114199540678,0.12634162320458928,327.66,0.9986326828607918,0.3767928872770546,5.0118986463185555
2000,large_block,full_map_unet_tiebreak,50,50,0,223068.12,101234.0,1.0,0.0,1.420903661337378,1.1772192735199951,0.2436843878173828,0.0,0.0,1.0,0.0,0.4107466328642425,2.183061052773324
2000,large_block,manhattan_astar,50,50,0,378560.62,226330.5,1.0,0.0,0.6508767400399939,0.6508767400399939,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,large_block,region_cache_patch_32,50,50,0,81193.76,2308.5,1.0,0.0,2.841878730879998,0.7765907237119233,0.8136513188159473,1.2219075447793148,0.029729143572812974,434.78,0.975176190503449,0.7855197933688929,4.36623181634264
2000,large_block,region_cache_patch_64,50,50,0,103351.18,11755.0,1.0,0.0,1.7900410594200094,0.5116321472061238,0.3266290737849474,0.9174196076605131,0.034360230768425024,116.08,0.9965513533450564,0.7269890882997814,2.750199767946875
2000,maze_like,full_map_unet_tiebreak,50,50,0,244.76,3.0,1.0,0.0,0.10166828455646668,0.0008256692000213665,0.10084261535644531,0.0,0.0,1.0,0.0,0.07978043461914441,194.6273681026171
2000,maze_like,manhattan_astar,50,50,0,265.98,4.0,1.0,0.0,0.0005223740399287636,0.0005223740399287636,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,maze_like,region_cache_patch_32,50,50,0,254.88,3.0,1.0,0.0,0.011312020640079936,0.002590427307881329,0.0024177919924259174,0.006264912200040271,3.88891397324187e-05,5.36,0.36462941476436095,0.04173246108729989,21.655020685221192
2000,maze_like,region_cache_patch_64,50,50,0,263.74,3.0,1.0,0.0,0.017837265379948803,0.002381658299517803,0.0012299974402785302,0.014179199940053877,4.640970009859302e-05,2.94,0.36481900712092064,0.008421685841040749,34.146538718465564
2000,narrow_corridor,full_map_unet_tiebreak,50,50,0,273342.6,128457.0,1.0,0.0,1.5607240588173172,1.3246838767799636,0.2360401820373535,0.0,0.0,1.0,0.0,0.355573164052858,2.1687456436630423
2000,narrow_corridor,manhattan_astar,50,50,0,424163.9,338288.5,1.0,0.0,0.7196436628599895,0.7196436628599895,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,narrow_corridor,region_cache_patch_32,50,50,0,268815.1,75798.5,1.0,0.0,5.394949883520049,1.6755143168462612,1.1911075269746785,2.4444978318619723,0.08383020783713618,1061.78,0.9940153808274472,0.3662471040086156,7.496696159429205
2000,narrow_corridor,region_cache_patch_64,50,50,0,250455.62,96718.0,1.0,0.0,3.522017010219952,1.0487699529498224,0.5116309822836517,1.8801601632604343,0.08145591172604327,248.52,0.9985310653834305,0.40953103269750213,4.894112450351945
2000,open_random,full_map_unet_tiebreak,50,50,0,166575.36,99381.5,1.0,0.0,0.9373244854232707,0.7183818755599896,0.21894260986328123,0.0,0.0,1.0,0.0,0.4452758249479112,1.7242159452864354
2000,open_random,manhattan_astar,50,50,0,300285.02,212885.5,1.0,0.0,0.543623603520009,0.543623603520009,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,open_random,region_cache_patch_32,50,50,0,149290.82,72573.5,1.0,0.0,2.978114324859998,0.833515671240936,0.5179842387649418,1.5777606284814465,0.04885378637267422,773.68,0.9708846946354056,0.5028362720191637,5.478265302640383
2000,open_random,region_cache_patch_64,50,50,0,159308.62,72463.5,1.0,0.0,2.331641112579982,0.5886690597307923,0.24148894654661424,1.4470958704607164,0.054387235841859366,201.86,0.9746512669592345,0.4694753004995055,4.289072618411724
500,bottleneck,full_map_unet_tiebreak,50,50,0,31910.08,8091.0,1.0,0.0,0.14313150776036646,0.1237622048199978,0.019369302940368652,0.0,0.0,1.0,0.0,0.23562811999961675,2.777661511783112
500,bottleneck,manhattan_astar,50,50,0,41746.8,21551.0,1.0,0.0,0.051529499600001145,0.051529499600001145,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500,bottleneck,region_cache_patch_32,50,50,0,29307.86,6403.5,1.0,0.0,0.6557879471800016,0.18522486754687256,0.17020026641339064,0.29445490156000065,0.0059079116597376925,117.32,0.9870287102149545,0.2979615204039592,12.726456733920758
500,bottleneck,region_cache_patch_64,50,50,0,31185.98,6618.0,1.0,0.0,0.39886336621999874,0.10428742047736544,0.05274873470246792,0.23581261033999112,0.006014600700174242,33.0,0.9959043673195628,0.2529731620148131,7.740485921970604
500,large_block,full_map_unet_tiebreak,50,50,0,11218.38,5808.5,1.0,0.0,0.0779658604913657,0.052750904780000954,0.02521495571136475,0.0,0.0,1.0,0.0,0.5915081134853832,2.2665523449071148
500,large_block,manhattan_astar,50,50,0,27462.92,18886.5,1.0,0.0,0.03439843807999978,0.03439843807999978,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500,large_block,region_cache_patch_32,50,50,0,4823.26,790.0,1.0,0.0,0.283538640459999,0.06792607526527174,0.08931297283470631,0.1255069652800097,0.0007926270800112434,43.28,0.9580633669929586,0.824371916751751,8.242776599349618
500,large_block,region_cache_patch_64,50,50,0,8240.5,2235.5,1.0,0.0,0.18761668133999707,0.039487661789983725,0.034274754610061645,0.11247940691999475,0.001374858019956946,15.16,0.975438131022173,0.6999408657200327,5.454220941766617
500,maze_like,full_map_unet_tiebreak,50,50,0,3.38,3.5,1.0,0.0,0.007741024436796611,5.329576000065117e-05,0.00768772867679596,0.0,0.0,1.0,0.0,0.2683982683982684,455.85957835470987
500,maze_like,manhattan_astar,50,50,0,4.62,4.0,1.0,0.0,1.698115999829497e-05,1.698115999829497e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500,maze_like,region_cache_patch_32,50,50,0,3.36,3.5,1.0,0.0,0.0019608494599987125,0.00046624993756508954,0.00039288320243358613,0.0011010154999996757,7.008200003610909e-07,0.56,0.438984126984127,0.2727272727272728,115.47205610191506
500,maze_like,region_cache_patch_64,50,50,0,3.36,3.5,1.0,0.0,0.00484536387999924,0.00045364144041756387,0.0003500627195835113,0.004040862140000172,7.975799979931253e-07,0.56,0.438984126984127,0.2727272727272728,285.337625962287
500,narrow_corridor,full_map_unet_tiebreak,50,50,0,15543.94,5381.0,1.0,0.0,0.08592778278934982,0.06159455257999923,0.024333230209350586,0.0,0.0,1.0,0.0,0.36380796618313593,2.940887174693131
500,narrow_corridor,manhattan_astar,50,50,0,24432.78,16416.5,1.0,0.0,0.029218320079999673,0.029218320079999673,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500,narrow_corridor,region_cache_patch_32,50,50,0,14108.22,4547.0,1.0,0.0,0.4840065678800005,0.12173350215718344,0.15114141690254215,0.2087649882600357,0.002366660560239211,71.82,0.989387286984438,0.4225700063603077,16.565174402730616
500,narrow_corridor,region_cache_patch_64,50,50,0,14375.06,4237.5,1.0,0.0,0.259739667839994,0.056598961085870085,0.04808978435397148,0.1527441387599947,0.0023067836401577326,20.44,0.9967183552230554,0.4116486130518099,8.889616758555167
500,open_random,full_map_unet_tiebreak,50,50,0,10046.44,7450.0,1.0,0.0,0.04715814231997314,0.035968661299999385,0.011189481019973755,0.0,0.0,1.0,0.0,0.36829145602253577,2.400308107459186
500,open_random,manhattan_astar,50,50,0,15903.6,9837.5,1.0,0.0,0.019646703759998444,0.019646703759998444,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500,open_random,region_cache_patch_32,50,50,0,9008.06,6690.5,1.0,0.0,0.19060075397999782,0.04979824224167065,0.034772806398272516,0.10433976741998918,0.0016899379200654607,52.28,0.971200878107512,0.43358359113659806,9.701411305853217
500,open_random,region_cache_patch_64,50,50,0,9657.34,7125.5,1.0,0.0,0.14925326628000135,0.03012602790015599,0.012246286079883578,0.10509245255999958,0.0017884997399622194,16.0,0.9757538992650475,0.3927576146281345,7.5968604252020935
