case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds,status,failure_reason
size500_bottleneck_seed520480801,500,bottleneck,520480801,0.1,2a2ebda916801e075ecd9b37a71cf72fc4760e9bc481b0cb8da241d3d2d3617c,"9,257","316,71",655,manhattan_astar,True,655,0,True,45799,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.056288539999997056,0.056288539999997056,completed,
size500_bottleneck_seed520480801,500,bottleneck,520480801,0.1,2a2ebda916801e075ecd9b37a71cf72fc4760e9bc481b0cb8da241d3d2d3617c,"9,257","316,71",655,full_map_unet_tiebreak,True,655,0,True,35515,1,0,0,0.0,0,0.0,0.0,0.0,0.007098368167877197,0.12085198500000162,0.1279503531678788,completed,
size500_bottleneck_seed520480801,500,bottleneck,520480801,0.1,2a2ebda916801e075ecd9b37a71cf72fc4760e9bc481b0cb8da241d3d2d3617c,"9,257","316,71",655,region_cache_patch_32,True,655,0,True,32565,133,33230,33097,0.9959975925368643,133,0.27582013399987204,0.006785330000013801,0.0874366721212864,0.0,0.1647304318788217,0.534772567999994,completed,
size500_bottleneck_seed520480801,500,bottleneck,520480801,0.1,2a2ebda916801e075ecd9b37a71cf72fc4760e9bc481b0cb8da241d3d2d3617c,"9,257","316,71",655,region_cache_patch_64,True,655,0,True,34039,39,34749,34710,0.9988776655443322,39,0.25919861199980687,0.007523925002715259,0.01684393605589866,0.0,0.0964115529415542,0.379978025999975,completed,
size500_bottleneck_seed520480802,500,bottleneck,520480802,0.2,450fde77b7825ff5a9f3e6e3c83795a29b0fe1c377186e15d9e92dcd6b124a72,"28,225","375,180",392,manhattan_astar,True,392,0,True,15236,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.017788075999987996,0.017788075999987996,completed,
size500_bottleneck_seed520480802,500,bottleneck,520480802,0.2,450fde77b7825ff5a9f3e6e3c83795a29b0fe1c377186e15d9e92dcd6b124a72,"28,225","375,180",392,full_map_unet_tiebreak,True,392,0,True,7352,1,0,0,0.0,0,0.0,0.0,0.0,0.004526048183441162,0.03427794800001038,0.038803996183451546,completed,
size500_bottleneck_seed520480802,500,bottleneck,520480802,0.2,450fde77b7825ff5a9f3e6e3c83795a29b0fe1c377186e15d9e92dcd6b124a72,"28,225","375,180",392,region_cache_patch_32,True,392,0,True,7833,54,8274,8220,0.9934735315445975,54,0.12083309099998019,0.001002454000428088,0.04215065610408783,0.0,0.052812048895514635,0.21679825000001074,completed,
size500_bottleneck_seed520480802,500,bottleneck,520480802,0.2,450fde77b7825ff5a9f3e6e3c83795a29b0fe1c377186e15d9e92dcd6b124a72,"28,225","375,180",392,region_cache_patch_64,True,392,0,True,7167,13,7529,7516,0.9982733430734493,13,0.09273729999992497,0.00121036500036098,0.009689312070608141,0.0,0.029391574929090662,0.13302855199998476,completed,
size500_bottleneck_seed520480803,500,bottleneck,520480803,0.3,d8ca538baa33b8933714fb40a8df23f3d3b6d6547e458cdf66d65cc35be3b8ae,"489,170","376,162",121,manhattan_astar,True,121,0,True,983,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0010543680000125732,0.0010543680000125732,completed,
size500_bottleneck_seed520480803,500,bottleneck,520480803,0.3,d8ca538baa33b8933714fb40a8df23f3d3b6d6547e458cdf66d65cc35be3b8ae,"489,170","376,162",121,full_map_unet_tiebreak,True,121,0,True,754,1,0,0,0.0,0,0.0,0.0,0.0,0.010176511764526367,0.00371731899997485,0.013893830764501217,completed,
size500_bottleneck_seed520480803,500,bottleneck,520480803,0.3,d8ca538baa33b8933714fb40a8df23f3d3b6d6547e458cdf66d65cc35be3b8ae,"489,170","376,162",121,region_cache_patch_32,True,121,0,True,426,7,438,431,0.9840182648401826,7,0.014709508999999343,4.785800018680675e-05,0.00666435194015503,0.0,0.006127383059653538,0.02754910199999472,completed,
size500_bottleneck_seed520480803,500,bottleneck,520480803,0.3,d8ca538baa33b8933714fb40a8df23f3d3b6d6547e458cdf66d65cc35be3b8ae,"489,170","376,162",121,region_cache_patch_64,True,121,0,True,595,4,626,622,0.9936102236421726,4,0.028364968999966322,8.339799973100526e-05,0.004409343898296356,0.0,0.004643501102001437,0.03750121199999512,completed,
size500_bottleneck_seed520480804,500,bottleneck,520480804,0.4,81e9cf823f63133f0282347827080db0816488a6c178a78ce61d09ec13600574,"324,398","325,486",89,manhattan_astar,True,89,0,True,175,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0002669860000139579,0.0002669860000139579,completed,
size500_bottleneck_seed520480804,500,bottleneck,520480804,0.4,81e9cf823f63133f0282347827080db0816488a6c178a78ce61d09ec13600574,"324,398","325,486",89,full_map_unet_tiebreak,True,89,0,True,142,1,0,0,0.0,0,0.0,0.0,0.0,0.010350591659545898,0.0009581319999938387,0.011308723659539737,completed,
size500_bottleneck_seed520480804,500,bottleneck,520480804,0.4,81e9cf823f63133f0282347827080db0816488a6c178a78ce61d09ec13600574,"324,398","325,486",89,region_cache_patch_32,True,89,0,True,164,6,110,104,0.9454545454545454,6,0.013581564000020308,1.4915000008386414e-05,0.007028608083724976,0.0,0.006290082916269966,0.026915170000023636,completed,
size500_bottleneck_seed520480804,500,bottleneck,520480804,0.4,81e9cf823f63133f0282347827080db0816488a6c178a78ce61d09ec13600574,"324,398","325,486",89,region_cache_patch_64,True,89,0,True,159,3,136,133,0.9779411764705882,3,0.021901170000006687,1.5913000055434168e-05,0.004269280076026917,0.0,0.0038294859239053946,0.030015848999994432,completed,
size500_bottleneck_seed520480805,500,bottleneck,520480805,0.1,caf4531d0afa833a1ed2baabfbd6139aea906fb92768977da39a59eadfcccbec,"296,70","321,453",842,manhattan_astar,True,842,0,True,149958,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.18905727500001035,0.18905727500001035,completed,
size500_bottleneck_seed520480805,500,bottleneck,520480805,0.1,caf4531d0afa833a1ed2baabfbd6139aea906fb92768977da39a59eadfcccbec,"296,70","321,453",842,full_map_unet_tiebreak,True,842,0,True,115545,1,0,0,0.0,0,0.0,0.0,0.0,0.010835968017578124,0.39821510800001647,0.4090510760175946,completed,
size500_bottleneck_seed520480805,500,bottleneck,520480805,0.1,caf4531d0afa833a1ed2baabfbd6139aea906fb92768977da39a59eadfcccbec,"296,70","321,453",842,region_cache_patch_32,True,842,0,True,102262,347,103061,102714,0.9966330619730063,347,0.7192516779999778,0.018813108002490253,0.24387343968451008,0.0,0.4795047663130239,1.461442992000002,completed,
size500_bottleneck_seed520480805,500,bottleneck,520480805,0.1,caf4531d0afa833a1ed2baabfbd6139aea906fb92768977da39a59eadfcccbec,"296,70","321,453",842,region_cache_patch_64,True,842,0,True,117696,117,119368,119251,0.999019837812479,117,0.7805949120001117,0.022893316000079267,0.07070076817274094,0.0,0.3449880388270694,1.2191770350000013,completed,
size500_bottleneck_seed520480806,500,bottleneck,520480806,0.2,5f93277831c21dddfd5048d30ee3467a370d08791ecad1702466d9d517c3da77,"107,255","211,20",339,manhattan_astar,True,339,0,True,21692,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.02340428200000133,0.02340428200000133,completed,
size500_bottleneck_seed520480806,500,bottleneck,520480806,0.2,5f93277831c21dddfd5048d30ee3467a370d08791ecad1702466d9d517c3da77,"107,255","211,20",339,full_map_unet_tiebreak,True,339,0,True,8885,1,0,0,0.0,0,0.0,0.0,0.0,0.004612095832824707,0.03712351199999375,0.04173560783281846,completed,
size500_bottleneck_seed520480806,500,bottleneck,520480806,0.2,5f93277831c21dddfd5048d30ee3467a370d08791ecad1702466d9d517c3da77,"107,255","211,20",339,region_cache_patch_32,True,339,0,True,3007,42,3813,3771,0.988985051140834,42,0.08552536600012672,0.0003965510005627948,0.017433248043060307,0.0,0.029148180956271513,0.13250334600002134,completed,
