case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds
size100_bottleneck_seed120460728,100,bottleneck,120460728,0.1,25ae4bae8da9b555489ef7eb250c10412e8d3a58ac593671b82c0af6d8a8a1a7,"55,38","96,91",94,manhattan_astar,True,94,0,True,2193,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0034043749910779297,0.0034043749910779297
size100_bottleneck_seed120460729,100,bottleneck,120460729,0.2,78096728225309fc7580560f9db960f8670ebe931aa01259817db523346aad4b,"98,45","74,64",81,manhattan_astar,True,81,0,True,1151,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0016150000010384247,0.0016150000010384247
size100_bottleneck_seed120460730,100,bottleneck,120460730,0.3,847f75b125bb14c2b9e6d0930acc7040beb5907930e9b01c169a189dfc797cf8,"36,49","49,83",115,manhattan_astar,True,115,0,True,2459,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0036847090086666867,0.0036847090086666867
size100_bottleneck_seed120460731,100,bottleneck,120460731,0.4,541c7c783b349fb5698c6ab674567f78031b192b02298ccb272b2ffa5fa29fe8,"90,3","31,78",144,manhattan_astar,True,144,0,True,4111,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.006199374998686835,0.006199374998686835
size100_bottleneck_seed120460732,100,bottleneck,120460732,0.1,264cfbe8f349240126d9991311c63cad5dae4c6300cb3105af6936076a126940,"76,59","27,22",86,manhattan_astar,True,86,0,True,1264,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0018850829947041348,0.0018850829947041348
size100_bottleneck_seed120460733,100,bottleneck,120460733,0.2,9eba650129fb10f0b6cdd71d2565d4af5257717ae1e8c0091f5a623068d9208d,"82,45","25,4",98,manhattan_astar,True,98,0,True,2396,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.003621124997152947,0.003621124997152947
size100_bottleneck_seed120460734,100,bottleneck,120460734,0.3,c4b8126ed435f9035a9e6990b2e4324a245184a3ece558a42880bb85061bcc09,"53,32","52,5",30,manhattan_astar,True,30,0,True,110,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00016475000302307308,0.00016475000302307308
size100_bottleneck_seed120460735,100,bottleneck,120460735,0.4,faa5fe2564397b74c4a3740d668d1950479f5550d25617a020a07bcee17b322e,"86,41","34,56",71,manhattan_astar,True,71,0,True,719,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0011197499989066273,0.0011197499989066273
size100_bottleneck_seed120460736,100,bottleneck,120460736,0.1,5a879763155da4bf8794f6393c997b4b3eca58f9bcf3fc8b2eacd9b3bd1f48bf,"53,73","90,28",82,manhattan_astar,True,82,0,True,1314,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0019999590003862977,0.0019999590003862977
size100_bottleneck_seed120460737,100,bottleneck,120460737,0.2,3816bab7f866e782c7b62350b076de3b768b9e2a76cc87491bbcd25c81b85ad8,"20,49","0,99",130,manhattan_astar,True,130,0,True,3393,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004988833999959752,0.004988833999959752
