ranking_lambda,scope,cases,mae,mse,tie_set_ordering_accuracy,direct_unet_mean_expanded_nodes,direct_unet_optimality_rate,unet_tiebreak_mean_expanded_nodes,unet_tiebreak_optimality_rate,case_id,structure_type,pairwise_ordering_accuracy,pairwise_pairs,tie_set_decisions,algorithm,expanded_nodes,path_cost,optimal_cost,optimal
0.1,summary,500,3.3381590651248993,83.89309934312055,0.9826555023923444,30.6275,0.995,32.7315,1.0,,,,,,,,,,
0.25,summary,500,3.428358029896082,82.3084691380635,0.9768601635747057,31.446,0.994,32.711,1.0,,,,,,,,,,
0.5,summary,500,3.5604995672245408,80.23187139037442,0.9838323353293413,31.1305,0.9975,32.6975,1.0,,,,,,,,,,
0.75,summary,500,3.551660792191669,75.78067053258754,0.9811320754716981,31.9425,0.9985,32.745,1.0,,,,,,,,,,
1.0,summary,500,3.3929864191966796,76.00815975816032,0.9673636896619113,34.7195,0.999,32.9745,1.0,,,,,,,,,,
2.0,summary,500,3.712855863999365,68.11931739663856,0.968503937007874,36.811,0.999,32.9115,1.0,,,,,,,,,,
0.1,prediction,,0.4726593057642955,1.097831014371392,1.0,,,,,test_4500,open_random,0.96484375,512,8,,,,,
0.1,prediction,,0.8878340220518326,1.2374680370354358,1.0,,,,,test_4501,open_random,0.966796875,512,9,,,,,
0.1,prediction,,0.4316839259430017,0.33086959655187054,1.0,,,,,test_4502,open_random,0.984375,512,7,,,,,
0.1,prediction,,0.4417562238511197,0.3477593342007188,1.0,,,,,test_4503,open_random,0.984375,512,10,,,,,
0.1,prediction,,1.0293965870040958,1.5109542241820708,1.0,,,,,test_4504,open_random,0.96484375,512,10,,,,,
0.1,prediction,,0.5798747907430335,0.4889881573882885,1.0,,,,,test_4505,open_random,0.994140625,512,8,,,,,
0.1,prediction,,0.5493570644868894,0.4696814392036194,1.0,,,,,test_4506,open_random,0.9609375,512,10,,,,,
0.1,prediction,,0.3479141750517593,0.24264277031701204,1.0,,,,,test_4507,open_random,0.990234375,512,7,,,,,
0.1,prediction,,0.3325753191032925,0.21027510393956192,0.0,,,,,test_4508,open_random,0.994140625,512,0,,,,,
0.1,prediction,,0.5322882615902769,0.41110869832172214,1.0,,,,,test_4509,open_random,0.98828125,512,9,,,,,
0.1,prediction,,0.6934684196884713,0.6673361864420786,1.0,,,,,test_4510,open_random,0.9765625,512,9,,,,,
0.1,prediction,,0.5068451013866362,0.3697145680364337,1.0,,,,,test_4511,open_random,0.994140625,512,9,,,,,
0.1,prediction,,0.5586820714300571,0.5439561555835363,1.0,,,,,test_4512,open_random,0.970703125,512,8,,,,,
0.1,prediction,,0.6014590259941145,1.6819285613804638,1.0,,,,,test_4513,open_random,0.955078125,512,9,,,,,
0.1,prediction,,0.9427948562635315,1.4064297735931626,1.0,,,,,test_4514,open_random,0.93359375,512,8,,,,,
0.1,prediction,,0.75054908666958,1.3892853244204773,1.0,,,,,test_4515,open_random,0.94140625,512,11,,,,,
0.1,prediction,,0.5416209576881095,0.599198584755032,1.0,,,,,test_4516,open_random,0.98046875,512,11,,,,,
0.1,prediction,,0.4471638956540067,1.4927184577026023,1.0,,,,,test_4517,open_random,0.984375,512,7,,,,,
0.1,prediction,,0.4757954515516758,0.355470848974074,1.0,,,,,test_4518,open_random,0.974609375,512,8,,,,,
0.1,prediction,,0.5620942943352313,0.637977830772557,1.0,,,,,test_4519,open_random,0.947265625,512,9,,,,,
0.1,prediction,,0.49363978580689766,0.4328299774405983,1.0,,,,,test_4520,open_random,0.982421875,512,7,,,,,
0.1,prediction,,0.38739735263667696,0.2575141428499276,1.0,,,,,test_4521,open_random,0.98046875,512,7,,,,,
0.1,prediction,,0.5656535337480266,0.5808639777573495,1.0,,,,,test_4522,open_random,0.9765625,512,4,,,,,
0.1,prediction,,0.4018208143179831,0.26788118553025747,1.0,,,,,test_4523,open_random,0.98046875,512,8,,,,,
0.1,prediction,,0.6510416067845328,1.6902452955210565,1.0,,,,,test_4524,open_random,0.990234375,512,13,,,,,
0.1,prediction,,0.6819203066825866,0.8680653675709258,1.0,,,,,test_4525,open_random,0.962890625,512,7,,,,,
0.1,prediction,,1.7759135314233743,15.987147900148177,1.0,,,,,test_4526,open_random,0.927734375,512,12,,,,,
0.1,prediction,,2.152193770176027,6.1475586080219955,1.0,,,,,test_4527,open_random,0.91015625,512,13,,,,,
0.1,prediction,,1.3602768013484527,5.201738147825086,1.0,,,,,test_4528,open_random,0.892578125,512,17,,,,,
0.1,prediction,,0.7214364791956275,0.87655601406615,1.0,,,,,test_4529,open_random,0.947265625,512,9,,,,,
0.1,prediction,,1.417953028678894,6.917348312709054,1.0,,,,,test_4530,open_random,0.900390625,512,7,,,,,
