scope,map_size,structure_type,algorithm,cases,total_map_cells,total_predicted_patch_output_cells,unique_in_map_cells_evaluated_by_unet,prediction_coverage_ratio,nominal_patch_output_cells_per_map_cell,coverage_observability
overall,,,manhattan_astar,1500,630000000,0,0,0.0,0.0,no_unet
overall,,,full_map_unet_tiebreak,1500,630000000,630000000,630000000,1.0,1.0,exact_full_map
overall,,,region_cache_patch_32,1500,630000000,134978560,,,0.21425168253968255,not_logged_patch_centers
overall,,,region_cache_patch_64,1500,630000000,152510464,,,0.2420801015873016,not_logged_patch_centers
map_size,100,,manhattan_astar,500,5000000,0,0,0.0,0.0,no_unet
map_size,100,,full_map_unet_tiebreak,500,5000000,5000000,5000000,1.0,1.0,exact_full_map
map_size,100,,region_cache_patch_32,500,5000000,2312192,,,0.4624384,not_logged_patch_centers
map_size,100,,region_cache_patch_64,500,5000000,4206592,,,0.8413184,not_logged_patch_centers
map_size,500,,manhattan_astar,500,125000000,0,0,0.0,0.0,no_unet
map_size,500,,full_map_unet_tiebreak,500,125000000,125000000,125000000,1.0,1.0,exact_full_map
map_size,500,,region_cache_patch_32,500,125000000,30046208,,,0.240369664,not_logged_patch_centers
map_size,500,,region_cache_patch_64,500,125000000,35733504,,,0.285868032,not_logged_patch_centers
map_size,1000,,manhattan_astar,500,500000000,0,0,0.0,0.0,no_unet
map_size,1000,,full_map_unet_tiebreak,500,500000000,500000000,500000000,1.0,1.0,exact_full_map
map_size,1000,,region_cache_patch_32,500,500000000,102620160,,,0.20524032,not_logged_patch_centers
map_size,1000,,region_cache_patch_64,500,500000000,112570368,,,0.225140736,not_logged_patch_centers
map_size_structure,100,bottleneck,manhattan_astar,100,1000000,0,0,0.0,0.0,no_unet
map_size_structure,100,bottleneck,full_map_unet_tiebreak,100,1000000,1000000,1000000,1.0,1.0,exact_full_map
map_size_structure,100,bottleneck,region_cache_patch_32,100,1000000,707584,,,0.707584,not_logged_patch_centers
map_size_structure,100,bottleneck,region_cache_patch_64,100,1000000,1085440,,,1.08544,not_logged_patch_centers
map_size_structure,100,large_block,manhattan_astar,100,1000000,0,0,0.0,0.0,no_unet
map_size_structure,100,large_block,full_map_unet_tiebreak,100,1000000,1000000,1000000,1.0,1.0,exact_full_map
map_size_structure,100,large_block,region_cache_patch_32,100,1000000,440320,,,0.44032,not_logged_patch_centers
map_size_structure,100,large_block,region_cache_patch_64,100,1000000,847872,,,0.847872,not_logged_patch_centers
map_size_structure,100,maze_like,manhattan_astar,100,1000000,0,0,0.0,0.0,no_unet
map_size_structure,100,maze_like,full_map_unet_tiebreak,100,1000000,1000000,1000000,1.0,1.0,exact_full_map
map_size_structure,100,maze_like,region_cache_patch_32,100,1000000,185344,,,0.185344,not_logged_patch_centers
map_size_structure,100,maze_like,region_cache_patch_64,100,1000000,454656,,,0.454656,not_logged_patch_centers
map_size_structure,100,narrow_corridor,manhattan_astar,100,1000000,0,0,0.0,0.0,no_unet
map_size_structure,100,narrow_corridor,full_map_unet_tiebreak,100,1000000,1000000,1000000,1.0,1.0,exact_full_map
map_size_structure,100,narrow_corridor,region_cache_patch_32,100,1000000,557056,,,0.557056,not_logged_patch_centers
map_size_structure,100,narrow_corridor,region_cache_patch_64,100,1000000,1007616,,,1.007616,not_logged_patch_centers
map_size_structure,100,open_random,manhattan_astar,100,1000000,0,0,0.0,0.0,no_unet
map_size_structure,100,open_random,full_map_unet_tiebreak,100,1000000,1000000,1000000,1.0,1.0,exact_full_map
map_size_structure,100,open_random,region_cache_patch_32,100,1000000,421888,,,0.421888,not_logged_patch_centers
map_size_structure,100,open_random,region_cache_patch_64,100,1000000,811008,,,0.811008,not_logged_patch_centers
map_size_structure,500,bottleneck,manhattan_astar,100,25000000,0,0,0.0,0.0,no_unet
map_size_structure,500,bottleneck,full_map_unet_tiebreak,100,25000000,25000000,25000000,1.0,1.0,exact_full_map
map_size_structure,500,bottleneck,region_cache_patch_32,100,25000000,11240448,,,0.44961792,not_logged_patch_centers
map_size_structure,500,bottleneck,region_cache_patch_64,100,25000000,12423168,,,0.49692672,not_logged_patch_centers
map_size_structure,500,large_block,manhattan_astar,100,25000000,0,0,0.0,0.0,no_unet
map_size_structure,500,large_block,full_map_unet_tiebreak,100,25000000,25000000,25000000,1.0,1.0,exact_full_map
map_size_structure,500,large_block,region_cache_patch_32,100,25000000,5147648,,,0.20590592,not_logged_patch_centers
map_size_structure,500,large_block,region_cache_patch_64,100,25000000,6897664,,,0.27590656,not_logged_patch_centers
map_size_structure,500,maze_like,manhattan_astar,100,25000000,0,0,0.0,0.0,no_unet
map_size_structure,500,maze_like,full_map_unet_tiebreak,100,25000000,25000000,25000000,1.0,1.0,exact_full_map
map_size_structure,500,maze_like,region_cache_patch_32,100,25000000,61440,,,0.0024576,not_logged_patch_centers
map_size_structure,500,maze_like,region_cache_patch_64,100,25000000,245760,,,0.0098304,not_logged_patch_centers
map_size_structure,500,narrow_corridor,manhattan_astar,100,25000000,0,0,0.0,0.0,no_unet
map_size_structure,500,narrow_corridor,full_map_unet_tiebreak,100,25000000,25000000,25000000,1.0,1.0,exact_full_map
map_size_structure,500,narrow_corridor,region_cache_patch_32,100,25000000,7233536,,,0.28934144,not_logged_patch_centers
map_size_structure,500,narrow_corridor,region_cache_patch_64,100,25000000,8630272,,,0.34521088,not_logged_patch_centers
map_size_structure,500,open_random,manhattan_astar,100,25000000,0,0,0.0,0.0,no_unet
map_size_structure,500,open_random,full_map_unet_tiebreak,100,25000000,25000000,25000000,1.0,1.0,exact_full_map
map_size_structure,500,open_random,region_cache_patch_32,100,25000000,6363136,,,0.25452544,not_logged_patch_centers
map_size_structure,500,open_random,region_cache_patch_64,100,25000000,7536640,,,0.3014656,not_logged_patch_centers
map_size_structure,1000,bottleneck,manhattan_astar,100,100000000,0,0,0.0,0.0,no_unet
map_size_structure,1000,bottleneck,full_map_unet_tiebreak,100,100000000,100000000,100000000,1.0,1.0,exact_full_map
map_size_structure,1000,bottleneck,region_cache_patch_32,100,100000000,46765056,,,0.46765056,not_logged_patch_centers
map_size_structure,1000,bottleneck,region_cache_patch_64,100,100000000,48046080,,,0.4804608,not_logged_patch_centers
map_size_structure,1000,large_block,manhattan_astar,100,100000000,0,0,0.0,0.0,no_unet
map_size_structure,1000,large_block,full_map_unet_tiebreak,100,100000000,100000000,100000000,1.0,1.0,exact_full_map
map_size_structure,1000,large_block,region_cache_patch_32,100,100000000,10814464,,,0.10814464,not_logged_patch_centers
map_size_structure,1000,large_block,region_cache_patch_64,100,100000000,14274560,,,0.1427456,not_logged_patch_centers
map_size_structure,1000,maze_like,manhattan_astar,100,100000000,0,0,0.0,0.0,no_unet
map_size_structure,1000,maze_like,full_map_unet_tiebreak,100,100000000,100000000,100000000,1.0,1.0,exact_full_map
map_size_structure,1000,maze_like,region_cache_patch_32,100,100000000,258048,,,0.00258048,not_logged_patch_centers
map_size_structure,1000,maze_like,region_cache_patch_64,100,100000000,630784,,,0.00630784,not_logged_patch_centers
map_size_structure,1000,narrow_corridor,manhattan_astar,100,100000000,0,0,0.0,0.0,no_unet
map_size_structure,1000,narrow_corridor,full_map_unet_tiebreak,100,100000000,100000000,100000000,1.0,1.0,exact_full_map
map_size_structure,1000,narrow_corridor,region_cache_patch_32,100,100000000,20909056,,,0.20909056,not_logged_patch_centers
map_size_structure,1000,narrow_corridor,region_cache_patch_64,100,100000000,22679552,,,0.22679552,not_logged_patch_centers
map_size_structure,1000,open_random,manhattan_astar,100,100000000,0,0,0.0,0.0,no_unet
map_size_structure,1000,open_random,full_map_unet_tiebreak,100,100000000,100000000,100000000,1.0,1.0,exact_full_map
map_size_structure,1000,open_random,region_cache_patch_32,100,100000000,23873536,,,0.23873536,not_logged_patch_centers
map_size_structure,1000,open_random,region_cache_patch_64,100,100000000,26939392,,,0.26939392,not_logged_patch_centers
