scope,map_size,structure_type,algorithm,cases,manhattan_expanded_cells,algorithm_expanded_cells,expansion_reduction_vs_manhattan,expansion_reduction_fraction_vs_manhattan,total_neural_inference_seconds,saved_expansions_per_neural_second,unet_inference_calls,saved_expansions_per_inference_call
overall,,,manhattan_astar,1500,52680805.0,52680805.0,0.0,0.0,0.0,,0,
overall,,,full_map_unet_tiebreak,1500,52680805.0,35243785.0,17437020.0,0.330993803150882,738.9860609879397,23595.8713168266,1500.0,11624.68
overall,,,region_cache_patch_32,1500,52680805.0,28578004.0,24102801.0,0.4575252978765226,278.0297606434251,86691.44247083676,131815.0,182.85324887152447
overall,,,region_cache_patch_64,1500,52680805.0,30800245.0,21880560.0,0.41534217254273165,203.33846005755186,107606.59834744023,37234.0,587.6499973142827
map_size,100,,manhattan_astar,500,455584.0,455584.0,0.0,0.0,0.0,,0,
map_size,100,,full_map_unet_tiebreak,500,455584.0,256262.0,199322.0,0.43750877993959403,17.1424014590375,11627.425741736852,500.0,398.644
map_size,100,,region_cache_patch_32,500,455584.0,238880.0,216704.0,0.4756620074453888,19.08887628109369,11352.370711031925,2258.0,95.97165633303808
map_size,100,,region_cache_patch_64,500,455584.0,246151.0,209433.0,0.4597022722483669,18.50926910893031,11315.033498483916,1027.0,203.9269717624148
map_size,500,,manhattan_astar,500,11295936.0,11295936.0,0.0,0.0,0.0,,0,
map_size,500,,full_map_unet_tiebreak,500,11295936.0,7408225.0,3887711.0,0.3441690002492932,283.28090675488784,13723.872337657716,500.0,7775.422
map_size,500,,region_cache_patch_32,500,11295936.0,5943680.0,5352256.0,0.47382138142425734,190.90304606043355,28036.514400643213,29342.0,182.40937904709972
map_size,500,,region_cache_patch_64,500,11295936.0,6671151.0,4624785.0,0.40942025521391057,144.22189888917637,32067.148162802914,8724.0,530.1220770288859
map_size,1000,,manhattan_astar,500,40929285.0,40929285.0,0.0,0.0,0.0,,0,
map_size,1000,,full_map_unet_tiebreak,500,40929285.0,27579298.0,13349987.0,0.3261720061809045,438.56275277401437,30440.311940670148,500.0,26699.974
map_size,1000,,region_cache_patch_32,500,40929285.0,22395444.0,18533841.0,0.45282591669998634,68.03783830189786,272404.9067779247,100215.0,184.94078730728933
map_size,1000,,region_cache_patch_64,500,40929285.0,23882943.0,17046342.0,0.4164827702218595,40.60729205944517,419785.2438681652,27483.0,620.250409343958
map_size_structure,100,bottleneck,manhattan_astar,100,169529.0,169529.0,0.0,0.0,0.0,,0,
map_size_structure,100,bottleneck,full_map_unet_tiebreak,100,169529.0,115303.0,54226.0,0.3198626783618142,4.0509419169829926,13386.022587158132,100.0,542.26
map_size_structure,100,bottleneck,region_cache_patch_32,100,169529.0,109787.0,59742.0,0.35239988438556236,7.910599952934717,7552.145267798125,691.0,86.45730824891461
map_size_structure,100,bottleneck,region_cache_patch_64,100,169529.0,110074.0,59455.0,0.3507069586914333,6.331046031860751,9391.023173863363,265.0,224.35849056603774
map_size_structure,100,large_block,manhattan_astar,100,109576.0,109576.0,0.0,0.0,0.0,,0,
map_size_structure,100,large_block,full_map_unet_tiebreak,100,109576.0,35382.0,74194.0,0.6771008249981748,2.140434956039826,34663.04817655926,100.0,741.94
map_size_structure,100,large_block,region_cache_patch_32,100,109576.0,30081.0,79495.0,0.7254782069066219,1.916720565102878,41474.48587307936,430.0,184.87209302325581
map_size_structure,100,large_block,region_cache_patch_64,100,109576.0,33470.0,76106.0,0.6945499014382711,2.0153918029682245,37762.38440977718,207.0,367.66183574879227
map_size_structure,100,maze_like,manhattan_astar,100,6922.0,6922.0,0.0,0.0,0.0,,0,
map_size_structure,100,maze_like,full_map_unet_tiebreak,100,6922.0,5845.0,1077.0,0.1555908696908408,4.526800752035342,237.91636941735482,100.0,10.77
map_size_structure,100,maze_like,region_cache_patch_32,100,6922.0,5920.0,1002.0,0.14475585091014156,2.216678634962591,452.02763458624213,181.0,5.535911602209945
map_size_structure,100,maze_like,region_cache_patch_64,100,6922.0,5972.0,950.0,0.1372435712221901,2.779458624041581,341.7931793561349,111.0,8.558558558558559
map_size_structure,100,narrow_corridor,manhattan_astar,100,101595.0,101595.0,0.0,0.0,0.0,,0,
