scope,map_size,structure_type,algorithm,cases,unet_inference_calls,total_predicted_patch_output_cells,unique_in_map_predicted_cells,redundant_prediction_ratio,total_neural_inference_seconds,mean_neural_inference_seconds_per_call,neural_cost_observability
overall,,,manhattan_astar,1500,0,0,0,0.0,0.0,,no_unet
overall,,,full_map_unet_tiebreak,1500,1500.0,630000000,630000000,0.0,738.9860609879397,0.4926573739919598,exact_full_map
overall,,,region_cache_patch_32,1500,131815.0,134978560,,,278.0297606434251,0.0021092422003825446,unique_patch_coverage_not_logged
overall,,,region_cache_patch_64,1500,37234.0,152510464,,,203.33846005755186,0.005461096311370034,unique_patch_coverage_not_logged
map_size,100,,manhattan_astar,500,0,0,0,0.0,0.0,,no_unet
map_size,100,,full_map_unet_tiebreak,500,500.0,5000000,5000000,0.0,17.1424014590375,0.034284802918075,exact_full_map
map_size,100,,region_cache_patch_32,500,2258.0,2312192,,,19.08887628109369,0.008453886749820057,unique_patch_coverage_not_logged
map_size,100,,region_cache_patch_64,500,1027.0,4206592,,,18.50926910893031,0.018022657360204784,unique_patch_coverage_not_logged
map_size,500,,manhattan_astar,500,0,0,0,0.0,0.0,,no_unet
map_size,500,,full_map_unet_tiebreak,500,500.0,125000000,125000000,0.0,283.28090675488784,0.5665618135097756,exact_full_map
map_size,500,,region_cache_patch_32,500,29342.0,30046208,,,190.90304606043355,0.006506136120933596,unique_patch_coverage_not_logged
map_size,500,,region_cache_patch_64,500,8724.0,35733504,,,144.22189888917637,0.016531625273862493,unique_patch_coverage_not_logged
map_size,1000,,manhattan_astar,500,0,0,0,0.0,0.0,,no_unet
map_size,1000,,full_map_unet_tiebreak,500,500.0,500000000,500000000,0.0,438.56275277401437,0.8771255055480287,exact_full_map
map_size,1000,,region_cache_patch_32,500,100215.0,102620160,,,68.03783830189786,0.0006789187077972146,unique_patch_coverage_not_logged
map_size,1000,,region_cache_patch_64,500,27483.0,112570368,,,40.60729205944517,0.0014775421918802594,unique_patch_coverage_not_logged
