structure_type,algorithm,sample_count,mean_expansion_reduction,std_expansion_reduction,mean_runtime_ratio,std_runtime_ratio,reduction_500,reduction_1000,reduction_1500,reduction_2000,reduction_change_500_to_2000
open_random,full_map_unet_tiebreak,200,0.27268859338144646,0.3007210656091409,150.6637703169256,698.2460955151765,0.2883007041040113,0.2737155515566485,0.27308371749368143,0.2556544003714446,-0.03264630373256672
open_random,region_cache_patch_32,200,0.30775463346901133,0.34429083220558376,13.81678282161141,18.216126288809964,0.3223953558437072,0.31927250280328473,0.2861722854850988,0.30317838974395456,-0.019216966099752653
open_random,region_cache_patch_64,200,0.2866217309025878,0.323243365958062,18.68862227704975,52.238802043624254,0.2974372142370884,0.29989396000113167,0.26450886322351,0.28464688614862116,-0.012790328088467251
maze_like,full_map_unet_tiebreak,200,0.17606782517313416,0.17251567950663652,2700.295518655562,1637.2896376345147,0.18638888888888888,0.16777777777777778,0.20216858973415552,0.1479360442917144,-0.03845284459717449
maze_like,region_cache_patch_32,200,0.17675112589648784,0.1732044172393389,94.07901590959219,101.06930701807251,0.1886111111111111,0.16777777777777778,0.20345238445651267,0.14716323024054984,-0.041447880870561254
maze_like,region_cache_patch_64,200,0.17688309441362482,0.1736001541130805,239.77691395614116,254.73678895532154,0.1886111111111111,0.16777777777777778,0.20465685264495365,0.14648663612065674,-0.04212447499045435
bottleneck,full_map_unet_tiebreak,200,0.43680127827775106,0.29674076540406186,7.009040044847325,21.623368741560448,0.4074083726828765,0.43724732374067016,0.40190160836902195,0.5006478083184358,0.09323943563555931
bottleneck,region_cache_patch_32,200,0.5194235299184174,0.33663331590095236,11.632860908432786,22.654707012738626,0.5042079152419461,0.5113175462893788,0.49257561152707385,0.569593046615271,0.06538513137332491
bottleneck,region_cache_patch_64,200,0.4745393301392308,0.3211478070315472,8.921303388789111,17.09921749041293,0.4335920742835602,0.459716195577115,0.4663929970862306,0.5384560536100174,0.10486397932645714
large_block,full_map_unet_tiebreak,200,0.5132909585426858,0.23397004739646607,12.439030398426254,62.24410762557853,0.5739155929587315,0.5506814956733505,0.45215317905703506,0.47641356648162614,-0.09750202647710537
large_block,region_cache_patch_32,200,0.8429469432533362,0.2607342866414769,7.013951741858703,12.29337478289973,0.8215826586267584,0.859962386505175,0.817289299798822,0.8729534280825892,0.051370769455830856
large_block,region_cache_patch_64,200,0.7325146211198972,0.2684342202222877,6.613944828414009,13.206954553135542,0.6985075218921262,0.7372633433476921,0.7061300121012971,0.7881576071384735,0.08965008524634732
narrow_corridor,full_map_unet_tiebreak,200,0.4538045228620427,0.26765307093620183,6.490264302108291,17.638493227612827,0.5079816116910809,0.399066462209175,0.46552904501575526,0.44264097253215956,-0.06534063915892135
narrow_corridor,region_cache_patch_32,200,0.5339061531210451,0.30167469185058715,10.651126913194519,9.831575167185118,0.5816639313407854,0.48487505478352355,0.568992270786447,0.5000933555734245,-0.08157057576736093
narrow_corridor,region_cache_patch_64,200,0.5258613650857151,0.290505747100554,7.841485573491345,9.485891078545622,0.5558310177807216,0.5099761881463205,0.5280503186235015,0.5095879357923169,-0.046243081988404766
