structured_type,heuristic,runs,solvable_maps,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,optimality_rate,mean_overestimate_rate
bottleneck,manhattan,12,12,70.83333333333333,0.0001937115833546462,15.416666666666666,1.0,0.0
bottleneck,mlp_table,12,12,48.5,0.00028970824981418747,15.416666666666666,1.0,0.6382466510375997
bottleneck,unet,12,12,57.583333333333336,0.0003365070003079988,15.416666666666666,1.0,0.35425047562461015
large_block,manhattan,12,12,56.25,0.00015667691635220157,12.833333333333334,1.0,0.0
large_block,mlp_table,12,12,25.083333333333332,0.00016480533304275014,12.833333333333334,1.0,0.8722760093225707
large_block,unet,12,12,49.916666666666664,0.0002996632504922066,12.833333333333334,1.0,0.5491006641219068
maze_like,manhattan,12,12,83.66666666666667,0.00019132291648323493,21.916666666666668,1.0,0.0
maze_like,mlp_table,12,12,69.83333333333333,0.000368503583255612,21.916666666666668,1.0,0.27855771361511455
maze_like,unet,12,12,66.58333333333333,0.0003361807497033927,21.916666666666668,1.0,0.33346032398214015
narrow_corridor,manhattan,12,12,40.416666666666664,0.00010197225037700264,15.25,1.0,0.0
narrow_corridor,mlp_table,12,12,31.25,0.0001938229161169147,15.25,1.0,0.7738158836906184
narrow_corridor,unet,12,12,46.75,0.000262260500373183,15.75,0.8333333333333334,0.7826619864388383
