structured_type,heuristic,runs,solvable_maps,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,optimality_rate,mean_overestimate_rate
bottleneck,manhattan,400,400,70.8,0.0001732626798639103,16.8425,1.0,0.0
bottleneck,mlp_table,400,400,45.6525,0.00026065406505040303,16.8475,0.9975,0.6919191960014586
bottleneck,unet,400,400,58.79,0.00033287949491750624,16.8425,1.0,0.3593326821199922
large_block,manhattan,400,400,61.0525,0.00015313062768655073,14.765,1.0,0.0
large_block,mlp_table,400,400,29.8975,0.00019010314761544578,14.775,0.995,0.8578139844227735
large_block,unet,400,400,45.9575,0.00028580093996424696,15.005,0.895,0.5840107036266601
maze_like,manhattan,400,400,76.77,0.00017057261241461673,21.6225,1.0,0.0
maze_like,mlp_table,400,400,65.2425,0.000315069090020188,21.6275,0.9975,0.31340467434318797
maze_like,unet,400,400,64.6025,0.00031821885995668707,21.6775,0.975,0.3675122824694295
narrow_corridor,manhattan,400,400,39.695,9.8263659992881e-05,14.3025,1.0,0.0
narrow_corridor,mlp_table,400,400,25.7375,0.0001581464751234307,14.3025,1.0,0.7620044813438729
narrow_corridor,unet,400,400,38.9125,0.00022549864264874485,14.4725,0.92,0.7640850184032657
